Ad Spend,Channel,Date,Campaign,Region,Company,Leads,Status,Revenue
N/A,,2024-03-15,H2-23-New Year Promo,N. America,Stratton Oakmont  ,4295,CLOSED LOST,76298
27586,direct,2025-11-28,Q1-2023-Spring Push,EMEA,Stratton Oakmont,704,LOST,1553038
26243,Website,2025-05-28,Q1-24-Webinar Series,Europe,Rekall Inc,2454,Closed-Lost,273689  
28937,reseller,2025-09-12,H1-2024-Email Blast,United Kingdom,Stratton Oakmont,415,negotiation,814489
29352,Web,2024-01-15  ,Q3-2023-Summer Blitz,N. America,Stratton Oakmont,51,qualified,N/A
,Retail,2025-04-22,FY-23-Webinar Series,Australia,Stratton Oakmont,2909,proposal,247142
6107,Direct,2024-12-17,FY-2023-Social Push,APAC  ,Stratton Oakmont,N/A,Closed-Lost,101935
38731,Website,2024-10-12,Q2-2023-Webinar Series,ASIAPAC,Weyland Corp,3158,proposal,246734
39671,email,2025-05-18,Q1-2023-Webinar Series,Asia,Stratton Oakmont,3068,Pending,1177711
46730,Store,pending,H2-2024-Summer Blitz,N/A,Stratton Oakmont,3412,Open,1297846
9406  ,Social,2024-09-30,Q2-23-Fall Campaign,LATAM,Stratton Oakmont,1075,CLOSED WON,1497931
16856,Referral,2024-01-14,H2-2023-Retention,ANZ,Stratton Oakmont,877,Qualified,64554
45811,Channel Partner,2025-08-22,H2-24-Upsell,USA,Stratton Oakmont  ,2798,Qualified,397172
7410,online,2024-06-18,,United Kingdom,Stratton Oakmont,3567  ,closed lost,210862
36816,Reseller,2024-04-03,FY-23-Summer Blitz,United States,Stratton Oakmont,4326  ,Closed Won,624243
2068,,2025-03-11,H1-2023-Product Launch,Unknown,Cybertruck Co,4456,PENDING,1615860
44808,ONLINE,2025-10-13,Q4-23-Social Push,ANZ,Stratton Oakmont  ,3311,negotiation,251300
10174,Email Campaign,null,H2-2024-Spring Push,United Kingdom,Stratton Oakmont,681  ,CLOSED LOST,318624
34427,call center,2024-07-19,H1-24-Fall Campaign,-,Stratton Oakmont,3473,Proposal,15762
12604  ,social media,TBD,Q3-23-Webinar Series,Britain,Stratton Oakmont,2916,qualified,1357829
26561,Field Sales,2025-10-22,Q4-2024-Retention,ANZ,Stratton Oakmont,3455,Pending,74176
4717,web,2023-12-10,FY-2023-Email Blast,SA,Stratton Oakmont,323  ,Proposal,NULL
33025,PARTNER,2025-07-03,H2-2024-Black Friday,South America,Oceanic Airlines,3492,Lead,159999
40546,,2025-01-04,,USA  ,BrightPath Media,N/A,in progress,137779
17372,Phone,2025-06-29,,EMEA,Oceanic Airlines,1996,closed won,741372
18737,Brick & Mortar,2025-09-17,FY-2023-Black Friday,MEA,Stratton Oakmont,4424,open,151201
33196,Retail,2024-10-31,,Australia,Stratton Oakmont,2979,LOST,665536
35579,Partner,2025-11-16,Q4-24-Webinar Series,MEA,Stratton Oakmont,500,Open,205365
9111,Direct Sales,2024-06-07,,LATAM,Stratton Oakmont,190,PENDING,1033769
10119,Channel Partner,,H2-24-Fall Campaign,Britain,Dunder Mifflin,1304,Lead,215551
4556,social media,2025-10-14,Q2-2024-Webinar Series,ASIAPAC,Stratton Oakmont,3298,Open,64617
9990,PARTNER,2024-07-07,Q1-24-Product Launch,South America,Stratton Oakmont,3826,pending,885035  
null,field,2025-08-28,H2-2024-Trade Show,SA,Stratton Oakmont,386,Closed-Won,440813
18454,Telesales,2025-10-16,FY-24-New Year Promo,US,Stratton Oakmont,N/A,open,602423
46070,Reseller,2024-02-10,,ASIAPAC,Vandelay Ind,3496,proposal,74543
42291,phone,2025-08-27,FY-23-Webinar Series,??,FreshCart,649,closed lost,1703
18699,,2025-02-21,Q1-2024-Retention,Asia Pacific,Stratton Oakmont,3349,WON,null
,retail,2024-01-02,Q4-23-Webinar Series,Europe,Stratton Oakmont,4572  ,Open,5430
10381,In-Store,2025-07-25,Q3-24-New Year Promo,USA,Stratton Oakmont,2606,Pending,114495
28109  ,Social Media,2024-03-22,,Europe,Stratton Oakmont,1168,in progress,946788
31915,e-comm,,Q3-2024-Product Launch,ASIAPAC,Nakatomi Trading,2868,Lost,1227833
26610,in-store,2025-06-27,FY-23-Spring Push,US,Dharma Initiative,4333,CL,979122
0,direct,2025-04-27,FY-24-Summer Blitz,APAC,Stratton Oakmont,,pending,4941
42711,online,2024-04-25,H1-2024-Cross-sell,EMEA,Stratton Oakmont,N/A,Won,281317
11094,In-Store  ,2024-03-13,Q1-23-Email Blast,UK,Stratton Oakmont,3402,WON,1584581
21096,Referral,2025-11-14,H2-2024-Summer Blitz,United Kingdom,Stratton Oakmont,778,Pending,82968
10719,email,2025-10-09,FY-23-Social Push,United States  ,Stratton Oakmont,420,negotiation,#N/A
