campaignName,adSpend,salesChannel,leadCount,quantity,unitPrice,conversionCount,saleDate,productName,dealStatus,salesRegion,totalRevenue
,"$32,587.67",PARTNER,3918,13.0,"$1,722.64",30,TBD,Service Plan Enterprise,Closed-Lost,Australia,"$22,394.32"
Q1-23-Product Launch,"$45,497.11",in-store,2052,0,#N/A,210,08.12.2024,Service Plan Pro,CLOSED WON,,-
Q1-24-Summer Blitz,"$45,923.69",,3874,388,"$3,287.85",176,08.27.2023,Service Plan Pro,Closed-Won,N. America,"$1,275,685.80"
H2-2024-New Year Promo,"$34,095.53",Affiliate,207,394,"$2,380.21",329,01.27.2024,Support Tier 2,Proposal,Asia,"$937,802.74"
H1-2024-Trade Show,"$33,603.02",call center,N/A,174,$991.17,390,04.27.2024,Service Plan Basic,Lost,USA,"$172,463.58"
Q2-2023-Spring Push,"$10,739.57",Web,3731,104,"$2,683.55",452,pending,Service Plan Basic,PENDING,APAC,"$279,089.20"
Q2-24-Black Friday,"$24,327.46",e-comm,2180,291,"$4,621.64",399,11.09.2024,Gadget Mini,proposal,NA,"$1,344,897.24"
Q4-2024-Retention,"$5,107.28",Channel Partner,1401,263,"$2,564.56",469,04.16.2024,Cloud Storage 1TB,closed lost,North America,"$674,479.28"
FY-2024-Upsell,"$44,229.50",Store,3621,206.0,"$1,848.43",-,09.10.2023,Cloud Storage 5TB,Won,LATAM,"$380,776.58"
FY-23-Trade Show,"$48,915.32",Call Center,2915,147,$977.48,8,07.05.2024,Service Plan Enterprise,closed won,Asia Pacific,"$143,689.56"
Q1-2023-New Year Promo,"$34,722.28",DIRECT,4487,488.0,"$1,124.37",18,10.05.2023,Service Plan Enterprise,CW,Asia Pacific,"$548,692.56"
Q3-23-Holiday Sale,"$48,065.60",Email,274,-,"$3,369.39",25,12.10.2023,Gadget Mini,closed lost,MEA,NULL
H1-2024-Fall Campaign,0,Reseller,1533,137.0,"$4,144.87",245,06.27.2023,Service Plan Basic,WON,NA,"$567,847.19"
FY-23-Webinar Series,"$45,374.92",E-Commerce,438,63,"$2,006.59",392,11.16.2024,Consulting Hours,CLOSED WON,Middle East,"$126,415.17"
H2-24-Holiday Sale,"$23,799.88",direct,796,202.0,"$2,597.55",393,05.09.2023,Service Plan Basic,negotiation,North America,"$524,705.10"
FY-24-Fall Campaign,"$35,394.61",Reseller,300,189.00,"$3,955.56",8,06.28.2024,Service Plan Pro,negotiation,,"$747,600.84"
Q3-24-Email Blast,"$9,612.89",direct,4147,11,"$2,709.59",454,04.30.2024,Widget A,Lead,Asia,"$29,805.49"
,,Social Media,4234,478,"$1,963.44",417,04.28.2023,Software Subscription,pending,USA,"$938,524.32"
H1-2023-Email Blast,null,Social,-,,"$4,809.96",403,08.22.2024,Widget Pro,Negotiation,United States,N/A
H2-2024-Social Push,"$19,205.47",web,1954,101,"$3,516.15",45,02.26.2024,Cloud Storage 5TB,qualified,MEA,"$355,131.15"
H1-2024-Cross-sell,"$6,858.77",reseller,1534,176,"$4,538.25",N/A,04.23.2023,Analytics Dashboard,pending,North America,"$798,732.00"
Q2-23-Social Push,0,PARTNER,-,375.00,$995.29,373,11.19.2024,Widget B,CLOSED WON,LATAM,"$373,233.75"
Q1-24-Webinar Series,N/A,referral,3579,149.00,$811.63,474,05.01.2024,ERP Add-on,LOST,NA,"$120,932.87"
Q2-2023-Retention,"$11,275.25",Direct Sales,781,201,$218.55,317,06.25.2024,Cloud Storage 1TB,in progress,ANZ,"$43,928.55"
FY-2024-Social Push,"$38,475.10",Field Sales,4793,96,"$1,593.99",483,03.15.2024,Support Tier 1,qualified,Africa,"$153,023.04"
FY-24-Fall Campaign,"$35,394.61",Reseller,300,189.00,"$3,955.56",8,06.28.2024,Service Plan Pro,negotiation,,"$747,600.84"
Q3-2023-Spring Push,"$41,820.34",Telesales,861,370,$675.14,382,02.07.2025,Data Pipeline,proposal,N. America,"$249,801.80"
FY-2024-Holiday Sale,"$33,364.64",Phone,384,224,$614.77,278,01.06.2025,Service Plan Enterprise,WON,USA,"$137,708.48"
Q3-2024-New Year Promo,"$11,130.37",Social,872,384.0,"$2,662.68",22,10.25.2023,Service Plan Enterprise,Lead,UK,"$1,022,469.12"
,"$7,731.14",Social,995,140.00,"$1,812.55",435,02.15.2024,Security Bundle,Closed-Won,United States,"$253,757.00"
Q3-23-Brand Awareness,"$6,536.73",E-Commerce,4433,,"$1,791.01",488,04.06.2024,Hardware Unit,Closed Lost,Unknown,"$115,790.05"
FY-23-Social Push,"$6,816.18",e-comm,3026,230,"$4,238.85",94,07.19.2023,Other,CLOSED WON,Britain,"$974,935.50"
Q3-23-Email Blast,"$7,909.72",,4749,247.00,"$2,339.40",317,05.17.2023,Software License,lead,Europe,"$577,831.80"
FY-2023-Fall Campaign,"$1,926.32",call center,1464,17,"$3,534.22",209,06.11.2023,Training Package,negotiation,SA,"$60,081.74"
Q2-2024-Retention,$370.78,Phone,4918,124.00,"$2,859.71",145,07.17.2024,Software Subscription,PENDING,APAC,"$354,604.04"
Q2-23-Black Friday,"$49,708.83",ecommerce,4334,173.00,$873.83,449,10.08.2024,Gadget Mini,WON,EU,"$151,172.59"
Q2-2023-Spring Push,"$10,739.57",Web,3731,104,"$2,683.55",452,pending,Service Plan Basic,PENDING,APAC,"$279,089.20"
Q2-2024-Cross-sell,"$44,063.83",Store,2309,354,"$1,039.11",174,03.15.2024,Service Plan Pro,Closed Lost,ASIAPAC,"$367,844.94"
FY-2024-Brand Awareness,$569.01,Direct,4250,381.00,"$4,340.33",219,07.17.2023,Gadget X,lead,United States,"$1,653,665.73"
FY-2023-Email Blast,"$9,475.16",ONLINE,1397,246,$287.43,11,12.23.2024,Analytics Dashboard,Won,MEA,"$70,707.78"
Q4-2024-Trade Show,"$37,090.93",Channel Partner,4275,154.00,"$3,323.85",38,08.24.2024,Cloud Storage 5TB,Open,US,"$511,872.90"
H2-2023-Holiday Sale,"$36,727.81",Social,2319,68.0,"$1,797.13",366,11.27.2023,Cloud Storage 1TB,CL,Australia,"$122,204.84"
H2-2023-New Year Promo,"$43,084.65",E-Commerce,1737,217,"$2,607.73",263,02.22.2024,N/A,Lost,MEA,"$565,877.41"
Q2-23-Cross-sell,"$6,113.67",email campaign,4385,264,$881.59,98,10.20.2024,Hardware Unit,qualified,Unknown,"$232,739.76"
Q2-24-Black Friday,"$28,947.92",Email,4125,200,NA,328,07.02.2024,Hardware Unit,Negotiation,N. America,"$14,038.15"
Q2-2024-Brand Awareness,null,web,462,481,"$4,186.36",79,05.07.2024,Software Subscription,Open,SA,"$2,013,639.16"
Q2-23-Social Push,"$40,635.76",ONLINE,4060,null,N/A,N/A,12.29.2023,ERP Add-on,Won,Africa,"$156,707.53"
H2-2024-Social Push,"$19,205.47",web,1954,101,"$3,516.15",45,02.26.2024,Cloud Storage 5TB,qualified,MEA,"$355,131.15"
Q2-2023-Email Blast,"$28,323.80",direct,4609,306,"$2,807.42",348,05.29.2024,Analytics Dashboard,LOST,Latin America,"$859,070.52"
FY-23-Spring Push,"$45,836.55",Phone,904,167.0,"$4,695.26",280,10.09.2023,Software License,Proposal,Britain,"$784,108.42"
H2-2024-Summer Blitz,"$5,726.09",DIRECT,4200,446.00,$345.95,82,02.22.2024,CRM Module,closed won,N/A,"$154,293.70"
Q2-23-Retention,"$49,177.51",email campaign,1890,306.0,NULL,454,11.09.2024,Gadget Mini,Negotiation,Australia,"$83,615.93"
H2-2024-Product Launch,"$5,507.85",Field Sales,1606,211,$432.63,248,06.13.2024,Hardware Unit,Lead,Asia Pacific,"$91,284.93"
Q4-2023-Black Friday,"$2,336.61",Field Sales,1773,96.00,$717.45,84,06.17.2023,Premium Onboarding,Proposal,Unknown,"$68,875.20"
Q1-24-Holiday Sale,"$44,416.88",social,770,253,"$4,986.37",21,05.11.2024,Software Subscription,PENDING,Asia Pacific,"$1,261,551.61"
FY-2023-Email Blast,"$33,500.31",RETAIL,2744,131,"$2,839.46",38,03.22.2023,Hardware Unit,closed won,EMEA,"$371,969.26"
H1-23-Email Blast,"$21,752.82",E-Commerce,4285,135,$109.69,449,09.01.2024,Gadget Mini,open,Britain,"$14,808.15"
FY-24-Product Launch,"$37,987.14",online,936,420.0,"$4,278.37",417,06.03.2024,Service Plan Pro,Closed-Lost,EMEA,"$1,796,915.40"
Q3-23-Brand Awareness,"$6,536.73",E-Commerce,4433,,"$1,791.01",488,04.06.2024,Hardware Unit,Closed Lost,Unknown,"$115,790.05"
Q2-2023-Holiday Sale,N/A,affiliate,3248,48,"$4,862.77",206,06.09.2023,Data Pipeline,Lost,N. America,"$233,412.96"
Q2-23-Cross-sell,"$4,685.21",Referral,955,401.0,"$3,810.47",31,04.28.2023,ERP Add-on,open,Britain,"$1,527,998.47"
H1-23-Summer Blitz,"$18,640.46",direct,1449,370,"$3,251.86",418,08.31.2024,Software Subscription,LOST,South America,"$1,203,188.20"
H2-24-Trade Show,"$23,186.53",Channel Partner,null,#REF!,"$2,468.25",413,03.03.2023,Other,proposal,Europe,#N/A
H2-2023-Holiday Sale,"$10,335.32",reseller,4553,350,"$2,434.04",86,12.01.2023,N/A,Closed-Won,Asia,"$851,914.00"
Q2-24-Trade Show,"$45,221.10",,1645,178.0,"$1,950.11",182,TBD,Gadget X,Open,N/A,"$347,119.58"
Q2-2024-Email Blast,"$4,245.54",,3384,238.0,"$1,637.48",103,08.23.2024,Hardware Unit,lead,Australia,"$389,720.24"
Q3-23-Brand Awareness,"$3,174.09",Phone,4590,232.0,"$3,975.30",-,05.06.2023,Training Package,Open,Asia,"$922,269.60"
,"$31,110.75",Partner,568,258.0,"$4,518.21",14,11.01.2024,Gadget Mini,qualified,Britain,"$1,165,698.18"
Q3-23-Black Friday,"$18,445.07",ONLINE,4837,3.00,$145.66,82,10.01.2024,Widget A,qualified,EU,$436.98
H1-23-Product Launch,"$48,660.73",Direct,3509,378.0,"$4,496.26",260,08.22.2023,Gadget X,CW,SA,"$1,699,586.28"
FY-24-Black Friday,"$2,345.69",Channel Partner,N/A,205.0,$534.78,144,09.04.2024,Widget B,CLOSED LOST,South America,"$109,629.90"
FY-24-Fall Campaign,"$35,394.61",Reseller,300,189.00,"$3,955.56",8,06.28.2024,Service Plan Pro,negotiation,,"$747,600.84"
Q1-2023-Webinar Series,"$15,385.87",phone,1856,66.0,"$4,699.35",431,01.08.2024,CRM Module,In Progress,United States,"$310,157.10"
,"$48,080.04",PARTNER,1202,121.00,"$4,742.75",356,12.13.2023,Widget B,pending,LATAM,"$573,872.75"
Q3-24-Social Push,"$18,308.87",In-Store,2582,29,"$2,526.46",74,04.25.2024,ERP Add-on,CW,N. America,"$73,267.34"
Q1-24-Black Friday,"$34,885.85",PARTNER,3558,347.00,"$1,401.99",182,06.09.2024,Security Bundle,CLOSED WON,EU,"$486,490.53"
,"$22,112.42",email campaign,4529,296,"$1,427.92",-,12.26.2023,,negotiation,,"$422,664.32"
Q3-2023-New Year Promo,"$43,820.58",e-comm,2827,288.00,"$4,335.49",91,12.22.2024,ERP Add-on,CLOSED WON,APAC,"$1,248,621.12"
FY-24-Retention,"$27,798.74",Field Sales,2108,170,"$3,877.53",40,08.01.2023,Gadget Mini,Lead,USA,"$659,180.10"
H1-2024-Fall Campaign,0,Reseller,1533,137.0,"$4,144.87",245,06.27.2023,Service Plan Basic,WON,NA,"$567,847.19"
FY-23-Brand Awareness,"$29,878.66",referral,4523,62.0,"$4,373.18",463,07.02.2023,Analytics Dashboard,CW,Britain,"$271,137.16"
H2-24-New Year Promo,N/A,referral,567,427.00,"$4,629.42",264,08.10.2024,Analytics Dashboard,CLOSED LOST,EMEA,"$1,976,762.34"
Q4-24-Trade Show,"$43,870.34",partner,3583,400.0,"$4,667.37",46,04.09.2024,Gadget X,CLOSED WON,NA,"$1,866,948.00"
Q1-23-Black Friday,"$43,331.30",Direct,4642,4.00,$972.99,211,08.29.2024,Service Plan Enterprise,CLOSED WON,ASIAPAC,"$3,891.96"
Q2-24-Black Friday,"$28,947.92",Email,4125,200,NA,328,07.02.2024,Hardware Unit,Negotiation,N. America,"$14,038.15"
H1-24-Social Push,"$30,972.52",referral,4037,245.00,"$3,103.29",208,04.07.2023,Widget Pro,Closed Lost,APAC,"$760,306.05"
H2-24-Brand Awareness,"$5,503.08",Retail,null,97,"$3,046.48",457,12.30.2024,Marketing Suite,Closed-Lost,EU,"$295,508.56"
H1-23-Summer Blitz,"$27,994.26",email,1634,243,"$1,722.78",427,11.11.2024,Service Plan Enterprise,Lead,LATAM,"$418,635.54"
Q4-23-Upsell,"$37,444.76",Email,2188,368,"$1,257.13",294,05.06.2023,Service Plan Pro,CLOSED WON,Latin America,"$462,623.84"
,"$33,685.20",social,302,206,"$1,423.42",253,12.19.2024,Data Pipeline,pending,US,"$293,224.52"
Q4-23-Spring Push,"$23,180.77",Call Center,1135,15,"$1,444.72",60,09.22.2023,Gadget X,CLOSED WON,Africa,"$21,670.80"
Q4-23-Holiday Sale,"$31,862.12",Telesales,938,438,"$2,519.19",407,,Consulting Hours,WON,ANZ,"$1,103,405.22"
Q1-23-Summer Blitz,"$5,860.66",Partner,N/A,172.00,$225.90,189,09.05.2023,Hardware Unit,lead,South America,"$38,854.80"
