Reigon,Chanell,Ad Spned,Campagn,Saels Rep,Revnue,Quatity,Dte,Stauts,Converison
South America,Affiliate,$274,Q1-2024-New Year Promo,Alice Johnson,$771555,307.0,04/19/2024,CL,203
USA,Online,$9527,Q4-2023-Email Blast,jake thomas,$796133,210,07/15/2024,Qualified,266
Middle East,partner,,,Mia Clark,$48396,16.00,03/02/2025,proposal,9
UK,Field Sales,$11788,FY-23-Webinar Series,Carol Davis,$351201,229.0,09/18/2023,Proposal,249
Asia,E-Commerce,$35634,H2-24-Brand Awareness,Jane Doe,$94444,350.0,TBD,Lead,484
NA,Store,$41245,H2-2023-Spring Push,jake thomas,$341780,91.00,02/21/2024,CW,458
ANZ,referral,-,Q4-24-Webinar Series,E. Martinez,$762066,271,03/14/2024,Closed-Won,181
MEA,referral,$23984,Q3-2024-Brand Awareness,J. Thomas,$253450,117,08/21/2023,Qualified,429
ANZ,Referral,$40166,H1-2024-Retention,JOHN SMITH,$473182,137.00,03/04/2025,in progress,404
-,direct,,H1-2023-Summer Blitz,JANE DOE,$1041793,444,09/16/2023,Closed-Lost,195
Australia,Email,$1926,FY-2023-Upsell,Iris Anderson,$549010,263.0,09/12/2023,closed lost,344
Asia,,$28069,Q2-24-Holiday Sale,jane doe,$629208,150.0,05/27/2025,in progress,284
NA,referral,$15241,Q3-23-Holiday Sale,L. Harris,$1445696,496.00,07/10/2025,Closed-Won,369
MEA,email campaign,$40041,Q3-2024-Trade Show,iris anderson,$667783,145.0,02/10/2025,pending,273
Australia,ecommerce,$26917,Q2-24-Black Friday,J. Doe,NA,229.00,08/15/2023,lead,472
USA,Store,$12968,Q3-23-Fall Campaign,I. Anderson,$1424081,474.0,02/11/2024,lead,437
South America,reseller,$20656,,Frank Wilson,$170844,84.0,08/12/2023,CW,331
Middle East,Direct Sales,$47656,Q4-2024-Holiday Sale,,$73012,116,03/29/2025,qualified,389
N. America,social media,$34796,FY-23-Fall Campaign,alice johnson,$1106884,384,03/29/2024,Won,476
-,direct,,H1-2023-Summer Blitz,JANE DOE,$1041793,444,09/16/2023,Closed-Lost,195
US,Web,$20786,Q3-23-Webinar Series,J. Doe,$1085852,441.00,11/06/2024,WON,373
Middle East,reseller,$42636,H2-24-Trade Show,Eva Martinez,$682018,252,06/22/2025,pending,346
