Exported from Umbrella Ltd CRM on 2026-03-08,,,,,,,,,
CAMPAIGN,STATUS,UNIT_PRICE,COMPANY,REVENUE,QTY,DATE,REGION,CONVERSIONS,notes
,CL,$3804,Umbrella Ltd,$1613036,424.00,2024/11/22,US,N/A,
Q3-2023-Brand Awareness,Qualified,$2586,Umbrella Ltd,$271518,105,2023/12/31,ASIAPAC,446,
Q1-2024-Cross-sell,closed lost,$2815,Umbrella Ltd,$374331,133,2023/04/14,NA,-,bulk order
FY-23-New Year Promo,qualified,$1300,Initech Solutions,$323588,249,2023/04/04,Europe,487,
H1-24-New Year Promo,Lost,$4198,Umbrella Ltd,$327458,78.0,2024/12/14,EU,140,partial payment
Q3-23-Retention,pending,$2622,Umbrella Ltd,$1056614,403.0,2023/02/28,Asia,433,
Q3-23-Retention,CW,$878,Umbrella Ltd,$368781,420,2023/09/03,-,-,
H1-2023-Summer Blitz,Lead,$677,Umbrella Ltd,$198923,294.00,2025/02/09,,100,
Q3-2023-Social Push,CLOSED LOST,$2241,Umbrella Ltd,$1042172,465.0,2025/01/14,Australia,120,
Q1-2024-Upsell,In Progress,$3042,Umbrella Ltd,$1280762,421,2023/03/05,Australia,165,
FY-2024-Summer Blitz,in progress,$820,Umbrella Ltd,$191866,234,2023/07/25,ASIAPAC,149,
Q3-2023-Trade Show,closed lost,$1453,BlueOcean Retail,$148241,102,2023/12/13,South America,482,
Q4-23-Webinar Series,CL,null,Umbrella Ltd,$178013,338.0,2024/07/07,Britain,168,
FY-23-Spring Push,LOST,$2891,Umbrella Ltd,$141635,49,2024/02/18,,-,
H2-2023-Holiday Sale,qualified,$1786,Pinnacle Analytics,$662472,371.00,2025/01/30,North America,365,
FY-2024-Trade Show,Negotiation,$3317,Cybertruck Co,$1499225,452.0,2024/05/10,South America,255,partial payment
FY-24-Social Push,Closed-Lost,$4584,Umbrella Ltd,$573002,125.0,2023/07/08,MEA,220,follow up needed
Q4-2023-Upsell,open,$2709,Umbrella Ltd,$1349177,498,2024/03/04,Unknown,130,
Q1-24-Social Push,closed lost,$2046,Umbrella Ltd,$826689,404.00,2024/06/12,Africa,105,returned
Q3-2024-Retention,lead,$3375,Umbrella Ltd,$472548,140,2024/06/18,-,23,NET30 terms
H2-2024-Product Launch,closed won,$2788,Umbrella Ltd,$521378,187,2023/09/01,North America,146,
Q4-24-Trade Show,Lost,$4668,Umbrella Ltd,$2119227,454,2023/06/16,United Kingdom,350,renewal
Q4-2024-Fall Campaign,CW,$2101,Cyberdyne Systems,$829828,395.0,2023/07/06,Middle East,483,follow up needed
Q2-2023-New Year Promo,Closed-Won,$4850,HealthPlus Pharma,$218236,45,N/A,Asia,328,
H2-2024-Social Push,PENDING,$2744,Umbrella Ltd,$1209945,441.00,2023/08/12,SA,50,
H2-23-Webinar Series,open,$4618,Umbrella Ltd,NULL,null,2024/12/02,Europe,157,
Q3-2024-Product Launch,Closed-Won,$842,FreshCart,$415997,494.00,2024/06/01,Latin America,450,CEO referral
Q3-2024-Spring Push,Closed Lost,$2686,Umbrella Ltd,$620434,231.00,2023/07/14,Asia,349,
Q4-23-Summer Blitz,Lost,$3007,Umbrella Ltd,$427022,142,2023/03/01,UK,316,pending approval
FY-24-Holiday Sale,open,$4516,,$63950,#REF!,2023/10/09,USA,469,
Q4-2024-Product Launch,open,$2814,Umbrella Ltd,$346080,123,2025/02/16,MEA,218,
Q3-24-Product Launch,PENDING,$3823,Umbrella Ltd,$1911330,500.00,2024/07/20,LATAM,171,
,WON,$2227,Umbrella Ltd,NULL,#REF!,2023/04/29,N. America,229,
Q4-23-Cross-sell,qualified,$3522,Umbrella Ltd,missing,-,2025/02/10,ANZ,396,
Q3-23-Trade Show,closed won,$4011,Brawndo Corp,$1042881,260,2023/11/17,Britain,36,escalated
Q4-23-Product Launch,Closed-Won,$2935,Hooli Inc,$927454,316.0,2025/02/16,UK,34,
H2-2024-Email Blast,negotiation,$1781,Umbrella Ltd,$545075,306.00,2023/03/24,N. America,241,escalated
Q2-2023-Black Friday,PENDING,$3463,Umbrella Ltd,$907382,262.00,2023/05/24,EU,49,
Q1-23-New Year Promo,closed lost,$1631,Umbrella Ltd,$106000,65.0,2024/10/14,Australia,28,
Q3-2023-Upsell,qualified,null,Umbrella Ltd,NA,,2023/11/26,Europe,119,escalated
