CONVERSIONS,CHANNEL,SALES_REP,CAMPAIGN,REGION,DATE,LEADS,REVENUE,AD_SPEND
56,Social,bob williams,FY-24-Email Blast,Europe,13-Mar-2025,3849,"$396,192.42","$48,758.40"
,Brick & Mortar,eva martinez,Q4-23-Spring Push,Europe,22-Oct-2023,329,"$402,045.84","$16,476.69"
362,Email,L. Harris,H2-24-Summer Blitz,MEA,17-Apr-2024,4198,"$1,079,469.82","$49,798.29"
486,partner,eva martinez,H1-2024-Black Friday,Asia,03-Nov-2024,3759,"$141,537.22",
66,Brick & Mortar,Henry Taylor,Q1-23-New Year Promo,Latin America,15-Oct-2023,1124,"$379,503.30","$34,396.10"
409,in-store,B. Williams,Q3-2024-Retention,APAC,30-Aug-2024,1161,"$225,429.53",N/A
245,Online,N/A,FY-2024-Cross-sell,US,02-Mar-2025,2328,"$93,645.03","$25,214.94"
337,referral,I. Anderson,H1-2024-Upsell,NA,30-Jun-2025,3692,"$1,029,308.13","$7,124.61"
242,Partner,F. Wilson,FY-2023-Black Friday,Asia,24-Nov-2023,null,"$555,931.50","$32,626.01"
N/A,Store,A. Johnson,Q2-2023-Summer Blitz,USA,07-Dec-2024,880,"$2,246,483.25","$40,374.83"
311,Call Center,john smith,FY-23-Upsell,United Kingdom,18-Jan-2025,2757,"$229,720.74","$23,324.01"
341,Referral,TBD,Q3-24-Social Push,US,13-Aug-2023,null,"$216,664.32","$35,119.87"
243,Store,JOHN SMITH,Q3-2023-Brand Awareness,Asia Pacific,14-Apr-2025,1761,"$31,899.35","$46,660.82"
425,social,John Smith,Q3-2024-Black Friday,US,01-Jul-2025,4842,"$317,430.28","$14,188.79"
378,social,david brown,H1-2023-Cross-sell,US,18-Jul-2024,2470,"$243,061.49","$42,670.32"
254,Direct,I. Anderson,H1-2024-New Year Promo,SA,06-Apr-2025,4082,N/A,"$10,746.28"
61,call center,Alice Johnson,H1-24-Social Push,LATAM,17-Apr-2024,1528,"$1,623,388.50","$15,915.54"
14,reseller,N/A,H2-2023-New Year Promo,Europe,06-Feb-2025,1502,"$137,403.00","$9,586.74"
106,direct,john smith,H1-24-Webinar Series,North America,20-Sep-2023,4542,"$45,576.00","$48,638.78"
279,PARTNER,Bob Williams,Q1-2023-Product Launch,Asia Pacific,17-Aug-2024,3573,"$741,160.89","$20,931.05"
229,,JOHN SMITH,Q3-2023-Email Blast,EU,05-Aug-2024,3509,"$923,037.10","$8,942.57"
480,Direct Sales,N/A,Q4-24-Retention,ASIAPAC,22-Mar-2025,1823,"$918,572.20","$19,074.27"
492,email,Grace Lee,Q1-24-Upsell,MEA,24-Jun-2025,2491,"$350,002.16","$26,619.86"
380,Affiliate,Grace Lee,Q2-2024-Product Launch,Africa,26-Oct-2023,1603,"$485,959.40","$45,756.14"
438,RETAIL,J. Smith,FY-24-Product Launch,Middle East,03-Jul-2024,15,"$6,594.75","$28,396.01"
249,web,D. Brown,,Asia Pacific,08-Feb-2024,314,"$20,716.55","$9,765.12"
224,In-Store,JANE DOE,H1-24-Fall Campaign,Australia,15-Feb-2025,3647,"$54,562.50","$8,604.61"
370,RETAIL,Mia Clark,Q2-23-Holiday Sale,LATAM,05-Jan-2025,2556,"$1,254,712.00","$43,617.48"
134,Website,David Brown,Q2-23-Summer Blitz,LATAM,02-Aug-2025,-,"$1,066,698.00","$23,968.24"
13,in-store,C. Davis,Q4-23-New Year Promo,EU,17-Dec-2024,138,"$244,254.53","$42,632.13"
481,ecommerce,Unassigned,Q2-23-Social Push,EU,02-Jan-2025,261,"$113,197.91","$38,416.00"
183,phone,Grace Lee,Q4-23-Holiday Sale,Asia,08-Jun-2024,1627,"$375,701.04","$28,038.10"
496,Email,A. Johnson,Q3-2024-Product Launch,United States,05-Nov-2023,2823,"$149,833.62","$35,689.41"
215,Partner,Mia Clark,Q1-2023-New Year Promo,United Kingdom,17-Jul-2025,4080,"$140,618.73","$7,070.64"
124,online,david brown,H1-24-Spring Push,ANZ,18-Dec-2023,847,"$142,909.86","$13,732.91"
397,retail,C. Davis,FY-24-Webinar Series,ASIAPAC,31-Jan-2025,3099,"$187,859.10","$10,990.45"
