Quantity,Status,Campaign,Ad Spend,Region,Leads,Revenue,Company,Conversions,Date,CUR
#REF!,pending,Q1-23-Trade Show,"4625,49",LATAM,3982,N/A,Initech Solutions,372,2025-03-30,JPY
280.00,pending,,"41429,00",ASIAPAC,3338,"523037,20",FreshCart,466,2025-05-09,CAD
353,Lost,H2-2024-Brand Awareness,"40696,36",UK,4464,"1757964,71",Massive Dynamic,-,2025-10-24,GBP
270.0,Closed Lost,Q2-23-Social Push,"15588,18",EMEA,1044,"121913,10",FreshCart,41,N/A,
5,lead,H1-23-Retention,N/A,LATAM,2401,"14951,65",FreshCart,398,2025-07-26,
172.00,CLOSED WON,Q4-2024-Holiday Sale,"46698,68",United Kingdom,93,"816191,60",Initech Solutions,116,2025-05-26,
475,qualified,FY-2024-Trade Show,"48245,01",APAC,4135,"2021315,00",FreshCart,N/A,2024-08-06,USD
182.00,closed lost,FY-23-New Year Promo,null,Australia,2550,"271212,76",FreshCart,430,pending,CAD
52.00,Open,Q4-2023-Trade Show,"46739,00",Europe,1214,"37665,16",FreshCart,219,2025-06-12,
341,CLOSED LOST,Q3-2024-Cross-sell,"43652,52",Unknown,2907,"1336130,07",FreshCart,185,2024-11-07,GBP
162,PENDING,Q1-2023-Fall Campaign,"23095,60",US,4210,"58423,68",Oscorp Technologies,225,2024-04-25,USD
466,closed won,H2-23-Webinar Series,"45207,72",North America,1698,"1324106,38",Genco Pura,15,2025-01-06,EUR
126.0,Closed Lost,H2-23-Holiday Sale,"35897,43",Unknown,3020,"117316,08",Rekall Inc,188,2024-11-19,USD
215,Pending,Q1-2024-Social Push,"11452,66",ANZ,2475,"671634,20",Virtucon,324,2025-04-06,USD
39.00,Proposal,FY-2024-Trade Show,"26699,03",USA,3476,"81194,88",,443,2025-02-13,GBP
224,negotiation,H1-24-Brand Awareness,"12173,47",EU,2958,"529683,84",FreshCart,201,N/A,USD
310,LOST,H1-2023-Fall Campaign,"14726,06",N. America,1297,"872640,70",GreenLeaf Energy,336,2024-06-17,GBP
480.00,WON,Q3-2023-Summer Blitz,"7213,44",North America,3622,"668515,20",FreshCart,222,2024-06-08,JPY
73.00,Closed Lost,Q2-2023-Fall Campaign,"25301,52",Middle East,1796,"20391,09",DataWave Inc,357,2025-08-21,EUR
204,closed lost,,"25134,64",South America,105,"915003,24",NovaTech Solutions,472,2025-04-20,GBP
158.0,in progress,,"6346,24",SA,4679,"461961,98",AgriGrow Corp,-,2024-07-04,GBP
352.0,open,,"22739,56",Asia Pacific,3293,"1362926,40",FreshCart,388,2025-01-08,
315,WON,Q2-23-Social Push,"8532,02",USA,null,"672178,50",FreshCart,113,2024-06-14,AUD
77.00,CL,H2-2023-Email Blast,"15539,46",,2610,"145915,77",FreshCart,237,2025-11-11,GBP
314.00,Lead,Q2-24-Fall Campaign,"21078,23",N. America,3841,"274165,96",FreshCart,7,2025-03-15,CAD
#REF!,pending,H1-2023-Email Blast,"16376,25",SA,4632,"128504,92",FreshCart,123,2025-02-28,USD
446,WON,Q4-23-Cross-sell,"6025,23",USA,1536,"1157236,20",FreshCart,497,2025-10-03,EUR
-,qualified,Q1-23-Summer Blitz,"17189,50",Asia Pacific,390,"229162,18",Pinnacle Analytics,22,2025-05-27,GBP
455,closed won,Q3-23-Webinar Series,0,UK,1999,"2206345,05",FreshCart,18,2025-01-13,GBP
282,open,Q3-2023-Trade Show,"26884,80",US,1093,"200070,54",FreshCart,189,2025-11-27,JPY
null,PENDING,Q4-2023-Social Push,"16946,10",LATAM,2076,-,SummitView Hotels,372,2024-12-24,CAD
489,CW,H1-2023-Spring Push,"21338,23",Latin America,4399,"1375009,32",FreshCart,174,TBD,GBP
6.00,Closed-Won,Q1-24-Spring Push,"16586,75",N/A,2309,"23381,58",FreshCart,404,2024-04-23,
387,In Progress,,"44062,98",Unknown,4367,"1907101,17",FreshCart,277,2024-05-20,GBP
107,in progress,H1-2024-Black Friday,-,NA,-,"41202,49",FreshCart,403,2024-03-20,
160,closed lost,,"11479,62",Asia Pacific,858,"33728,00",Virtucon,145,2024-11-05,AUD
13,open,Q3-23-Fall Campaign,"48455,62",N/A,N/A,"63088,22",FreshCart,496,2025-08-21,
N/A,Pending,,0,LATAM,N/A,"97899,77",FreshCart,250,2025-09-25,CAD
462,closed won,FY-23-Holiday Sale,"41830,53",EMEA,-,"644975,10",FreshCart,N/A,2024-10-13,GBP
285,Closed-Lost,,"36850,67",USA,1649,"753548,55",FreshCart,275,2025-01-10,USD
87.0,Proposal,FY-2024-Summer Blitz,-,Africa,4877,"414213,96",FreshCart,,TBD,JPY
351,CW,Q2-23-Retention,"5676,40",N. America,848,"1422736,38",FreshCart,210,2024-07-09,
455,Closed-Won,FY-23-Trade Show,"29843,80",US,1262,"1947304,45",Initech Solutions,177,2024-10-01,JPY
,,,,,,,,,,
,,,,,,,,,,
