Umsatz,Abschluesse,Stueckpreis,Status,Firma,Werbeausgaben,Kampagne,Kanal,Vertreter,Produkt,Menge,Datum,Leads,Region,CUR
831545,318,2253,Closed Won,Brawndo Corp,5235,Q1-2024-Cross-sell,in-store,,Service Plan Enterprise,369,20241107,4935,Africa,CAD
82480,498,358,Qualified,Brawndo Corp,18175,H1-2024-Summer Blitz,Brick & Mortar,jane doe,Service Plan Enterprise,230.00,20241228,4186,ANZ,EUR
79648,250,278,CLOSED LOST,Brawndo Corp,4067,Q4-2023-New Year Promo,retail,Frank Wilson,Widget B,286.00,20240301,3355,Africa,GBP
715037,383,1659,Proposal,Brawndo Corp,20432,Q2-2024-Holiday Sale,Social,C. Davis,Service Plan Basic,431,20241002,768,N. America,
189238,2,1931,Qualified,Brawndo Corp,7125,FY-2023-Spring Push,Direct Sales,Jane Doe,Gadget Mini,98.0,20241010,63,Middle East,AUD
15826,-,177,WON,Brawndo Corp,17590,FY-2023-Trade Show,Reseller,Mia Clark,Security Bundle,89.0,20250810,351,United States,USD
72380,16,731,WON,Brawndo Corp,4931,H1-2024-Summer Blitz,Referral,M. Clark,Widget Pro,99.00,20231115,1249,Latin America,JPY
225412,194,655,CLOSED LOST,Brawndo Corp,3486,H1-23-Social Push,Reseller,Carol Davis,Support Tier 2,344.00,20240117,3782,North America,CAD
NULL,95,2951,Closed Lost,Brawndo Corp,N/A,FY-24-Fall Campaign,affiliate,Jane Doe,Premium Onboarding,#REF!,20240909,3776,N. America,CAD
#N/A,,#N/A,LOST,Weyland Corp,3939,H1-2024-Cross-sell,,Jane Doe,ERP Add-on,106,20250221,3740,EU,GBP
458510,339,1200,closed won,Brawndo Corp,19768,H2-24-Brand Awareness,social,Henry Taylor,Cloud Storage 1TB,382,20240919,2225,EU,AUD
7090,393,1012,PENDING,Brawndo Corp,43739,Q2-2024-Brand Awareness,affiliate,Jane Doe,Software License,7,20231123,1811,ANZ,JPY
465731,320,2631,Closed Lost,Brawndo Corp,14394,H1-24-Brand Awareness,online,JOHN SMITH,Cloud Storage 5TB,177,20240515,,North America,EUR
193530,492,-,pending,Cybertruck Co,47008,Q2-23-Product Launch,e-comm,Iris Anderson,Widget A,478,20241204,2524,Unknown,JPY
1387784,-,3197,Closed Lost,FreshCart,22751,Q1-23-Fall Campaign,Channel Partner,E. Martinez,Analytics Dashboard,434.00,20241216,4586,Latin America,USD
120470,92,4461,Negotiation,Brawndo Corp,7580,H1-2023-New Year Promo,Call Center,Frank Wilson,Widget B,27.00,20250420,-,Asia Pacific,AUD
1273849,6,4095,CLOSED WON,Brawndo Corp,24339,,social,henry taylor,Gadget X,311.00,20250314,3547,US,CAD
270233,205,1019,closed won,Globex Industries,28518,Q2-2024-Retention,Retail,Jake Thomas,Security Bundle,265,TBD,2462,United Kingdom,
1368310,448,4801,proposal,Brawndo Corp,32760,,Social,jane doe,Service Plan Basic,285,20251006,2749,Europe,AUD
640131,406,4414,WON,Stratton Oakmont,47568,H1-24-Retention,Call Center,Iris Anderson,CRM Module,145.0,20240627,3006,Unknown,CAD
37794,59,561,closed lost,Brawndo Corp,17552,Q1-2024-Brand Awareness,,Iris Anderson,Marketing Suite,#REF!,20250603,,United Kingdom,AUD
13534,1,30,CLOSED LOST,FreshCart,31469,Q2-2023-Summer Blitz,in-store,alice johnson,API Access,441.00,20250413,3608,EMEA,
1522932,N/A,4573,WON,Brawndo Corp,14510,Q3-24-Holiday Sale,Web,N/A,Consulting Hours,333.0,20240320,2134,-,USD
29515,395,3689,Qualified,Brawndo Corp,6462,H1-2024-Black Friday,Phone,L. Harris,Consulting Hours,8,20251101,828,Latin America,JPY
442594,139,3882,Closed Lost,PixelForge Studios,N/A,FY-24-Brand Awareness,In-Store,John Smith,Support Tier 1,114,20240415,1295,United States,
1483157,471,4414,closed won,Brawndo Corp,1253,FY-23-Fall Campaign,social,Frank Wilson,Cloud Storage 1TB,336.00,20240131,4640,UK,CAD
396006,444,1760,proposal,Spacely Sprockets,21607,H1-23-Summer Blitz,ONLINE,H. Taylor,Hardware Unit,225.00,20250430,,N/A,
179376,18,4270,Pending,NovaTech Solutions,46162,Q2-2023-Retention,ONLINE,henry taylor,Training Package,42,20250501,1649,MEA,AUD
16278,159,1808,Lead,Brawndo Corp,36932,FY-2023-Retention,email,JOHN SMITH,Support Tier 2,9.00,20251005,2501,N. America,AUD
1328515,413,4087,Closed Lost,Brawndo Corp,46999,H1-2023-Product Launch,Social,frank wilson,Software License,325.0,20250117,1634,North America,EUR
597874,441,2657,pending,Dunder Mifflin,44773,FY-2023-Retention,Retail,JANE DOE,Premium Onboarding,225.0,20250923,-,USA,GBP
132187,337,617,lead,Brawndo Corp,8464,Q4-2023-Spring Push,email,A. Johnson,Gadget Mini,214,20240922,2598,??,EUR
167894,159,4537,Qualified,Brawndo Corp,30447,FY-24-Trade Show,email campaign,JOHN SMITH,Consulting Hours,37,20240820,3981,LATAM,JPY
37952,167,NA,PENDING,Sterling Cooper,4075,Q3-24-Holiday Sale,online,John Smith,Support Tier 2,33,20250414,3599,Australia,
809581,290,3174,pending,Soylent Corp,-,Q4-23-Holiday Sale,Reseller,Unassigned,Premium Onboarding,255,20231210,1094,N/A,EUR
788833,142,4066,Lead,Bluth Company,44535,H1-2024-Webinar Series,ONLINE,carol davis,API Access,194,20240823,2609,US,
532728,276,3832,Won,Brawndo Corp,5000,Q4-24-Holiday Sale,Retail,Unassigned,Service Plan Basic,139,20240903,2192,EMEA,EUR
1107444,414,2899,closed lost,Umbrella Ltd,30049,FY-2023-Product Launch,referral,john smith,Software License,382,20250928,3127,North America,GBP
759875,48,2093,Won,Brawndo Corp,26990,Q3-24-Social Push,Retail,Iris Anderson,Analytics Dashboard,363,20240606,2914,APAC,CAD
413157,212,3755,pending,Brawndo Corp,24723,Q4-24-Retention,social,Eva Martinez,API Access,110.00,20240729,1713,MEA,JPY
