product_name	sale_date	campaign_name	total_revenue	num_conversions	unit_price	num_leads	deal_status	ad_spend_usd	rep_name	Currency	notes
Marketing Suite	28-Aug-2023	H1-23-Social Push	51711,88	97	2350,54	4337	closed won	46516,88	mia clark	USD	
Other	16-Sep-2024	Q2-2023-New Year Promo	165606,74	432	527,41	3653	Closed-Lost	43836,67	Mia Clark	EUR	
Service Plan Basic	05-Aug-2023	Q4-2023-Brand Awareness	201644,06	284		871	Closed Lost	10257,02	M. Clark	AUD	
Analytics Dashboard	17-Feb-2024	Q1-24-Retention	1064650,95		3197,15	4658	WON	6637,57	John Smith	JPY	escalated
Cloud Storage 1TB	07-Jan-2025	Q4-24-New Year Promo	100426,98	14	3336,97	833	negotiation	39382,65	J. Thomas	AUD	
Software License	17-Mar-2025	FY-24-Brand Awareness	1006844,48	142	3088,48	1810	pending	45406,72	D. Brown	GBP	VIP client
Analytics Dashboard	02-Dec-2024	Q3-24-Fall Campaign	384094,15	489	1873,63	162	qualified	15282,39	karen white	EUR	returned
Widget A	09-Apr-2025	Q3-2023-Cross-sell	176990,40	233	694,08	N/A	proposal	45650,83	Henry Taylor		
Data Pipeline	11-Jan-2025	H1-2023-Cross-sell	140262,74	12	694,37	207	lead	25108,14	B. Williams	AUD	
Training Package	16-Dec-2024	Q2-2023-New Year Promo	549829,62	122	2476,71	4507	Closed Lost	N/A	Karen White	USD	
MISC	08-Jan-2024	Q2-2024-Spring Push	1547974,93	N/A	4041,71	2760	lead	45975,09	Grace Lee	JPY	
Hardware Unit	06-Dec-2023	Q2-23-Trade Show	200911,90		873,53	164	Lost	17212,42	C. Davis	EUR	renewal
Service Plan Enterprise	20-Jun-2023	Q1-2023-New Year Promo	99396,45	460	3681,35	1937	Qualified	26874,40	henry taylor	GBP	
Training Package	TBD	FY-2023-Fall Campaign	197931,39	243	-	2405	Lost	null	C. Davis	USD	
Security Bundle	13-Apr-2024		173162,25	90	3848,05	2345	Closed Lost	6757,25	D. Brown	GBP	
N/A	29-Feb-2024	Q4-23-Holiday Sale	1300956,54	146	3228,18	4778	Lead	18437,09	bob williams	GBP	follow up needed
Widget Pro	18-Dec-2023	Q1-2024-Upsell	457070,40	42	952,23	45	open	N/A	JANE DOE		
ERP Add-on	08-Mar-2024	H1-23-Fall Campaign	566410,60	404	2889,85	3275	pending	38959,60	L. Harris	EUR	VIP client
Marketing Suite	06-Sep-2024	Q4-2024-Retention	330725,62	32	1517,09	2293	WON	21682,78	Jane Doe	AUD	
Hardware Unit	27-Feb-2024	Q2-2023-Summer Blitz	200420,16	338	4356,96	790	Negotiation	36991,89	A. Johnson		
Analytics Dashboard	13-Jan-2025	Q4-23-Product Launch	855332,50	238	1800,70	884	qualified	11378,37	L. Harris		
Data Pipeline	10-Aug-2023	Q4-2024-Webinar Series	108374,95	456	3760,37	506	in progress	46069,85	D. Brown	AUD	
Marketing Suite	N/A	Q4-24-Trade Show	367696,80		1361,84	915	CLOSED WON	20013,98	jane doe		
ERP Add-on	10-Dec-2024	FY-24-Spring Push	79916,72	287	768,43	3479	CLOSED LOST	33006,59	karen white		follow up needed
CRM Module	13-Oct-2023	Q3-2024-Holiday Sale	367923,60	302	2420,55	831	in progress	15118,54	JANE DOE	AUD	
Gadget X	14-Oct-2023			189		2178	Open	41521,47	Leo Harris		
Training Package	06-Mar-2025	Q3-2024-Webinar Series	190295,50	134	NA	1704	Negotiation	3407,66	Eva Martinez	CAD	escalated
Gadget X	12-Oct-2023	Q1-23-Trade Show	227245,15	383	null	1639	Proposal	26941,83	carol davis	CAD	VIP client
API Access	11-Feb-2025	H2-2023-Holiday Sale	104225,75	151	2442,31	null	lead	7994,58	Unassigned		CEO referral
Software Subscription	26-Jan-2025	H2-23-Webinar Series	353340,94	494	1620,83	666	lead	39220,67	I. Anderson	JPY	
Software Subscription	24-May-2023	H2-24-Cross-sell	11986,56	41	1331,84	4227	PENDING	27730,09	B. Williams	AUD	
Service Plan Enterprise	13-Nov-2023	FY-2023-Holiday Sale	514269,60	6	1648,30	3712	pending	24504,33	John Smith		
Training Package	21-Oct-2024	Q4-2024-Cross-sell	767484,70	107	3336,89	705	Won	32009,67	john smith		
Service Plan Basic	17-Apr-2024		1364727,24	239	3921,63	4099	proposal	25117,07	J. Thomas	JPY	CEO referral
Security Bundle	20-Apr-2024	Q2-2023-Email Blast	1298869,18	500	4315,18	2348	Closed Won	41076,21	iris anderson	USD	
Widget Pro	03-Dec-2024	Q3-23-Social Push	181417,60	197	407,68	609	closed won	4813,93	bob williams	EUR	
Cloud Storage 5TB	TBD	Q1-2023-Upsell	953789,12	473	3018,32	3472	LOST	11680,13	Karen White	AUD	NET30 terms
