Deal Status,Price Per Unit,Company Name,Marketing Leads,Product / Service,Total Amount,Geographic Region,Marketing Spend,Closed Deals,Sales Channel,Campaign ID,Transaction Date,Account Executive
closed won,"5,98",Massive Dynamic,2472,N/A,"1375,40",United Kingdom,0,261,call center,Q1-23-Black Friday,11/14/2024,jake thomas
Open,"3963,35",Massive Dynamic,4914,Training Package,"1795397,55",Latin America,"16300,24",391,Field Sales,H1-2024-Product Launch,10/31/2025,carol davis
in progress,"2668,36",Massive Dynamic,3475,Service Plan Pro,"1307496,40",Africa,"37094,61",418,Social,Q4-24-Spring Push,02/18/2024,TBD
closed lost,"3484,15",Massive Dynamic,null,Security Bundle,"508685,90",Middle East,"5483,78",452,Store,H1-2023-Social Push,07/30/2024,iris anderson
Closed Won,"2584,94",Massive Dynamic,3268,Consulting Hours,"548007,28",United States,"17741,54",137,Social,Q2-23-Webinar Series,07/04/2024,carol davis
closed won,"1332,75",Soylent Corp,4255,API Access,"39982,50",APAC,"26356,98",320,Call Center,Q4-2023-Trade Show,11/23/2024,Henry Taylor
open,"730,04",Massive Dynamic,969,Gadget Mini,"340198,64",Australia,"48647,51",155,email campaign,Q3-2024-Trade Show,03/29/2024,J. Smith
proposal,"1120,42",Cyberdyne Systems,4181,Training Package,"86272,34",Middle East,"48203,61",350,Phone,Q2-2024-Upsell,03/09/2025,A. Johnson
negotiation,"397,63",Massive Dynamic,null,Widget B,"42944,04",NA,"25722,61",,ONLINE,,07/01/2024,JANE DOE
open,"1909,28",GreenLeaf Energy,3485,Cloud Storage 1TB,"471592,16",N. America,"43850,64",96,,Q1-2023-Retention,N/A,Eva Martinez
in progress,"548,62",Cyberdyne Systems,1609,ERP Add-on,"86133,34",N. America,"42494,40",416,Reseller,Q2-2023-Retention,02/10/2025,iris anderson
closed lost,"2928,92",Massive Dynamic,2257,Support Tier 1,"234313,60",Asia Pacific,"27922,38",286,Direct Sales,H1-24-Trade Show,01/03/2025,L. Harris
closed won,"3147,68",Massive Dynamic,3942,Service Plan Pro,"1510886,40",NA,"10967,63",324,Online,Q3-2023-Product Launch,10/09/2025,
