Exported from Nakatomi Trading CRM on 2026-03-08,,,,,,,,,,,,,,
Leads,Unit Price,Region,Ad Spend,Date,Campaign,Status,Company,Quantity,Revenue,Conversions,Product,Sales Rep,Channel,Waehrung
4333,"1884,44",Africa,"16968,72",2024/12/20,FY-24-Upsell,closed lost,Nakatomi Trading,481,"906415,64",101,Service Plan Pro,Grace Lee,social media,CAD
3153,"2297,92",Australia,"724,83",2024/09/21,H2-2024-Fall Campaign,Lead,Wayne Corp,255.0,"585969,60",330,Gadget X,bob williams,Phone,CAD
3376,"2601,07",Asia Pacific,"37411,79",2024/11/18,Q2-2023-Retention,Closed Lost,Nakatomi Trading,488.0,"1269322,16",380,Support Tier 2,David Brown,reseller,GBP
4068,"2237,91",EU,"43706,60",2023/10/31,Q1-2024-Holiday Sale,PENDING,AgriGrow Corp,398.0,"890688,18",240,Widget A,M. Clark,field,GBP
785,"1681,54",Asia,"10359,54",2024/10/09,FY-23-Spring Push,qualified,Nakatomi Trading,61.00,"102573,94",282,ERP Add-on,Grace Lee,ONLINE,
null,null,Africa,"15662,12",2025/01/16,H1-2023-Black Friday,lead,Nakatomi Trading,45,"237695,17",313,Support Tier 1,Carol Davis,RETAIL,USD
3922,"4709,11",South America,"10705,65",2024/11/14,FY-23-New Year Promo,closed lost,Nakatomi Trading,310,"1459824,10",250,Cloud Storage 1TB,eva martinez,Direct Sales,JPY
4014,"1006,42",US,"1475,66",2024/08/12,,In Progress,Nakatomi Trading,438,"440811,96",93,Support Tier 2,henry taylor,web,GBP
1543,"1655,64",LATAM,"45935,25",pending,H1-2024-New Year Promo,Negotiation,Nakatomi Trading,375,"620865,00",,Marketing Suite,carol davis,Store,JPY
1599,"4391,30",??,"48362,86",2024/09/04,H2-23-Summer Blitz,pending,Nakatomi Trading,200,"878260,00",163,Widget A,leo harris,email,
1484,#N/A,Middle East,"18255,29",2025/01/15,Q4-2024-Social Push,closed lost,Nakatomi Trading,61,N/A,385,Training Package,grace lee,retail,
351,"1518,20",EU,"1555,86",2025/02/07,FY-24-Summer Blitz,LOST,,209,"317303,80",415,Software License,Eva Martinez,Retail,CAD
4778,"1928,13",Asia,"17508,64",2024/05/04,Q2-24-Email Blast,Pending,CloudNine SaaS,336,"647851,68",66,Premium Onboarding,grace lee,email,JPY
3925,"4388,82",NA,"9538,20",2024/03/14,FY-2024-Trade Show,Negotiation,Sterling Cooper,4.0,"17555,28",42,API Access,K. White,direct,GBP
3864,"3682,40",EU,"23693,47",2024/02/07,Q1-2024-Retention,Open,Nakatomi Trading,188,"692291,20",-,ERP Add-on,bob williams,in-store,JPY
1231,"4057,69",Africa,"34027,46",2024/10/06,Q3-2023-Retention,Closed-Won,Hooli Inc,454.0,"1842191,26",140,Marketing Suite,jane doe,RETAIL,
4020,"4556,78",ASIAPAC,"9947,49",2023/06/18,Q3-2023-Webinar Series,in progress,Nakatomi Trading,64,"291633,92",N/A,Consulting Hours,D. Brown,Email Campaign,GBP
3742,"471,98",Europe,"19247,41",pending,Q2-2023-Cross-sell,Negotiation,Nakatomi Trading,165.00,"77876,70",12,Widget B,Jake Thomas,Website,USD
2934,#N/A,North America,"1564,65",2024/07/12,FY-24-New Year Promo,Qualified,Nakatomi Trading,113.0,"222894,07",106,Widget A,karen white,in-store,USD
2091,"157,09",Africa,"11942,62",2023/09/22,FY-23-Upsell,LOST,Nakatomi Trading,433.0,"68019,97",170,Widget Pro,Iris Anderson,e-comm,JPY
,"3205,17",Latin America,"24325,33",2023/09/16,FY-2024-Cross-sell,qualified,Virtucon,142.0,"455134,14",155,N/A,JANE DOE,phone,EUR
4875,"4658,21",ASIAPAC,,2024/04/05,Q2-2024-Social Push,closed lost,Oscorp Technologies,237,"1103995,77",239,,bob williams,DIRECT,EUR
649,"3871,16",United Kingdom,"12259,55",2024/06/02,Q4-24-Email Blast,CLOSED LOST,Nakatomi Trading,240,"929078,40",409,Data Pipeline,Iris Anderson,Email,JPY
4424,"1954,20",North America,"15491,23",2024/08/26,Q4-23-Brand Awareness,in progress,Nakatomi Trading,44,"85984,80",254,Security Bundle,alice johnson,partner,
4235,"2831,42",US,"48009,69",2024/01/16,Q2-24-Fall Campaign,CL,Nakatomi Trading,252,"713517,84",347,Cloud Storage 5TB,D. Brown,Partner,
4813,"2864,82",EMEA,"48588,72",TBD,FY-24-Fall Campaign,CL,Wayne Corp,283.00,"810744,06",426,Widget B,Karen White,social,AUD
1655,"3160,04",APAC,"32421,17",2024/05/31,FY-23-Email Blast,CL,Nakatomi Trading,446.0,"1409377,84",100,Marketing Suite,carol davis,email,EUR
1116,"1860,23",US,"1819,88",2024/06/30,Q1-24-Trade Show,closed lost,Nakatomi Trading,310,"576671,30",N/A,Software Subscription,jake thomas,email,CAD
3269,"915,76",EMEA,"6456,06",2025/04/23,H1-24-Cross-sell,Won,Dunder Mifflin,483,"442312,08",256,Consulting Hours,Iris Anderson,Online,CAD
4355,NA,Australia,"42730,74",2024/12/19,Q1-24-Retention,Lead,Nakatomi Trading,168.0,,177,Software Subscription,bob williams,Partner,CAD
