,,,,,,,,,,,,,
CAMPAIGN,COMPANY,UNIT_PRICE,LEADS,PRODUCT,REVENUE,STATUS,CHANNEL,AD_SPEND,REGION,SALES_REP,CONVERSIONS,DATE,QTY
H2-23-Social Push,Stratton Oakmont,$1371,953,Premium Onboarding,-,in progress,affiliate,$17744,Asia Pacific,H. Taylor,360,20250213,N/A
Q2-2024-Fall Campaign,AgriGrow Corp,$1561,N/A,Premium Onboarding,$398042,Won,field,$43842,EU,N/A,371,20250210,255.0
H2-24-Cross-sell,Cybertruck Co,$2996,3286,Cloud Storage 1TB,$494394,LOST,Direct Sales,N/A,Britain,E. Martinez,299,20240303,165
H1-2023-Spring Push,Dharma Initiative,$3303,344,Service Plan Pro,$1538970,WON,Email Campaign,$43586,SA,JANE DOE,487,20240619,466.00
Q3-2024-Retention,Prestige Worldwide,$2509,3787,-,$466590,PENDING,Brick & Mortar,$47899,EU,J. Thomas,290,20250207,186
Q1-2023-Social Push,Prestige Worldwide,$3646,946,Widget Pro,$1093863,CL,phone,$38262,SA,Carol Davis,249,20250314,300.0
FY-2023-Fall Campaign,Prestige Worldwide,$4825,114,Marketing Suite,$1703059,In Progress,email,$29787,N/A,Alice Johnson,448,20241013,353.00
,TrueNorth Financial,$3270,3449,Analytics Dashboard,missing,proposal,Social Media,$16244,N. America,J. Smith,383,20230917,-
H1-2024-Cross-sell,Prestige Worldwide,$4536,4511,Consulting Hours,$249470,Open,Field Sales,$44677,Asia,Jane Doe,38,20230914,55
H2-2024-Black Friday,Prestige Worldwide,$3107,3033,Analytics Dashboard,$177116,qualified,Retail,-,Africa,david brown,-,20231015,57.00
Q4-2023-Summer Blitz,Prestige Worldwide,$760,2997,Service Plan Pro,$111021,Closed-Lost,call center,$2970,Asia,H. Taylor,211,20231214,146.00
Q2-23-Product Launch,Cogswell Cogs,$4612,1595,Consulting Hours,$894656,closed lost,Retail,$13997,-,,-,20240628,194
FY-2023-New Year Promo,Prestige Worldwide,$3937,968,Widget B,$232268,proposal,affiliate,$41628,LATAM,eva martinez,390,20250306,59
Q4-2024-Holiday Sale,Prestige Worldwide,$3379,1492,Hardware Unit,$966511,Open,Website,$34951,??,,,20240307,286.0
H1-23-Trade Show,Prestige Worldwide,$4584,2525,Consulting Hours,$1503503,in progress,Web,null,Africa,Grace Lee,384,20230807,328
