Region,Conversions,Channel,Revenue,Ad Spend,Date,Quantity,Leads,Unit Price,Campaign,Company,Product
N. America,,web,$133402,$30196,08-19-2024,,1009,$2384,FY-23-Fall Campaign,Tyrell Corporation,Support Tier 1
,338,Store,$180810,$5034,12-21-2024,369,676,$490,Q3-24-Social Push,QuickShip Logistics,Gadget Mini
EU,134  ,Retail,$2000048,,09-08-2024,484.00,N/A,$4132,FY-24-Upsell,QuickShip Logistics,Gadget X
NA,296,Telesales,$551872,$22907,09-06-2023,409.0,null,$1349  ,H2-24-Brand Awareness,QuickShip Logistics,Gadget X
N. America,378,RETAIL,$585695,$2281,05-13-2024,358.0,1152,$1636,Q3-2024-Trade Show,QuickShip Logistics,CRM Module
Africa,384,Affiliate,null,$18398,07-19-2023,null,1813,$3203,Q1-23-Webinar Series,QuickShip Logistics,Hardware Unit
N. America,241,DIRECT,$220414,$22295,01-22-2025,215,N/A,$1025,,QuickShip Logistics,Cloud Storage 1TB
USA,266,RETAIL,$745246,N/A,01-06-2024,182  ,2850,$4095,H1-2023-New Year Promo,QuickShip Logistics,Premium Onboarding
Unknown,129,phone,$701294,$8797,N/A,261.0,4540,$2687,H2-23-New Year Promo,QuickShip Logistics,Cloud Storage 1TB  
Europe  ,107,reseller,$379244,$9554,05-10-2023,112,3554,$3386,H1-24-Black Friday,CloudNine SaaS,Service Plan Pro
South America,446,web,$769108,$33964  ,12-30-2024,330.00,3447,$2331,H1-23-Email Blast,QuickShip Logistics,Widget A
ASIAPAC,241,web,$1588039,,05-23-2024,486,2668,$3268,H1-23-Black Friday  ,Bluth Company,Training Package
Latin America,27,social media,$2285562,0,05-05-2023,468.00,3273,$4884,FY-2023-Cross-sell,QuickShip Logistics,Gadget Mini
Asia,492,,$372802,$25512  ,03-04-2024,82,4598,$4546,Q2-23-Webinar Series,QuickShip Logistics,Hardware Unit
Asia,19,Retail,$220124,$26349,08-07-2024,82.0,4484  ,$2684,H2-24-Fall Campaign,Spacely Sprockets,Gadget X
Asia Pacific,337,Partner,$339364,$22342,04-14-2023,197,3811,$1723,H1-2023-Email Blast,CloudNine SaaS,Software Subscription
Europe,390  ,Social,$1929476,$33790,07-29-2023,476.00,2569,$4054,Q2-24-Cross-sell,QuickShip Logistics,Cloud Storage 1TB
Africa,35,Call Center,$603348,null,08-20-2023,123,2407,$4905,H1-24-New Year Promo,QuickShip Logistics,Software License
USA,159,Affiliate,$298298,null,10-15-2024,119,4798,$2507,H2-2024-Brand Awareness,Sterling Cooper,Service Plan Basic
NA,250,call center,$1094655,$31819,03-10-2025,292.0,,$3749,Q4-2023-Spring Push,Dunder Mifflin,Cloud Storage 5TB
LATAM,304,Social,$667097,$4835,05-19-2023,302.0  ,2707,$2209,H1-24-Webinar Series,QuickShip Logistics,Analytics Dashboard
Africa,37,In-Store,$213790,$43092,11-08-2023,-,4698,N/A,H1-24-Retention,QuickShip Logistics,Security Bundle
USA,497,email,$76735,$41769,12-16-2023,299.00,2289,NA,H1-2023-Holiday Sale,QuickShip Logistics,Cloud Storage 1TB
-,248,DIRECT,$37659,$31229,11-25-2024,0,2111,$4924,H2-2024-Fall Campaign,QuickShip Logistics,Hardware Unit
NA,298,referral,$11900,$11554,11-28-2024,,3231,$487,H1-2023-Black Friday,QuickShip Logistics,Widget B
North America,,Affiliate,$1898891,null,09-27-2024,388.00,3644,$4894,FY-24-Email Blast,QuickShip Logistics,Support Tier 1
,425,Call Center,$92797,N/A,,52.00,4007,-,H1-23-Trade Show,QuickShip Logistics,CRM Module
N. America,269,Website,$1117970,,N/A,384.0,null,$2911,H2-24-Retention,QuickShip Logistics,Cloud Storage 1TB
North America  ,297,,$498125,$43851,01-11-2024,368.00,3939,$1354,FY-2024-Fall Campaign,QuickShip Logistics,Analytics Dashboard
ASIAPAC,288,Reseller,$1848720,$30485,12-06-2023,484.00,3476,$3820,FY-2023-Summer Blitz,QuickShip Logistics,Premium Onboarding  
Asia,31,reseller,$102383,$22819,07-29-2023,#REF!,2842,$42,Q2-23-Spring Push,Spacely Sprockets,Analytics Dashboard
EMEA,486,Website,$135948,$3868,01-11-2025,N/A,4125,$2454,FY-2023-Summer Blitz,QuickShip Logistics,Security Bundle
,371,email,$7902,$38957,06-30-2023  ,11.0,113,$718,H1-2023-Social Push,QuickShip Logistics,Software Subscription
Latin America,264,email,$374153,$2172,10-24-2024,368  ,3316,$1017,Q3-2024-Webinar Series,QuickShip Logistics,MISC
United States,74,Store,$1085725,$2755,11-10-2024,288.0,3571,$3770,FY-2023-Social Push,QuickShip Logistics,Training Package
Europe,142,e-comm,$247508,$26755,03-04-2024,96.00,2512,$2578,Q4-23-Product Launch,QuickShip Logistics,Widget Pro
ANZ,408,In-Store,$89819,$37236,01-07-2024,201,1137,$447,Q1-2024-Summer Blitz,,Support Tier 1
??,311,Online,$1002195,$21548,10-29-2023,272,3459,$3685,Q4-2024-Holiday Sale,QuickShip Logistics,Training Package
UK,332,direct,$38055,$6670,09-29-2024,0,746,$1235,H1-23-Cross-sell,QuickShip Logistics,Widget B
APAC,307,Social,$151251,$24550,08-03-2024,488,3494,$310,Q4-2023-Black Friday,QuickShip Logistics,MISC
EU,232,Direct Sales  ,$340222,,08-29-2023,240.00,3450,$1418,Q3-2024-Fall Campaign,QuickShip Logistics,Service Plan Basic
North America  ,226,Retail,$1613662,$19026,12-20-2024,492.00,4038,$3280,H2-23-Upsell,QuickShip Logistics,Software Subscription
United Kingdom,19,PARTNER,NA,$35219,11-21-2023,0,3906,$452,H2-2024-Retention,QuickShip Logistics,Widget Pro
EMEA,167,Reseller,$377830,$14095,06-13-2024,203.0,3337,$1861,,CloudNine SaaS,Security Bundle
LATAM,292,DIRECT,$454107,$23821,05-15-2023,271.00,3181,$1676,FY-23-Fall Campaign,QuickShip Logistics,Training Package
NA,338,RETAIL,$2174836,$28591,08-26-2024,470,1794,$4627,FY-24-Fall Campaign  ,CloudNine SaaS,-
US,276,affiliate  ,$31574,$8812,07-03-2023,148.00,1672,$213,H1-24-Email Blast,QuickShip Logistics,Hardware Unit
South America,313,partner,$801880,$44576,02-17-2024  ,165.0,1883,$4860,H2-2023-New Year Promo,QuickShip Logistics,Software License
LATAM,412,Social,$202637,$3576,08-06-2023,137,-,$1479,Q3-24-Black Friday,QuickShip Logistics,Gadget X
Australia,71,Web,$589627,$4120,03-27-2025,226,4773,$2609,FY-23-New Year Promo,GreenLeaf Energy,Widget A
South America,414,Direct,$45185,$11331,01-18-2024,22,1279,$2054,Q4-2023-Cross-sell,QuickShip Logistics,Marketing Suite
US,146,Online,$316467,$43333,02-08-2025,75.0,2566,$4220,H2-2024-Product Launch,QuickShip Logistics,Service Plan Basic
NA,249,social,$650345,$2152,01-13-2024,250,637,$2601,FY-24-Cross-sell,QuickShip Logistics,Widget B
United Kingdom,N/A,direct,$887216,$30818,07-23-2023,456.00,669,$1946,Q4-2024-Brand Awareness,QuickShip Logistics,Widget A
MEA,341,Brick & Mortar,$1039282,$36172,TBD  ,437.00,,$2378,,QuickShip Logistics,Cloud Storage 1TB
Britain,300,Online,$313816,N/A,07-27-2024,368,247,$853,Q4-2024-Cross-sell,QuickShip Logistics,Support Tier 1
Britain,157,Call Center,$848357,$28833,08-01-2023,211.00,903,$4021,Q3-24-Upsell,QuickShip Logistics,Cloud Storage 1TB
Australia,377,direct,$571369,$3393,04-04-2025,178,445,$3210,Q3-24-Email Blast,QuickShip Logistics,Service Plan Pro
N. America,41,,$202789,$23984,05-14-2023,277,2956,$732,Q2-2023-Upsell,QuickShip Logistics,Service Plan Pro
ANZ,118,Brick & Mortar,$807195,$38627,12-07-2023,261,1257,$3093,Q4-2024-Brand Awareness,QuickShip Logistics,Software Subscription
EMEA,41,social,$170708,$11626,09-29-2024,90,1118,$1897,,Dharma Initiative,ERP Add-on
NA,269,Reseller,$1338702,-,01-23-2025,447  ,null,$2995,FY-2023-Social Push,QuickShip Logistics,Support Tier 1
Asia Pacific,49,Brick & Mortar,$410678,$37122,04-29-2024,344,1392,$1194,H1-24-Webinar Series,QuickShip Logistics,
EU,387,social,$344374,$40861,09-03-2023,266,2163,$1295  ,Q3-2023-Spring Push,QuickShip Logistics,Gadget Mini
LATAM,401,Social Media,$222083,N/A,12-28-2024,84,1747,$2644,Q2-2024-Cross-sell,QuickShip Logistics,Cloud Storage 5TB
Europe,22,RETAIL,$1074333,$14910,11-09-2024,378,3712,$2842,Q1-2024-Social Push,QuickShip Logistics,Marketing Suite
LATAM,212,Channel Partner,$866542,$20017,06-25-2023,252,540,$3439,Q3-2023-Holiday Sale,QuickShip Logistics,Premium Onboarding
ASIAPAC,360,referral,$172978,$27154,08-29-2023,#REF!,-,$2895,Q1-23-Email Blast,CloudNine SaaS,Service Plan Basic
Australia,N/A,phone,$453570,,,119.0,2455,$3812,Q4-2024-Upsell,QuickShip Logistics,Analytics Dashboard  
Middle East,286,online,$351438,$43918,12-04-2023,244.0,1049,$1440,FY-2023-Email Blast,GreenLeaf Energy,ERP Add-on
North America,97,Retail,$713063,$13935,11-12-2023,199.00,4970,$3583,H1-2023-Fall Campaign,QuickShip Logistics,Widget A
United Kingdom,-  ,email,$212738,$33074,01-17-2024,#REF!,4866,$1168,Q2-23-Brand Awareness,GreenLeaf Energy,Support Tier 1
EMEA,18  ,Telesales,$429284,$16072,07-18-2024,86,439,$4992,H1-2024-Spring Push,QuickShip Logistics,Hardware Unit
APAC,401,reseller,$681218,-,09-17-2024,196.0,3545,$3476,H1-24-Summer Blitz,QuickShip Logistics,ERP Add-on
N. America,182,Reseller,$375797,$24434,10-07-2023,144,4797,$2610,H1-2024-Product Launch,Stark Industries,API Access
EU,61,retail,$749839,$28590,10-08-2024,420.00,4147,$1785  ,Q2-2024-Trade Show,QuickShip Logistics,Support Tier 1
ASIAPAC,320,social,$21176,$39112,06-29-2023,7.0,-,$3025,Q1-24-Email Blast,QuickShip Logistics,Service Plan Basic
Asia,352,reseller,$23742,$28540,12-08-2023,187.00,4905,$127,Q2-2023-Retention,QuickShip Logistics,Support Tier 1
SA,394,partner,$2215058,$45250,05-29-2024,492,2220,$4502,,QuickShip Logistics,Service Plan Enterprise
Latin America,25,Direct,$622029,$41101,09-02-2023,305.00,1037,$2039,FY-2023-Brand Awareness,Stratton Oakmont,Support Tier 1
EU,301,email,$1166979,$15789,09-23-2024,255.00,3226,$4576,H2-24-Fall Campaign,QuickShip Logistics,Premium Onboarding
Africa,13,ecommerce,$1226396,$11364,12-12-2024,338.0,2648,$3628,H2-23-Trade Show,QuickShip Logistics,Widget A
Latin America,346,PARTNER,$1113437,N/A,07-15-2024,427,4373,$2608,H2-23-Trade Show,QuickShip Logistics,Marketing Suite
Asia,404,social,$1874832  ,null,01-14-2025,425.00,2487,$4411,H1-2024-Brand Awareness,Dharma Initiative,Support Tier 2
Europe,458,Store,$639201  ,$30228,12-15-2023,342.0,344,$1869,Q4-2024-Product Launch,QuickShip Logistics,Marketing Suite
NA,195,field,$566837,null,07-23-2023,160,2082,$3543,Q4-2024-Holiday Sale,Dharma Initiative,Service Plan Enterprise
