Status,Date,Product,Campaign,Channel,Sales Rep,Quantity,Region,Revenue,CUR
Closed-Won,20240123,Widget A,FY-2023-Cross-sell,,E. Martinez,195.0,UK,"500531,85",EUR
Won,20240517,Gadget X,Q3-24-Black Friday,call center,D. Brown,104.0,Australia,"72493,20",AUD
CL,20231208,Widget Pro,Q2-23-Holiday Sale,Retail,Carol Davis,21,UK,"20248,41",GBP
In Progress,20230807,Marketing Suite,,Reseller,Carol Davis,48,USA,"171229,92",AUD
Won,20230301,Cloud Storage 1TB,FY-24-Spring Push,affiliate,jake thomas,175.00,ANZ,"450957,50",EUR
In Progress,20230607,Premium Onboarding,H1-2024-Webinar Series,Email Campaign,leo harris,283.0,APAC,"1193416,66",
CLOSED WON,20240423,Service Plan Enterprise,H2-2023-Cross-sell,social,J. Smith,317,United States,"1086279,75",USD
lead,20241115,ERP Add-on,Q4-24-Spring Push,Reseller,Leo Harris,185.0,APAC,"249730,13",CAD
lead,20230223,N/A,,Channel Partner,frank wilson,null,LATAM,"244872,62",CAD
Closed-Won,20230519,Widget Pro,FY-2024-Holiday Sale,Field Sales,I. Anderson,12.0,EMEA,"45734,28",USD
Closed-Lost,20240318,Marketing Suite,Q4-23-Cross-sell,Direct Sales,leo harris,399.0,NA,"1648855,53",JPY
PENDING,20240503,Software Subscription,Q2-24-Social Push,Email Campaign,Bob Williams,152.0,South America,"430790,80",AUD
Open,20250107,CRM Module,Q4-23-Holiday Sale,direct,D. Brown,118.0,Britain,"436155,14",USD
Open,20241101,Hardware Unit,H1-2023-Upsell,reseller,B. Williams,376,Europe,"1102074,80",EUR
Closed Lost,20241231,Hardware Unit,Q3-2023-Email Blast,DIRECT,JOHN SMITH,485,Britain,"1525916,70",AUD
CW,20230615,Widget B,Q3-2023-Upsell,Store,david brown,N/A,North America,"136076,81",GBP
Negotiation,20230322,Support Tier 1,Q1-24-Brand Awareness,Direct,grace lee,151.0,Latin America,"447601,75",GBP
Pending,20230309,Support Tier 2,Q2-23-Black Friday,Direct Sales,Jane Doe,447,United Kingdom,"979837,41",GBP
Closed Won,20231108,CRM Module,Q1-2023-Retention,online,F. Wilson,73,??,"351257,75",
open,20240303,Analytics Dashboard,Q1-23-Spring Push,Online,John Smith,105.00,United States,"464819,25",GBP
proposal,20240725,Training Package,Q1-2023-Black Friday,Channel Partner,david brown,399.0,Asia,"967670,76",GBP
closed lost,20240801,Support Tier 2,FY-24-Fall Campaign,Channel Partner,iris anderson,482.0,Africa,"2274567,64",USD
Negotiation,20230507,Other,Q2-2024-Webinar Series,Field Sales,leo harris,15.0,United Kingdom,"58414,65",EUR
Won,20231226,,FY-23-Brand Awareness,partner,JOHN SMITH,N/A,South America,"162432,24",AUD
Proposal,20240415,Cloud Storage 1TB,,online,carol davis,160,US,"434892,80",GBP
CW,20240229,Gadget Mini,H1-2023-Email Blast,affiliate,David Brown,337.0,-,"482988,40",USD
closed lost,20240712,Widget Pro,FY-2024-Spring Push,Email,alice johnson,497,Australia,"26439,05",AUD
PENDING,20230930,Widget Pro,H2-23-Webinar Series,,karen white,172.0,Africa,"265487,16",EUR
CLOSED WON,20230618,Marketing Suite,Q3-2023-New Year Promo,RETAIL,Jake Thomas,null,Middle East,"146578,25",AUD
Open,20241229,CRM Module,Q1-2023-Brand Awareness,Call Center,john smith,369,APAC,"1044672,21",JPY
negotiation,20230917,Training Package,H2-2023-Upsell,Call Center,L. Harris,101.00,NA,"70476,79",EUR
Open,20240907,Analytics Dashboard,H1-23-Product Launch,email campaign,Leo Harris,257,EMEA,"84612,11",CAD
proposal,20230330,Data Pipeline,Q1-24-Brand Awareness,partner,alice johnson,251.0,United States,"228036,01",GBP
Negotiation,20240225,Service Plan Basic,FY-23-Product Launch,Reseller,B. Williams,285,ANZ,"230023,50",AUD
CLOSED LOST,N/A,Cloud Storage 1TB,Q2-23-Product Launch,field,N/A,281.0,ASIAPAC,"1281227,93",
Closed-Won,20230801,N/A,Q4-2024-Brand Awareness,email,K. White,120,South America,"239500,80",AUD
Negotiation,20240206,ERP Add-on,Q4-2023-Trade Show,retail,Jane Doe,101,Unknown,"26107,49",JPY
In Progress,20240124,Service Plan Basic,Q3-24-Spring Push,referral,A. Johnson,71.00,United States,"142436,42",GBP
Closed-Lost,20240515,Gadget X,Q2-24-Fall Campaign,Direct Sales,eva martinez,198,Latin America,"598415,40",EUR
Proposal,20230519,Hardware Unit,H2-24-Email Blast,Website,David Brown,246.00,EMEA,"762991,14",AUD
