											
QTY	UNIT_PRICE	COMPANY	PRODUCT	LEADS	DATE	SALES_REP	CAMPAIGN	CONVERSIONS	STATUS	CHANNEL	REVENUE
374	null	Virtucon	API Access	4878	24.08.2024	D. Brown	H1-24-Product Launch	140	closed lost	Referral	95891,90
259.0	3416,61	Virtucon	Hardware Unit	349	19.09.2024	Eva Martinez	Q1-2023-Cross-sell	388	pending	E-Commerce	884901,99
321.0	74,02	Virtucon	Service Plan Pro	null	17.08.2025	Carol Davis	Q1-2024-Retention	323	in progress	web	23760,42
296	2050,89	Virtucon	Premium Onboarding	3932	03.05.2024	JOHN SMITH	H1-2024-Cross-sell	313	Lead		607063,44
215.0	2991,00	PixelForge Studios	Consulting Hours	2295	25.07.2025	M. Clark	FY-24-Cross-sell	378	Closed-Won	e-comm	643065,00
202		HealthPlus Pharma	Support Tier 2	-	23.03.2024	E. Martinez	Q1-2024-Holiday Sale	169	pending	field	
69	2569,02	DataWave Inc	Consulting Hours	332	09.01.2024	M. Clark	Q1-2023-Social Push	157	In Progress	Social Media	177262,38
459	1805,92	Virtucon	Analytics Dashboard	2682	27.10.2025	TBD	Q3-2024-Email Blast	N/A	Pending	Store	828917,28
40.00	NA	Dharma Initiative	Premium Onboarding		10.07.2025	JANE DOE	H1-2024-Retention	452	closed won	Phone	50135,40
324.0	1049,25	Virtucon	Support Tier 2	1744	02.02.2024	Jane Doe	H1-24-Product Launch	58	qualified	Brick & Mortar	339957,00
48	3956,96	Virtucon	Service Plan Basic	3595	30.01.2024	iris anderson	Q2-2024-Cross-sell	-	CW	in-store	189934,08
441	2709,36	Pinnacle Analytics	Support Tier 1	4931	16.07.2024	henry taylor	Q4-2023-Cross-sell	403	CW	Social	1194827,76
N/A	523,42	Virtucon	-	null	04.08.2024	H. Taylor	Q4-23-Fall Campaign	214	open	PARTNER	122364,04
75.0	2561,25	Virtucon	Service Plan Basic	3433	02.02.2024	frank wilson	Q4-23-Summer Blitz	370	closed won	affiliate	192093,75
70.0	1754,82	Virtucon	Service Plan Basic	528	02.11.2025	iris anderson	H2-2024-Holiday Sale	290	closed lost	call center	122837,40
436.00	3213,36	Virtucon	Marketing Suite	3685	07.04.2024	alice johnson	Q1-2024-Brand Awareness	424	closed won	e-comm	1401024,96
321.0	74,02	Virtucon	Service Plan Pro	null	17.08.2025	Carol Davis	Q1-2024-Retention	323	in progress	web	23760,42
70.0	1754,82	Virtucon	Service Plan Basic	528	02.11.2025	iris anderson	H2-2024-Holiday Sale	290	closed lost	call center	122837,40
218	null	Virtucon	CRM Module	114	12.11.2025	David Brown	FY-2024-Fall Campaign	99	CL	partner	-
429	NULL	Stark Industries	Hardware Unit	2958	TBD	K. White		-	CW	Reseller	NA
275.0	544,79	Tyrell Corporation	Widget Pro	4171	13.05.2025	john smith	H1-24-Cross-sell	-	Won	Channel Partner	149817,25
274.00	835,73	Virtucon	Training Package	3714	27.06.2024	leo harris	Q2-24-Holiday Sale	398	closed won	referral	228990,02
0	3907,24	NovaTech Solutions	Widget Pro	2206	31.08.2024	TBD	Q1-2024-Fall Campaign	492	CL	In-Store	189868,32
	3645,07	Virtucon	Service Plan Enterprise	1269	29.11.2025	I. Anderson	Q4-2023-Email Blast	93	CLOSED LOST		48575,95
408.0	932,22	Krusty Burger LLC	Analytics Dashboard	N/A	01.08.2025	G. Lee	Q2-23-Spring Push	215	closed won	PARTNER	380345,76
56.00	3460,90	Weyland Corp	Service Plan Pro	507	13.02.2025	I. Anderson	Q3-24-Cross-sell	N/A	in progress	ONLINE	193810,40
115.0	562,82	Virtucon	Premium Onboarding	4812	09.07.2024	david brown	Q1-23-Social Push	492	Won	in-store	64724,30
