Campaign ID|Company Name|Marketing Leads|Marketing Spend|Deal Status|Transaction Date|Sales Channel|Price Per Unit|Geographic Region|Product / Service|Total Amount|Units Sold|Account Executive|Closed Deals|currency
H2-24-Webinar Series|Pinnacle Analytics|3722|$26746|CW|2023/09/16|in-store|$2437|Britain|Premium Onboarding|$248533|102.0|Jane Doe|24|AUD
H1-2023-New Year Promo|Pinnacle Analytics|1172|$422|Closed Lost|2023/12/18|DIRECT|$3161|Britain|Widget A|$189636|60|G. Lee|326|CAD
Q3-2023-Black Friday|Pinnacle Analytics|2204|$8343|qualified|null|RETAIL|$3817|Australia|Service Plan Pro|$64889|17|grace lee|378|CAD
H1-2024-Spring Push|FreshCart|2766|$31126|in progress|2024/07/25|DIRECT|$1951|South America|Gadget Mini|$234133|120.00|john smith|383|AUD
Q1-2023-Retention|Omni Consumer Products|2806|-|Pending|2024/01/20|Social|$4096|NA|ERP Add-on|$380907|93|bob williams|487|JPY
|Pinnacle Analytics|2479|$5624|Qualified|2024/09/13|DIRECT|$829|Asia|Marketing Suite|$35627|43|Alice Johnson|40|AUD
Q1-24-Webinar Series|Pinnacle Analytics|N/A|$14242|negotiation|2024/08/30||$3469|EMEA|Support Tier 1|$1439718|415|Unassigned|347|USD
Q4-23-Social Push|Wonka Enterprises|2041|$1092|Closed-Won|2024/10/17|retail|$3239|Asia|Service Plan Enterprise|$1318139|407|john smith|73|AUD
Q4-2024-Social Push|Virtucon|2078|$10962|negotiation|2023/11/05|retail|$418|UK||$179740|430.0|C. Davis|292|GBP
Q3-2023-Webinar Series|PixelForge Studios|502|$45627|Closed-Won|2023/07/07|DIRECT|$858|US|Gadget X|$286515|334.00|alice johnson|497|AUD
Q4-23-Product Launch|Bluth Company|570|$40569|negotiation|2023/06/08|phone|$4505|UK|Service Plan Enterprise|$788419|175|Henry Taylor|481|USD
Q3-2023-Cross-sell|Pinnacle Analytics|1467|$3897|lead|2023/07/20|Social Media|$3183|APAC|Software License|$522055|164.0|jake thomas|18|JPY
Q2-24-Trade Show|Pinnacle Analytics|null|-|negotiation||Phone|$2414|NA|Software Subscription|$786814|326|Mia Clark|168|USD
H2-23-Black Friday|DataWave Inc|1946|-|Negotiation|2023/05/21|e-comm|$2546|USA|Widget A|$730630|287|mia clark|284|CAD
H1-24-Cross-sell|Pinnacle Analytics|2685|$31169|In Progress|2024/03/07|DIRECT|$1750|Middle East|Widget Pro|$479379|274.0|Jake Thomas|169|GBP
H1-24-Cross-sell|Buy N Large|1748|$32795|in progress|2024/05/31||$781||Marketing Suite|$164039|210|jane doe|252|JPY
Q2-2023-Email Blast|Umbrella Ltd|1854|$26744|Closed Won|2024/01/09|Affiliate|$3765|Asia Pacific|ERP Add-on|$651284|173|J. Thomas|307|USD
Q3-2023-Webinar Series|Pinnacle Analytics|744|null|CL|2023/10/08|reseller|null|-|Software Subscription|$61238|343|K. White|361|USD
FY-2024-Brand Awareness|Pinnacle Analytics|204|$7600|Lead|2023/07/17|Website|$4392|Asia|Software Subscription|$1036394|236|Unassigned|333|
|Initech Solutions|4192|$40162|Closed Won|2023/07/18|email campaign|$3052|APAC|MISC|$1468132|481|J. Smith|478|
Q4-2023-Black Friday|NovaTech Solutions|3759|$49072|proposal|2023/01/29||$4925|Africa|Widget Pro|$2048925|416|leo harris|108|JPY
Q1-2023-Holiday Sale|Pinnacle Analytics|2100|$26101|Qualified|2023/01/13|Brick & Mortar|$1389|Africa|Software Subscription|$343105|247|JANE DOE|414|AUD
H1-23-Holiday Sale|Pinnacle Analytics|2050|$18918|open|2023/04/18|Affiliate|$568|EMEA|Analytics Dashboard|$86322|152.0|TBD|249|JPY
Q1-23-Fall Campaign|Pinnacle Analytics|3732|$22169|Closed-Lost|2023/12/22|Website|$1104|ASIAPAC|Support Tier 2|$177664|161.0|carol davis|88|
Q1-24-Black Friday|Pinnacle Analytics|N/A|$44636|closed won|2023/09/08|direct|$2004|APAC|Gadget Mini|$905907|452|karen white|105|CAD
Q1-2023-Upsell|Pinnacle Analytics|1504||Closed-Lost|2023/04/28|Website|$2137|United Kingdom|ERP Add-on|$482896|226.0|David Brown|268|GBP
|Pinnacle Analytics|2143|$45496|In Progress|2023/02/17|in-store|$4548|UK|Data Pipeline|$7779|N/A|J. Doe|55|GBP
Q4-23-Product Launch|Pinnacle Analytics|3090|$30225|Closed Won|2024/02/12|social media|$236|MEA|Gadget X|$56597|240|D. Brown|432|AUD
Q1-2024-Trade Show|SummitView Hotels|4555|$2020|PENDING|2023/05/12|social|$2206|USA|Other|$796496|361.0|Frank Wilson|-|EUR
FY-24-Summer Blitz|GreenLeaf Energy|3328|$46291|Lead|2024/11/22|in-store|$2525|EMEA|Widget Pro|$934331|370.0|TBD|100|GBP
Q2-23-Spring Push|Pinnacle Analytics|2948|$35934|CLOSED LOST|2023/05/03|ecommerce|$4283|NA|Marketing Suite|$758082|177|grace lee|344|JPY
H1-2024-Holiday Sale|Stark Industries|2548|$47734|CLOSED WON|2024/06/18|ONLINE|$1887|EMEA|Widget Pro|$941648|499.00|B. Williams|360|AUD
Q2-2023-Product Launch|Oscorp Technologies|1343|$34252|proposal|2024/03/27|in-store|$2772|Europe|Support Tier 1|$509996|184|M. Clark|427|
Q3-2024-Fall Campaign|Buy N Large|975|$882|Closed-Won|2024/10/05||$2860|MEA|Gadget Mini|$100435|-|F. Wilson|216|EUR
Q3-24-Trade Show|Pinnacle Analytics|4730|$15091|CL|N/A|Telesales|$1262|North America|Widget A|$516048|409.00||249|GBP
Q2-24-Product Launch|Pinnacle Analytics|4106|$2224|CLOSED WON|2024/12/17|Field Sales|$320|MEA|Service Plan Pro|$49206|154.0|leo harris|174|
Q2-24-Webinar Series|Pinnacle Analytics|4916|$31287|closed won|2023/11/17|Direct Sales|$872|MEA|Support Tier 2|$237941|273|Grace Lee|273|JPY
H1-2024-Black Friday|Pinnacle Analytics|4435|$37991|proposal|2023/03/15|field|$1498|ASIAPAC|Hardware Unit|$519868|347|Eva Martinez|18|CAD
