Revenue,Campaign,Leads,Product,Date,Conversions,Unit Price,Company,Channel,CUR
"$545,636.04",H2-2023-Spring Push,1874,Service Plan Enterprise,2023-12-15,31,"$3,686.73",QuickShip Logistics,direct,CAD
"$14,440.20",,2415,MISC,2024-06-26,426,$29.35,QuickShip Logistics,Channel Partner,USD  
"$108,039.26",Q4-23-New Year Promo,2221,Support Tier 1,2024-02-22,,"$1,459.99",QuickShip Logistics,Referral,USD
"$343,718.58",,1081,Widget A,2024-08-12  ,173,"$2,794.46",QuickShip Logistics,online,AUD
"$968,928.10",Q1-23-Summer Blitz,2415,Cloud Storage 1TB,2024-07-24,399,"$2,792.30",MomCorp,retail,CAD
"$1,808,700.25",H1-23-Holiday Sale,3727,Analytics Dashboard,2024-06-10,487,"$4,422.25",Cyberdyne Systems,In-Store,USD
"$88,279.80",Q1-2023-New Year Promo,2945,ERP Add-on,2024-08-06,232,"$2,942.66  ",QuickShip Logistics,Telesales,USD
"$271,379.16",,1572,Marketing Suite,2024-11-14,139,"$1,739.61",Prestige Worldwide,ecommerce,CAD
"$142,264.63",Q4-2023-Brand Awareness,2043,Premium Onboarding,2024-12-18,179,"$1,579.65",QuickShip Logistics,retail,
"$700,059.20",Q4-2023-Summer Blitz,1081,API Access,2024-03-22,158,"$4,375.37",FreshCart,PARTNER,JPY
"$121,305.33",Q4-23-Trade Show,4153,Analytics Dashboard,2023-07-22,13,$487.17,Stark Industries,Partner,
"$836,828.51",Q2-2023-Black Friday,47,Analytics Dashboard,2024-06-22,343,"$2,856.07",Dunder Mifflin,Website,GBP
"$936,694.08",H2-2023-Trade Show,2993,Hardware Unit,2024-01-05,142,"$1,955.52",QuickShip Logistics,Email Campaign,GBP
"$36,583.50  ",FY-23-Social Push,2977,Software Subscription,2023-10-18,458,$731.67,Hooli Inc,,AUD
"$1,639,858.24",H2-2023-Trade Show,1561,Widget A,2024-10-14,N/A,"$3,885.92",QuickShip Logistics,ecommerce,AUD
"$1,558,666.29",Q3-24-Brand Awareness,N/A,Support Tier 1,2023-08-30,372,"$4,178.73",,Brick & Mortar,USD
"$375,922.84",H1-23-Retention,1177,ERP Add-on,2023-09-28,457,"$1,434.82",QuickShip Logistics,ONLINE,AUD
"$582,690.54",FY-2023-Summer Blitz,2039,Consulting Hours,2025-02-25,426,"$1,478.91",QuickShip Logistics,field,GBP
"$1,408,065.94",H2-2024-Spring Push,318,Consulting Hours,2024-07-10,33,"$4,662.47",QuickShip Logistics,reseller,USD
"$1,090,312.78",Q1-23-Email Blast,3168,Service Plan Basic,TBD,26,"$2,401.57",QuickShip Logistics,PARTNER,GBP
"$1,289,224.86",Q2-24-Cross-sell,4010,Consulting Hours,2025-02-28,405,"$3,571.26",QuickShip Logistics,Social,EUR
"$166,490.10",H1-2023-Spring Push,2089,Software License,2024-09-12,65,"$1,447.74",QuickShip Logistics,Store,CAD
"$1,514,682.74",H2-2023-Email Blast,2880,-,2023-09-11,N/A,"$4,933.82",QuickShip Logistics,partner,
"$964,658.61",H1-2023-Summer Blitz,,ERP Add-on,2024-09-05,169,"$2,313.33",QuickShip Logistics,phone,USD
"$45,567.27",H2-2024-Webinar Series,2969,Software Subscription,null,222,"$3,326.36",QuickShip Logistics,Direct Sales,CAD
"$1,400,360.36",H1-23-Holiday Sale,1971,Software License,2024-02-14,391,"$4,652.36",CloudNine SaaS,Email,AUD
"$559,600.85",H2-2023-Fall Campaign,2008,Security Bundle,2024-04-19,95,"$1,257.53",Wayne Corp,ecommerce,JPY
"$1,014,552.17",Q3-2023-Social Push,-,Consulting Hours,TBD,92,"$3,584.99",Prestige Worldwide,field  ,
