UNIT_PRICE;COMPANY;REVENUE;CAMPAIGN;DATE;SALES_REP;PRODUCT;LEADS;REGION;STATUS;CHANNEL;AD_SPEND;QTY;ccy
3970.08;Globex Industries;1143383.04;Q2-2024-Retention;03.05.2025;John Smith;Hardware Unit;1874;USA;Proposal;Direct Sales;27952.57;288.00;AUD
2716.01;Globex Industries;1007639.71;Q3-2024-Cross-sell;07.05.2024;mia clark;Data Pipeline;993;EMEA;closed won;ecommerce;49177.63;371.0;AUD
213.40;Globex Industries;61886.00;H1-23-Black Friday;pending;Bob Williams;Service Plan Enterprise;4758;United States;Lost;Phone;27009.17;290.00;USD
1545.52;Globex Industries;564114.80;Q1-2024-Holiday Sale;10.30.2024;Carol Davis;Software License;4331;Australia;Negotiation;Direct Sales;42960.08;365;JPY
1467.91;Globex Industries;255416.34;Q1-2024-Brand Awareness;12.28.2024;F. Wilson;Analytics Dashboard;967;United Kingdom;CW;Call Center;null;174.0;
2628.01;QuickShip Logistics;1038063.95;H1-2023-Cross-sell;11.21.2023;J. Smith;Hardware Unit;883;ANZ;CLOSED LOST;Affiliate;47010.62;395.0;USD
2028.14;Globex Industries;953225.80;;01.11.2024;frank wilson;Widget B;3403;-;Pending;retail;0;470.00;EUR
3107.80;TrueNorth Financial;447523.20;FY-2023-Black Friday;08.29.2023;E. Martinez;Software Subscription;539;Unknown;Negotiation;E-Commerce;34680.53;144.00;AUD
3039.37;Globex Industries;1416346.42;Q1-24-Upsell;10.25.2023;K. White;Hardware Unit;534;LATAM;Closed Lost;Partner;N/A;466.0;USD
NULL;Globex Industries;75120.94;Q3-2023-Product Launch;pending;karen white;ERP Add-on;3779;APAC;in progress;DIRECT;35409.11;206.0;AUD
595.84;Globex Industries;126302.56;H2-2023-Product Launch;08.14.2023;Eva Martinez;Hardware Unit;4899;EMEA;PENDING;Web;25598.75;null;USD
4548.95;Krusty Burger LLC;1128139.60;FY-2023-Cross-sell;12.19.2024;carol davis;Cloud Storage 5TB;-;United States;LOST;email campaign;47061.03;248.0;AUD
4454.19;HealthPlus Pharma;886383.81;FY-2024-Trade Show;06.08.2025;J. Smith;API Access;4184;N. America;CW;Social Media;1478.38;199.00;GBP
2744.13;MomCorp;403387.11;H1-24-Brand Awareness;12.01.2023;L. Harris;ERP Add-on;262;North America;CL;Direct;34936.57;147.00;CAD
1156.05;;NULL;Q3-2024-New Year Promo;06.22.2024;John Smith;Analytics Dashboard;3002;Europe;closed lost;Email;null;;CAD
4347.68;Globex Industries;1834720.96;Q1-2024-Black Friday;10.26.2024;Carol Davis;Widget Pro;2170;;Closed Won;Phone;11974.81;422.00;GBP
4609.43;Globex Industries;1106263.20;Q4-2023-Holiday Sale;09.18.2023;grace lee;ERP Add-on;3857;Middle East;Qualified;Direct Sales;42087.02;240.00;USD
83.06;Globex Industries;37626.18;Q2-23-Fall Campaign;07.16.2025;E. Martinez;Software Subscription;4343;Asia Pacific;Won;Social;30558.22;453.0;USD
3101.01;DataWave Inc;669818.16;Q1-2024-Holiday Sale;04.02.2025;J. Thomas;Support Tier 1;932;Middle East;negotiation;PARTNER;2621.34;216.0;JPY
932.40;Globex Industries;114685.20;Q2-2024-Black Friday;TBD;L. Harris;MISC;3694;United Kingdom;Open;In-Store;24554.77;123;
88.84;Globex Industries;42199.00;Q4-23-Upsell;05.27.2024;Iris Anderson;Service Plan Pro;3827;;Won;DIRECT;16528.73;475.0;
null;NovaTech Solutions;null;Q2-2024-Black Friday;10.12.2023;D. Brown;Gadget Mini;1294;N. America;negotiation;Email;27603.44;135.0;
4090.92;;380455.56;Q4-24-Cross-sell;02.07.2024;grace lee;Software Subscription;3730;Asia;open;reseller;40035.01;93.00;
160.15;Globex Industries;50607.40;H1-2023-Spring Push;07.01.2025;bob williams;Widget A;1657;ANZ;CW;social;null;316.00;GBP
;Globex Industries;113387.27;FY-23-Black Friday;08.27.2024;frank wilson;Service Plan Basic;415;Africa;Pending;Referral;8333.50;350;EUR
1035.58;Dharma Initiative;15533.70;H2-2023-Holiday Sale;02.23.2025;grace lee;Security Bundle;2096;EU;Closed-Lost;affiliate;18001.33;15.0;USD
1538.59;Umbrella Ltd;264637.48;H2-2023-New Year Promo;04.13.2025;David Brown;CRM Module;1959;Asia Pacific;Closed-Lost;ecommerce;12815.42;172;CAD
#N/A;Krusty Burger LLC;123107.90;Q2-24-Cross-sell;12.21.2023;N/A;Data Pipeline;2132;Asia Pacific;closed won;Telesales;34076.09;N/A;AUD
67.96;Globex Industries;10261.96;;04.01.2024;leo harris;Widget Pro;3364;Europe;PENDING;DIRECT;40400.47;151;
1914.52;Globex Industries;817500.04;Q4-2023-Webinar Series;11.07.2024;L. Harris;CRM Module;714;ASIAPAC;Closed-Won;retail;-;427;GBP
