lds|qty|conv|rev|stat|cmpgn|prod|rgn|co|rep|dt
null|71|326|254140|closed won|Q2-2023-Holiday Sale|Premium Onboarding|MEA|Tyrell Corporation|Jake Thomas|July 17, 2025
3496|288|422|377976|Closed-Lost|Q3-2023-Holiday Sale|Premium Onboarding|Asia Pacific|Dharma Initiative|Iris Anderson|October 11, 2025
353|4.0|1|194028|Lead|Q4-2024-Summer Blitz|Marketing Suite|Africa|Tyrell Corporation|carol davis|November 20, 2023
-|20|445|48494|Closed Won||Widget B|US|Tyrell Corporation|J. Thomas|March 08, 2025
241|133|171|625917|Lead|Q1-24-Cross-sell||EMEA|Tyrell Corporation|J. Doe|December 29, 2023
4112|469.0|N/A|2195585|proposal|Q4-2023-Fall Campaign|Cloud Storage 5TB|SA|Tyrell Corporation|Leo Harris|July 24, 2024
4273|216.0|168|247767|Pending||Gadget X|Middle East|PixelForge Studios|J. Thomas|April 16, 2024
4022|319.0|458|879661|Lost|H1-2024-Webinar Series|Software Subscription|Asia|Tyrell Corporation|iris anderson|January 10, 2025
3986|404.0|119|1222685|CW||Security Bundle|Asia|Tyrell Corporation|Alice Johnson|March 28, 2024
1554|219|24|1059427|Pending|FY-23-Brand Awareness|Analytics Dashboard|Africa|Tyrell Corporation|Leo Harris|September 13, 2024
3384|47|288|146207|Lead|Q1-2023-Fall Campaign|Analytics Dashboard|UK|Pinnacle Analytics|Grace Lee|January 21, 2025
1148|39.00|138|127751|PENDING|Q3-23-Product Launch|Software Subscription|United Kingdom|Tyrell Corporation|Jane Doe|March 03, 2024
null|378|240|1343143|Closed Won|H2-2024-Email Blast||US|BrightPath Media||November 30, 2024
2978|479|23|2255907|closed lost|Q2-2023-Cross-sell|Hardware Unit|NA|CloudNine SaaS|Frank Wilson|January 04, 2025
1457|148.00|100|587037|closed lost|Q4-23-Fall Campaign|API Access|LATAM|Hooli Inc|Eva Martinez|February 18, 2024
3701|397.0|188|490144|CLOSED LOST|H1-23-Webinar Series|Gadget X|ANZ|Tyrell Corporation|JANE DOE|June 17, 2025
3557|79|233|363508|Negotiation||Service Plan Basic|Latin America|Nakatomi Trading|grace lee|October 29, 2023
860|271|488|1148424|Qualified|H1-24-Webinar Series|ERP Add-on|Australia|Tyrell Corporation|Alice Johnson|May 01, 2024
842|0|430|241897|Closed Lost|H2-24-Cross-sell|Consulting Hours|ANZ|Weyland Corp|bob williams|June 15, 2024
3036|20.0|465|10382|Closed Lost||Marketing Suite|US|AgriGrow Corp|John Smith|October 28, 2023
2550|447.0|396|693234|open|Q1-2023-Fall Campaign|Consulting Hours|North America|Tyrell Corporation|leo harris|November 16, 2023
3171|84.00|282|403565|pending|H2-24-Summer Blitz|Widget A|??|Tyrell Corporation|Karen White|May 17, 2025
null|203|466|434233|open||Widget Pro|MEA|Omni Consumer Products|grace lee|October 30, 2024
4617|N/A|240|239264|closed lost|H1-24-Email Blast|Widget B|N. America|Tyrell Corporation|Unassigned|
1726|#REF!|358|88317|CLOSED LOST|Q2-23-Trade Show|Widget A|MEA|Massive Dynamic|leo harris|September 27, 2024
1329|365|179|443763|Open|H1-2024-New Year Promo|Cloud Storage 5TB|USA|Planet Express|F. Wilson|July 05, 2025
4833|402.0|167|891644|Won|Q1-24-New Year Promo|Widget A|UK|Genco Pura|frank wilson|January 09, 2024
N/A||156|6289|Lead|Q3-2023-Spring Push|Service Plan Enterprise|Australia|Tyrell Corporation|JOHN SMITH|November 15, 2024
