price|dt|co|lds|cmpgn|rep|ch|rev|prod
$4671|2024/07/08|Bluth Company|1930|Q3-23-Brand Awareness|Frank Wilson|Referral|$1121078|Cloud Storage 5TB
$1383|2024/06/23|Bluth Company|2041|Q4-23-New Year Promo|K. White|Social|$200602|Consulting Hours
$356|2023/09/07|Rekall Inc|3187||L. Harris|email campaign|$145723|Training Package
$1443|2024/07/21|Rekall Inc|206|Q2-2023-Webinar Series|iris anderson|Web|$642237|Hardware Unit
$2230|2024/12/07|Wayne Corp|7|H2-23-Cross-sell|Iris Anderson|Phone|$972372|Gadget Mini
$2862|2024/06/13|Rekall Inc|2125||mia clark|In-Store|$1116289|Consulting Hours
$144|2025/01/29|Rekall Inc|2377|Q3-24-Trade Show|alice johnson|In-Store|$67998|Training Package
$94|2024/08/04|Rekall Inc|1798|Q1-2023-Cross-sell|Frank Wilson|RETAIL|$5169|Support Tier 2
$2923|2025/01/28|Vandelay Ind|-|Q3-2024-New Year Promo|H. Taylor|field|$1347558|Service Plan Basic
$1227|2025/03/15|Rekall Inc|3269|Q3-2023-Cross-sell|mia clark|Direct Sales|$456362|Consulting Hours
$39|2023/08/03|CloudNine SaaS|N/A|FY-24-Brand Awareness|Mia Clark|Social|$3001|Gadget X
$2813|2024/03/07|Rekall Inc|79|Q3-23-Product Launch|J. Doe|affiliate|$450045|Security Bundle
$1594|2024/01/24|Rekall Inc|-|FY-2024-Upsell|JOHN SMITH|Reseller|$221547|API Access
$1975|2024/11/19|Rekall Inc|669|Q3-24-Black Friday|David Brown|email campaign|$704993|-
$963|2024/07/17|Rekall Inc|47|Q2-23-Spring Push|H. Taylor|Brick & Mortar|$351568|Widget A
$4004|2024/05/24|Rekall Inc|502|H2-24-Cross-sell|B. Williams|PARTNER|$552555|Hardware Unit
$2254|2023/06/23|Rekall Inc|4621|FY-2024-Social Push|L. Harris|web|$51841|
$1687|2023/11/15|Rekall Inc|1567|H1-23-Summer Blitz|M. Clark|reseller|$836792|Premium Onboarding
$2582|2024/01/12|Rekall Inc|352|Q4-24-Holiday Sale|jane doe|E-Commerce|$991649|Cloud Storage 1TB
|2024/02/01|Rekall Inc|600|Q4-24-Holiday Sale|eva martinez|Referral|$52526|Widget B
$4567|2024/07/30|Rekall Inc|801|Q3-23-Upsell|JOHN SMITH|referral|$1461395|Training Package
$1724|2025/01/05|Rekall Inc|4578|Q1-23-Holiday Sale|Jake Thomas|Retail|$767273|ERP Add-on
$1108|2024/10/18|Rekall Inc|4337||Bob Williams|referral|$7753|Security Bundle
$1786|2023/08/08|Weyland Corp|2907|Q1-23-Product Launch|K. White|Social|$455484|Security Bundle
$4280|2024/08/29|Rekall Inc|1093|H2-2024-Brand Awareness|Carol Davis|Reseller|$753243|Consulting Hours
$1546|2024/10/27|Vandelay Ind|4532|Q3-2023-Holiday Sale|Frank Wilson|RETAIL|$89582|Premium Onboarding
||||||||
||||||||
