Laeds,Chanell,Untit Price,Converison,Dte,Ad Spned,Reigon,Campagn,Saels Rep,Quatity,Stauts,Revnue,Comapny,Prodcut
2095,Affiliate,$389.41,120,04.26.2024,"$22,543.20",Europe,,E. Martinez,439.0,Open,"$170,950.99",Oceanic Airlines,Security Bundle
2231,Phone,"$2,079.47",212,09.23.2023,"$20,434.86",SA,FY-24-Brand Awareness,A. Johnson,109.00,closed lost,"$226,662.23",Stratton Oakmont  ,Support Tier 2
4456,Online,"$2,514.08",486,07.26.2023,"$6,901.22",Middle East,H2-24-Trade Show,J. Thomas,95,Lost,"$238,837.60",Genco Pura,Premium Onboarding
2234,Channel Partner,$86.97,-,12.24.2024,N/A,United Kingdom,Q1-24-Social Push,G. Lee,380.00,negotiation,"$33,048.60",Sterling Cooper,Service Plan Enterprise
2518,ONLINE,$949.40,170,12.04.2024,"$9,510.40",UK,Q3-24-Fall Campaign,J. Doe,76.0,Negotiation,"$72,154.40",Oceanic Airlines,Service Plan Pro
2340,Email,$233.57,239,12.16.2024,$640.93,MEA,Q2-24-Holiday Sale,Karen White,346,Qualified,"$80,815.22",Hooli Inc,Security Bundle
1142  ,Referral,NULL,21,07.15.2023,N/A,Asia,Q2-2023-Email Blast,Jake Thomas,322.0,Proposal,"$183,878.66",Oceanic Airlines,Software License
436,in-store,"$1,219.48",125,01.27.2023,-,South America,Q4-2024-Holiday Sale,alice johnson,22.00,qualified,"$26,828.56",Omni Consumer Products,Training Package
3548,,"$1,945.74",281,09.01.2023,"$24,657.34",NA,FY-2024-Product Launch,Mia Clark,281.00,In Progress,"$546,752.94",Oceanic Airlines,Widget Pro
4805,RETAIL,"$3,992.54",60,03.02.2023,"$17,750.18",Asia,H2-2023-Webinar Series,Karen White,248.0,Closed-Won,"$990,149.92",,Consulting Hours
2529,Email Campaign,"$1,347.01",457,08.07.2024,"$26,451.85",ANZ,H2-24-Upsell,C. Davis,234.00,CW,"$315,200.34",Oceanic Airlines,API Access  
null,Online,"$2,029.50",243,11.25.2023,"$29,450.59",Africa,FY-23-Email Blast,Eva Martinez,208,PENDING,"$422,136.00",Krusty Burger LLC,Security Bundle
3611,Partner,$727.76,50,12.09.2023,"$48,278.13",United States,H2-2024-Black Friday,Mia Clark,280.00,qualified,"$203,772.80",Oceanic Airlines,Widget Pro
1660,Website,"$2,700.92",175,11.15.2024,,United Kingdom,H2-23-Upsell,Karen White,201.00,CLOSED LOST,"$542,884.92",Oceanic Airlines,Hardware Unit
,field,$83.70,442,10.13.2024,"$26,605.79",North America,H2-24-Product Launch,eva martinez,304.00,LOST,"$25,444.80",Tyrell Corporation,Gadget Mini
4796,web,"$1,083.95",220,12.28.2023,"$17,361.08",Middle East,Q4-2024-Email Blast,Mia Clark,17.0,Closed-Lost,"$18,427.15",Pied Piper,CRM Module
1900,Affiliate,"$2,273.21",N/A,09.23.2024,"$30,473.85",APAC  ,Q3-24-Retention,F. Wilson,372,qualified,"$845,634.12",,Marketing Suite
2642,Referral,$525.92,270,09.17.2023,"$46,463.45",Europe,H2-24-Email Blast,B. Williams,122,Negotiation,"$64,162.24",GreenLeaf Energy,Cloud Storage 5TB
3576,Website,NA,94,06.05.2023,"$28,157.34",EMEA,Q4-24-Trade Show,Jane Doe,201.0,Lead,"$153,048.81",BrightPath Media,Support Tier 2
2647,Retail,"$1,940.98",27,02.14.2024,-,Africa,FY-24-Fall Campaign,JOHN SMITH,218.0,open,"$423,133.64",Oceanic Airlines,Widget A
2460,Affiliate,"$2,364.41",,03.15.2024,"$19,201.73",US,Q2-2024-Summer Blitz  ,Leo Harris,196,pending,"$463,424.36",Oceanic Airlines,Software Subscription
1202,Online,"$1,431.96",75,09.30.2023,"$14,448.37  ",United States,Q4-23-Brand Awareness,jake thomas,336,Qualified,"$481,138.56",AgriGrow Corp,Widget Pro
2753,social,$952.35,394,11.14.2023,"$30,371.17",ASIAPAC,H2-24-Black Friday,carol davis,358,CL,"$340,941.30",Oceanic Airlines,Premium Onboarding
4945,phone,"$2,882.34",217,04.28.2023,$469.89,United Kingdom,Q1-23-Upsell,jake thomas,431.0  ,PENDING,"$1,242,288.54",NovaTech Solutions,Software Subscription
2307,phone,"$4,636.99",382,09.01.2024,"$17,263.40",EMEA,H1-23-Email Blast,henry taylor,333.0,CLOSED LOST,"$1,544,117.67",Oceanic Airlines,Widget A
2322,social media,"$3,609.59",431,01.30.2024,"$21,051.82",Europe,Q4-2023-Upsell,grace lee,,Lead,"$141,430.40",Oceanic Airlines,Gadget Mini
2287,call center,"$1,094.72",436,03.03.2023,,Latin America,Q1-2023-New Year Promo,F. Wilson,330,qualified,"$361,257.60",Oceanic Airlines,Service Plan Basic
1660,Social,"$3,115.35",3,09.29.2024,"$44,573.55",South America,Q1-2024-Webinar Series,Leo Harris,402.00,closed lost,"$1,252,370.70",Oceanic Airlines,Consulting Hours
2007,Store,$883.54,163,pending,N/A,US  ,FY-24-New Year Promo,David Brown,303,Proposal,"$267,712.62",Krusty Burger LLC,Premium Onboarding
4207,phone,"$1,574.76",148,10.01.2023,"$2,621.51",Latin America,H1-2024-Email Blast,jane doe,196.0,proposal,"$308,652.96",Oceanic Airlines,API Access
1492,Email,"$1,183.88",233,02.20.2024,"$39,126.27",USA,Q2-24-Holiday Sale,karen white  ,161.0,Closed Won,"$190,604.68",Globex Industries,Marketing Suite
3449,reseller,$685.19,389,09.25.2024,"$49,919.83",US,H2-23-Cross-sell,Jane Doe,N/A,open,N/A,Oceanic Airlines,Other  
3874,reseller,"$1,670.92",288,02.22.2024,"$27,736.10",UK,,Alice Johnson,146.0,Proposal,"$243,954.32",Oceanic Airlines,Gadget Mini
4754,direct,,194,pending,"$8,431.02",LATAM,Q4-2024-Summer Blitz,L. Harris,84,PENDING,,Oceanic Airlines,Security Bundle
4876,Web,"$3,974.37",455,04.27.2024,"$4,254.75",ASIAPAC,H1-2023-Black Friday,david brown,149,Closed-Lost,"$592,181.13",Oceanic Airlines,Cloud Storage 5TB
1807,Brick & Mortar,"$4,909.56",186,06.20.2023,"$41,617.75",Middle East,H1-23-Social Push,bob williams,311,in progress,"$1,526,873.16",Oceanic Airlines,Support Tier 1
1618,phone,"$2,823.57",416,04.12.2024,"$38,958.10",EU,Q1-2024-Spring Push,I. Anderson,15,CLOSED WON  ,"$42,353.55",Oceanic Airlines,Hardware Unit
3629,retail,"$3,299.97",229,pending,"$25,693.43",ASIAPAC,,eva martinez,418.00,closed won,"$1,379,387.46",Oceanic Airlines,Software Subscription
1218,Call Center,"$2,159.42",N/A,04.13.2024,"$38,110.37",Africa  ,Q1-23-Brand Awareness,karen white,364.00,Closed Lost,"$786,028.88",Bluth Company,Premium Onboarding
3717,ecommerce,"$2,273.69",475,11.02.2023,"$6,768.77",Middle East,Q3-2024-Summer Blitz,J. Doe,484.00,Closed-Won,"$1,100,465.96",  ,Support Tier 1
653,E-Commerce,N/A,234,02.21.2024,"$22,035.94",NA,Q3-24-Black Friday,TBD,N/A,closed lost,"$166,071.29",Oceanic Airlines,Premium Onboarding
