Exported from Umbrella Ltd CRM on 2026-03-08||||||||
quantity|salesRep|productName|saleDate|salesRegion|unitPrice|campaignName|companyName|totalRevenue
498.0|J. Thomas|Other|null|South America|USD 4,789.19|Q4-24-Webinar Series|MomCorp|USD 2,385,016.62
416.0|Karen White|Widget A|2025/02/13|Middle East|USD 1,098.22|FY-2023-Email Blast|Umbrella Ltd|USD 456,859.52
392.00|E. Martinez|Widget Pro|2024/05/01|EMEA|USD 16.75|H2-24-New Year Promo|Umbrella Ltd|USD 6,566.00
1|bob williams|Service Plan Pro|pending|MEA|USD 235.59|Q1-2023-Email Blast||USD 235.59
280|J. Doe|Security Bundle|pending|Australia|USD 4,218.56|FY-2024-Fall Campaign|Umbrella Ltd|USD 1,181,196.80
286|iris anderson|Service Plan Pro|2024/01/14|UK|USD 1,180.89|H2-2024-Summer Blitz|TrueNorth Financial|USD 337,734.54
136.0|J. Doe|Software License|2025/04/18|EU|USD 2,809.24||Stark Industries|USD 382,056.64
100.0|D. Brown|Software Subscription|2024/01/09|Middle East|USD 1,114.97|FY-24-Social Push|Buy N Large|USD 111,497.00
452|J. Thomas|Support Tier 1|2024/04/26|Latin America|USD 2,885.83|H2-24-Product Launch|Globex Industries|USD 1,304,395.16
54|Alice Johnson|Cloud Storage 5TB|2025/05/26|US|USD 437.09||QuickShip Logistics|USD 23,602.86
471|F. Wilson|Widget B|2024/02/17|Asia||Q4-24-Upsell|Umbrella Ltd|USD 28,430.99
164.0|I. Anderson|Service Plan Pro|2024/04/25|Asia|USD 3,289.38|Q2-23-Holiday Sale||USD 539,458.32
293|Unassigned|Support Tier 2|2025/03/14|Africa|USD 3,222.17|H1-23-Trade Show|Bluth Company|USD 944,095.81
22|grace lee|Cloud Storage 1TB|2024/11/13|South America|USD 3,927.71|H1-2023-Black Friday|Umbrella Ltd|USD 86,409.62
236.00|David Brown|Consulting Hours|2025/05/23|Africa|USD 4,688.52|Q3-2023-Fall Campaign|Umbrella Ltd|USD 1,106,490.72
163.00|E. Martinez|Hardware Unit|2025/04/16|Latin America|USD 1,716.61|Q2-24-Fall Campaign|Umbrella Ltd|USD 279,807.43
297.0|John Smith|Data Pipeline|2024/09/27|SA|USD 2,649.08||Umbrella Ltd|USD 786,776.76
