Campaign,Revenue,Company,Unit Price,Ad Spend,Product,Region,Status,Date,Conversions
FY-23-Black Friday,NULL,BlueOcean Retail,1825.68,48120.00,Premium Onboarding,Asia Pacific,Open,10/09/2023,477
Q2-2023-Trade Show,119882.56,,1070.38,10340.62,Other,Europe,Lead,30/07/2023,151
,N/A,BrightPath Media,776.43,33031.24,Service Plan Basic,MEA,negotiation,28/09/2024,150
Q1-2024-Fall Campaign,636509.40,BrightPath Media,1365.90,5341.35,Security Bundle,Europe,Won,19/10/2023,443
H1-23-Email Blast,391542.62,Virtucon,4774.91,43586.05,CRM Module,MEA,CL,12/12/2023,395
Q3-24-Spring Push,424438.32,BrightPath Media,1040.29,21985.00,MISC,Asia Pacific,Closed-Lost,21/10/2023,499
Q3-2024-Holiday Sale,207665.97,,505.27,2166.91,Service Plan Basic,ANZ,Qualified,17/10/2023,199
Q3-23-Trade Show,2044867.20,BrightPath Media,4822.80,48710.72,Marketing Suite,LATAM,open,15/01/2025,282
H2-24-Email Blast,968270.76,BrightPath Media,4915.08,24980.55,Consulting Hours,South America,Closed-Won,25/02/2024,479
H2-2024-Brand Awareness,1221689.70,,3878.38,33767.22,Security Bundle,EMEA,PENDING,06/09/2024,484
FY-2023-Fall Campaign,227428.83,BrightPath Media,4291.11,31679.67,ERP Add-on,-,Negotiation,01/06/2025,198
,352221.00,BrightPath Media,1558.50,31353.68,Analytics Dashboard,Europe,Closed Won,08/11/2023,138
Q1-24-Social Push,701979.64,BrightPath Media,2974.49,44717.49,-,MEA,Won,08/07/2024,73
Q1-23-Holiday Sale,334992.42,CloudNine SaaS,979.51,37111.74,Security Bundle,Africa,closed lost,03/09/2023,
H2-2023-Webinar Series,975539.20,BrightPath Media,2300.80,34332.23,CRM Module,Britain,lead,06/09/2024,45
Q2-2024-Email Blast,882867.48,BrightPath Media,4436.52,49257.41,ERP Add-on,,closed lost,05/12/2024,493
FY-23-Cross-sell,594812.40,BrightPath Media,1906.45,12492.74,Software License,Asia Pacific,closed lost,30/12/2024,489
H2-2023-Black Friday,10652.68,Vandelay Ind,2663.17,36961.10,Consulting Hours,Latin America,open,09/12/2023,327
Q2-23-Social Push,120437.72,Buy N Large,2316.11,40344.57,MISC,ANZ,CW,02/07/2024,
Q1-2024-Holiday Sale,34143.07,BrightPath Media,2626.39,21867.68,Service Plan Enterprise,EU,Closed Lost,30/10/2024,390
Q1-2024-Brand Awareness,1345278.12,Oscorp Technologies,2751.08,17905.23,Marketing Suite,USA,closed lost,24/01/2024,327
FY-24-Cross-sell,1026840.80,BrightPath Media,3775.15,45956.48,Security Bundle,MEA,proposal,07/04/2024,
,238750.60,BrightPath Media,1269.95,49895.57,Widget B,Africa,CLOSED WON,02/01/2024,125
H2-23-Cross-sell,34980.96,BrightPath Media,75.39,20818.68,API Access,Europe,Negotiation,17/11/2024,290
Q3-2023-Black Friday,893828.34,BrightPath Media,4100.13,36047.96,Data Pipeline,SA,proposal,null,332
Q3-23-Black Friday,349788.78,Initech Solutions,719.73,44968.33,Widget B,ANZ,pending,20/10/2023,132
Q4-2023-Holiday Sale,1211119.07,Krusty Burger LLC,3869.39,36876.17,Widget B,Africa,Closed Lost,24/04/2025,229
Q3-2023-Brand Awareness,1162500.96,Cybertruck Co,4211.96,7072.45,Hardware Unit,Latin America,closed won,15/07/2024,-
Q3-23-Cross-sell,558845.95,BrightPath Media,3854.11,8674.15,ERP Add-on,N. America,In Progress,04/11/2023,169
Q1-2023-Holiday Sale,43271.66,BrightPath Media,1395.86,33421.48,Service Plan Enterprise,Middle East,CL,null,369
Q3-23-Webinar Series,960355.30,BrightPath Media,2342.33,29984.91,-,N. America,CLOSED LOST,null,27
,912663.27,BrightPath Media,3012.09,11949.92,Cloud Storage 1TB,ASIAPAC,closed won,25/08/2024,
Q1-23-Black Friday,1373235.20,BrightPath Media,4291.36,45608.72,Widget B,ANZ,negotiation,23/10/2024,230
H1-2023-Product Launch,675831.60,BrightPath Media,2085.90,15024.41,API Access,Middle East,Closed Won,09/01/2025,317
Q4-2024-Upsell,193116.15,DataWave Inc,523.35,11008.79,Support Tier 2,Middle East,proposal,04/06/2023,13
H2-24-Trade Show,463031.06,BrightPath Media,4097.62,26657.32,Widget B,NA,lead,15/01/2025,106
Q1-24-Retention,360060.18,BrightPath Media,1348.54,9881.97,Analytics Dashboard,NA,Lead,21/10/2024,133
FY-2024-New Year Promo,108629.84,BrightPath Media,610.28,46522.68,Support Tier 1,United States,negotiation,26/08/2023,190
Q3-23-Black Friday,130398.45,BrightPath Media,286.59,1501.09,Software License,United Kingdom,Closed-Lost,15/01/2025,323
H2-23-Cross-sell,356923.84,Virtucon,980.56,15236.39,Gadget X,United States,CW,16/01/2024,278
Q3-2024-Fall Campaign,520430.20,BrightPath Media,2262.74,12504.35,Consulting Hours,United States,closed won,01/09/2023,249
Q2-23-Fall Campaign,9803.20,BrightPath Media,245.08,15929.24,Analytics Dashboard,United States,Lead,18/09/2024,179
Q1-2023-Product Launch,798599.10,BrightPath Media,3472.17,16523.25,Cloud Storage 5TB,SA,WON,01/10/2023,79
H1-2023-Upsell,576480.33,Buy N Large,3371.23,null,Software Subscription,Britain,in progress,01/10/2023,362
H2-2024-Fall Campaign,1222492.82,BrightPath Media,2988.98,8453.04,Other,Europe,closed won,02/05/2024,226
,163122.96,BrightPath Media,560.56,2598.35,Support Tier 1,UK,Negotiation,04/03/2025,-
FY-24-Fall Campaign,1927714.32,Hooli Inc,4255.44,0,Support Tier 2,Australia,CW,11/10/2023,204
Q3-23-Cross-sell,329404.17,BrightPath Media,801.47,13366.59,Widget Pro,MEA,LOST,21/09/2023,32
,20832.30,BrightPath Media,131.85,16519.80,Gadget X,South America,Won,29/01/2025,170
Q2-2024-Brand Awareness,86325.26,Soylent Corp,1463.14,2943.77,Training Package,UK,negotiation,24/04/2025,125
Q4-2023-Email Blast,48965.94,BrightPath Media,123.03,48705.98,Marketing Suite,Unknown,Closed-Won,23/10/2024,N/A
H2-2023-Social Push,159136.45,Cogswell Cogs,1788.05,45574.34,Analytics Dashboard,Asia Pacific,Lost,03/10/2024,371
Q3-24-Spring Push,1439876.48,Dharma Initiative,3214.01,4729.42,Premium Onboarding,United Kingdom,CLOSED WON,18/11/2024,446
Q1-2024-Social Push,67039.42,,NULL,37280.05,Hardware Unit,US,in progress,24/11/2024,82
H2-23-Holiday Sale,1476815.85,BrightPath Media,3096.05,21849.03,Service Plan Enterprise,South America,In Progress,null,340
Q1-2024-Email Blast,428527.00,BrightPath Media,1314.50,24805.27,Widget A,UK,Open,25/06/2024,182
,935497.86,BrightPath Media,3697.62,3927.44,ERP Add-on,MEA,CLOSED WON,14/09/2023,168
H1-2024-Social Push,336831.18,BrightPath Media,1261.54,14718.74,ERP Add-on,South America,Lead,30/11/2024,75
,169169.64,BrightPath Media,1262.46,43461.48,Widget B,USA,qualified,23/08/2023,331
Q2-2023-Product Launch,743009.95,BrightPath Media,4016.27,24371.70,N/A,Asia,WON,03/08/2023,255
H2-24-Black Friday,351493.31,BrightPath Media,707.23,48585.50,Widget B,North America,CW,11/01/2025,497
Q1-24-Upsell,518609.00,Rekall Inc,2849.50,44723.95,Premium Onboarding,EU,negotiation,12/03/2024,171
FY-2024-Brand Awareness,201571.47,BrightPath Media,missing,26548.00,Cloud Storage 5TB,LATAM,negotiation,29/08/2023,63
Q2-23-New Year Promo,54498.10,BrightPath Media,201.10,12822.33,Widget A,LATAM,Pending,02/07/2023,186
Q4-24-Brand Awareness,241146.50,BrightPath Media,688.99,14814.90,Premium Onboarding,SA,In Progress,30/03/2024,265
H2-2024-Summer Blitz,41321.96,BrightPath Media,1087.42,18375.40,Consulting Hours,LATAM,CLOSED LOST,23/10/2024,81
Q4-23-Black Friday,822536.55,BrightPath Media,1661.69,13870.07,Service Plan Enterprise,EU,closed won,21/02/2024,148
,977306.00,Rekall Inc,3152.60,27317.80,Other,US,Closed-Won,01/04/2024,180
Q1-2024-Trade Show,227645.01,Nakatomi Trading,1286.13,7411.33,Training Package,-,Closed-Won,05/05/2024,35
H2-24-Holiday Sale,212341.74,BrightPath Media,927.85,18211.08,Analytics Dashboard,EU,Closed-Won,22/12/2023,185
Q4-2023-Cross-sell,181400.88,Stark Industries,524.28,4408.89,Cloud Storage 1TB,US,Closed Lost,10/09/2024,
H1-2024-Upsell,943333.20,BrightPath Media,2346.60,28188.78,Security Bundle,Middle East,Closed Lost,16/11/2023,122
Q2-2023-Product Launch,117195.58,BrightPath Media,3067.29,45922.36,Hardware Unit,USA,Negotiation,22/03/2025,363
H2-24-New Year Promo,2343180.28,BrightPath Media,4996.12,5369.23,Software License,ASIAPAC,negotiation,29/11/2024,317
FY-2023-Holiday Sale,169380.90,Genco Pura,3764.02,43354.40,Widget B,USA,CL,17/05/2024,158
H2-23-Social Push,150053.50,BrightPath Media,3001.07,16564.61,Software License,N. America,negotiation,24/12/2023,423
Q2-2024-Black Friday,783305.52,BrightPath Media,2055.92,10609.01,CRM Module,Europe,in progress,12/11/2023,357
Q1-23-Upsell,42478.62,BrightPath Media,2312.02,6857.02,Software License,South America,proposal,04/06/2023,301
Q1-2024-Trade Show,105021.68,BrightPath Media,4566.16,9047.06,Gadget Mini,Middle East,CL,14/11/2024,-
,386067.20,Omni Consumer Products,2412.92,12409.96,Software Subscription,EU,closed lost,26/09/2024,312
Q3-2023-Summer Blitz,2068900.64,BrightPath Media,4833.88,536.51,Software License,EU,Closed Won,19/05/2025,25
Q1-23-Summer Blitz,205428.04,HealthPlus Pharma,1252.61,39991.80,Widget A,South America,Proposal,14/12/2023,460
Q3-2023-Trade Show,1397605.64,BrightPath Media,3620.74,33475.24,Software License,South America,Qualified,02/12/2023,316
Q4-23-New Year Promo,1073161.68,BrightPath Media,2461.38,null,Premium Onboarding,NA,WON,02/04/2024,149
Q2-23-Upsell,274925.25,BrightPath Media,578.79,22192.27,Training Package,N. America,Negotiation,25/06/2024,396
Q1-23-New Year Promo,205862.85,BrightPath Media,1524.91,45496.58,API Access,NA,Negotiation,20/11/2024,458
Q1-2024-New Year Promo,174372.75,BrightPath Media,774.99,28739.75,Gadget X,N. America,qualified,15/05/2025,489
Q1-2023-Black Friday,1235837.52,BrightPath Media,2710.17,32131.15,Gadget X,Asia,Open,08/05/2025,315
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
