Datum,Werbeausgaben,Vertreter,Kanal,Produkt,Region,Firma,Kampagne,Umsatz,Leads,Abschluesse,Stueckpreis,Menge
pending,null,JOHN SMITH,email campaign,API Access,North America,Pinnacle Analytics,Q4-2023-Black Friday,306223.58,59,143,759.86,403
04/25/2023,37596.04,Henry Taylor,PARTNER,Cloud Storage 5TB,ANZ,Pinnacle Analytics,Q1-24-Trade Show,1034792.00,926,361,2138.00,484
08/11/2023,21460.05,Karen White,Affiliate,Gadget Mini,Asia Pacific,Pinnacle Analytics,H1-2024-Holiday Sale,403964.44,542,-,3014.66,134
11/03/2024,20070.88,J. Thomas,Brick & Mortar,Gadget Mini,N. America,Pinnacle Analytics,FY-23-Product Launch,482295.36,709,107,1142.88,422.00
03/07/2024,44588.52,H. Taylor,Store,Cloud Storage 1TB,N. America,Pinnacle Analytics,FY-24-Summer Blitz,1129517.57,4528,417,4500.07,251.0
01/17/2024,39134.37,C. Davis,email,Other,South America,PixelForge Studios,H2-23-Black Friday,831591.12,4178,145,4470.92,186.00
01/11/2024,35475.13,John Smith,email campaign,Widget Pro,EU,Pinnacle Analytics,Q2-24-Email Blast,60037.56,1838,416,1364.49,44
02/26/2023,38895.55,alice johnson,DIRECT,Service Plan Basic,MEA,Pinnacle Analytics,H1-23-Retention,176427.72,906,192,1089.06,162
01/16/2025,45218.93,I. Anderson,reseller,API Access,Asia,Pinnacle Analytics,Q2-2024-New Year Promo,82547.40,2813,240,289.64,285
05/02/2023,N/A,bob williams,In-Store,Premium Onboarding,ASIAPAC,Pinnacle Analytics,H2-2023-Cross-sell,407660.24,4060,482,2018.12,202.0
08/03/2024,45491.61,Henry Taylor,Affiliate,CRM Module,Unknown,Pinnacle Analytics,,309279.45,2579,260,695.01,445.0
05/31/2023,11138.01,JANE DOE,Direct Sales,N/A,EU,BrightPath Media,Q2-24-Summer Blitz,1800264.93,4915,386,3905.13,461.00
09/08/2024,16738.67,TBD,Direct Sales,Widget B,SA,Genco Pura,Q1-2023-Product Launch,607341.56,1619,337,1474.13,412
03/03/2023,41858.01,Jake Thomas,Direct,Support Tier 2,Britain,Pinnacle Analytics,FY-24-Fall Campaign,1855826.52,2882,369,4593.63,404
11/18/2023,37346.02,M. Clark,Channel Partner,Widget Pro,ASIAPAC,Pinnacle Analytics,Q3-2024-Black Friday,191109.60,506,457,434.34,440
10/29/2024,42532.41,TBD,referral,Software License,Middle East,Pinnacle Analytics,Q2-24-Summer Blitz,362214.87,360,305,4069.83,89.0
09/25/2024,N/A,J. Doe,Email,Hardware Unit,ASIAPAC,AgriGrow Corp,FY-23-Social Push,735460.74,,230,3954.09,186.0
10/02/2023,6908.23,eva martinez,Email Campaign,API Access,??,Pinnacle Analytics,Q4-23-Trade Show,,3365,477,null,426.0
12/12/2023,25338.64,E. Martinez,email,Support Tier 2,UK,Pinnacle Analytics,H2-2024-Spring Push,405860.04,1236,82,2652.68,153
05/07/2024,43146.22,J. Doe,retail,Premium Onboarding,Middle East,Pinnacle Analytics,H2-24-Holiday Sale,634338.84,3287,124,2241.48,283
09/19/2024,29242.27,H. Taylor,Email,API Access,Latin America,Acme Corp,Q3-24-Social Push,1996714.61,null,229,4100.03,487
06/14/2023,21425.98,John Smith,Website,Widget Pro,,Krusty Burger LLC,Q2-2023-Trade Show,1905880.20,null,255,4537.81,420.0
10/03/2023,37767.73,David Brown,Website,Widget A,ANZ,Prestige Worldwide,Q3-2023-Cross-sell,43690.14,null,-,1680.39,26
04/25/2023,10864.22,M. Clark,web,Security Bundle,ANZ,Pinnacle Analytics,,99906.48,540,234,1447.92,69.0
04/09/2023,null,B. Williams,Store,Premium Onboarding,Asia Pacific,Pinnacle Analytics,H2-2023-Cross-sell,null,1605,354,857.75,0
