sale_date,campaign_name,rep_name,product_name,ad_spend_usd,deal_status,num_conversions,sales_region,total_revenue,sales_channel,num_leads
pending,H2-23-Fall Campaign,JANE DOE,Gadget X,$24703,WON  ,16,APAC,$1158324,Phone,3132
11/08/2023  ,,Karen White,API Access,$7954,Closed-Won,203,NA,$221257,email,null
04/26/2024,,JANE DOE,Software License,$18039,WON,149,ANZ,$222295,Email Campaign,972
10/30/2024,Q1-2023-Webinar Series,Frank Wilson,Training Package,$45851,Closed Lost,348,North America,$483231,Social Media,4065
09/11/2024,FY-24-Upsell,Frank Wilson,API Access,$15282,PENDING,289,APAC,$628731,online,2031
TBD,H2-24-Brand Awareness,Mia Clark,Support Tier 2,N/A,In Progress,272,ASIAPAC,$313682  ,web,3984
04/05/2024,Q1-24-New Year Promo,alice johnson,Software Subscription,$21813,in progress,159,MEA,$210916,Affiliate,3973
02/29/2024,Q1-23-Upsell,Jake Thomas,Service Plan Enterprise,$32589,In Progress,77,ASIAPAC,$264684,Affiliate,2979
03/26/2025,FY-2024-Email Blast,john smith,Data Pipeline,N/A,Negotiation,490,Europe,$228792,,283
02/28/2024,H2-23-Product Launch,Bob Williams,API Access,$8770,WON,,NA,$532673,social,-
02/18/2025,FY-2023-Holiday Sale  ,Grace Lee,Premium Onboarding,$44731,Negotiation,382,NA,$382774,,N/A
01/01/2025,FY-24-Webinar Series,TBD,Data Pipeline,$49863  ,closed lost,9,UK,$184690,social media,4824
11/19/2023,Q1-24-Fall Campaign,eva martinez,Gadget X,-,Qualified,35,SA,$142837,Store,203
03/24/2024,FY-2024-Black Friday,David Brown,Support Tier 2,$32906,in progress,257,EMEA,$168148,retail,383
04/29/2025,Q4-24-Retention,Jake Thomas,Premium Onboarding,$4231,pending,402,Africa,$187599,call center,3207
05/22/2025,Q1-24-Product Launch,Unassigned,Hardware Unit,$29986,pending,318,??,$52312,Affiliate,3067
12/31/2024,H2-24-Email Blast,Iris Anderson,Cloud Storage 5TB,$10753,qualified  ,369,US,$5415,Social Media,2914
09/05/2024,Q1-2023-Brand Awareness,A. Johnson,Support Tier 2,$3135,closed lost,-,Europe,$343109,Affiliate,3161
06/04/2024,Q1-2023-Black Friday,J. Doe,Gadget X,$36676,In Progress  ,357,NA,$826240,Email Campaign,1145
07/28/2025,H2-24-Email Blast  ,,Training Package,$26404,LOST,480,Asia,$205871,E-Commerce,3637
