totalRevenue|companyName|saleDate|salesChannel|leadCount|quantity|productName|conversionCount|adSpend|Notes
39103.20|QuickShip Logistics|March 29, 2024|Field Sales|4159|16.0|Software License|51|38974.83|
818222.08|QuickShip Logistics|November 07, 2024|email campaign|4141|256|Service Plan Enterprise|45|38722.93|
146289.87|Tyrell Corporation|November 29, 2023|Brick & Mortar|null|309.00||109|4222.06|new customer
103433.72|QuickShip Logistics|August 23, 2024|social|3771|377.00|Analytics Dashboard|422|10562.40|discount applied
63054.64|QuickShip Logistics|January 14, 2024|Telesales|2875|N/A|Widget A|458|30290.08|NET30 terms
60471.88|Pinnacle Analytics|July 27, 2024||3492|49|Service Plan Basic|194|14556.22|
1559992.35|QuickShip Logistics|December 15, 2023|Web|3896|457|Widget A|332|4629.00|
356835.27|Dharma Initiative|September 20, 2023|Store|2860|187.0|Gadget Mini|303|19793.64|discount applied
185278.51|QuickShip Logistics|August 23, 2023|email campaign|-|259.00|MISC|249|44607.79|
19815.30|QuickShip Logistics|October 10, 2024|email campaign|2510|270|Software License|190|41506.04|renewal
139043.52|QuickShip Logistics|November 30, 2024|email campaign||152.0|Widget Pro|53||
1630330.48|QuickShip Logistics|June 14, 2023||397|472|ERP Add-on|161|29877.95|
1083169.11|QuickShip Logistics|September 29, 2023|Social|4748|289.00|Marketing Suite|148|27925.46|
93301.63|QuickShip Logistics|October 18, 2023|call center|4303|-|Gadget X|71|6392.49|
1400007.42|QuickShip Logistics|August 19, 2024|referral|4780|441.0|Software Subscription|312|3738.90|
150732.69|QuickShip Logistics|January 01, 2024|social|3258|297|ERP Add-on|333|24672.64|
241883.40|QuickShip Logistics|August 11, 2023|field|4507|335.0|Support Tier 2|50|38839.83|
534353.06|TrueNorth Financial|July 28, 2023|Field Sales|756|382.00|Software Subscription|465|49623.42|
305143.80|QuickShip Logistics|November 22, 2024|ecommerce|3792|213|Cloud Storage 5TB|219|30186.73|bulk order
80428.14|QuickShip Logistics|January 14, 2024|email|801|38.00|Service Plan Enterprise|352|15998.25|
1168729.46|QuickShip Logistics|August 14, 2023|DIRECT|97|334.00|Hardware Unit|458|5685.47|
739915.68|Cybertruck Co|July 18, 2024|retail|3492|168|MISC|415|1652.52|
148699.60|QuickShip Logistics|February 20, 2025|ecommerce|2398|40|Gadget Mini|3||
1558575.65|QuickShip Logistics|April 12, 2023|Brick & Mortar|2853|457|Service Plan Enterprise|201|10954.97|
34892.28|QuickShip Logistics|February 17, 2024|Website|4751|12|Widget Pro|98|35696.39|escalated
92570.88|QuickShip Logistics||Phone|3241|163|Widget Pro|244||CEO referral
1264770.08|Cogswell Cogs|November 02, 2024|email campaign|3572|476.0|API Access|343|20841.92|
726046.72||December 23, 2024|Partner||224.00|Software Subscription|-|6975.17|
134602.98|QuickShip Logistics|January 02, 2024|in-store|2188|#REF!|Training Package|172|32759.34|
857685.18|QuickShip Logistics|December 11, 2024|phone|4293|253|API Access|127||
338009.50|QuickShip Logistics|October 08, 2024|Telesales|3942|290.0|Cloud Storage 5TB|181|3600.53|
1100411.82|Buy N Large|March 08, 2024|email|37|254.00|ERP Add-on|224|10540.94|
