product_name,company_name,deal_status,qty,ad_spend_usd,sale_date,rep_name,total_revenue,num_leads,sales_region,sales_channel,unit_price,campaign_name,num_conversions,Currency,notes
Widget A,Brawndo Corp,proposal,325.00,17054.36,2023-05-29,alice johnson,667550.00,4838,Latin America,Online,2054.00,H1-24-Cross-sell  ,474,USD,NET30 terms
Cloud Storage 5TB,TrueNorth Financial,In Progress,72,28449.49,2024-12-26,Grace Lee,247411.44,3589,Latin America,Social Media,3436.27,Q2-2023-Cross-sell,0  ,JPY,
Support Tier 2,Omni Consumer Products,open,-,30530.25,2025-01-19,I. Anderson,36060.32,2095,EMEA,call center,279.89,Q3-2024-Webinar Series,176,JPY,new customer
Widget A,TrueNorth Financial,WON,341.0,48062.71  ,2023-03-30,Grace Lee,67957.89,1838,USA,Direct Sales,199.29,,478,EUR,
Cloud Storage 5TB,Umbrella Ltd,WON,352,40286.99,2023-09-24,J. Thomas,1399238.72,4139,Europe,,3975.11,H1-24-Spring Push,38,AUD,
Widget B,Umbrella Ltd,closed won,24.0,37447.16,2024-06-17,mia clark,60621.12,583,NA,in-store,2525.88,,71,EUR,pending approval
Analytics Dashboard,Umbrella Ltd,Qualified,368,24704.12,2024-11-17,Grace Lee,663805.76,2277,Asia Pacific,direct,1803.82,Q1-2024-Fall Campaign,317,USD,VIP client
Service Plan Basic,Umbrella Ltd,CL,469.00,49922.82,2023-05-02,J. Thomas,222043.36,3060,NA,email campaign,473.44,Q4-2023-Spring Push,402,JPY,  
Software Subscription,Umbrella Ltd,Won,92.0,7813.12,2023-11-18,K. White,303509.84,1067,,reseller,3299.02,FY-23-New Year Promo,452,EUR,
CRM Module,Umbrella Ltd,Proposal,87,48327.67,2023-07-26,iris anderson,243619.14,3103,EU,ecommerce,2800.22,,237,CAD,
Premium Onboarding,Umbrella Ltd,Closed-Won,0,7675.26,2023-05-18,Alice Johnson,20482.62,4833,LATAM,ecommerce,1411.65,Q2-2023-Summer Blitz,248,USD,discount applied
API Access,Umbrella Ltd,Closed-Lost,415.0,3062.70,2024-05-30,J. Doe,1107029.10,2073,EMEA,Reseller,2667.54,H2-24-Webinar Series,9,GBP,
Support Tier 1,Umbrella Ltd,in progress,116,27725.08,2023-08-02,F. Wilson,8771.92,1351,Asia,Store,75.62,Q1-2023-New Year Promo,382,USD,  
Gadget Mini,Umbrella Ltd,closed won,314.00,13092.26,2023-10-26,A. Johnson,94501.44,2998,EMEA  ,,300.96,FY-24-Email Blast,490,AUD,
Service Plan Enterprise,FreshCart,Qualified,216.00,42039.83,2023-07-31,leo harris,31587.84,4231,EMEA,Direct Sales,146.24,Q2-2024-Upsell,340,,
Consulting Hours,Umbrella Ltd,closed won,102,-,2024-04-27,John Smith,26899.44,1709,US,web,263.72,H1-23-New Year Promo,-,JPY,
Service Plan Pro,Umbrella Ltd,closed lost,390.0,0  ,2023-11-19,E. Martinez,1883037.00,2716,Asia,Phone,4828.30,H2-2024-Upsell,266,EUR,
Service Plan Enterprise,Umbrella Ltd,Lead,253.0,19201.68,2023-10-02,grace lee,866481.99,550,Europe,E-Commerce,3424.83,H1-23-Retention,148,AUD,CEO referral
Software License,Umbrella Ltd,negotiation,55.0,48696.48,2024-04-12,Alice Johnson,198992.75,4286,N. America,Telesales,3618.05,Q4-2024-Holiday Sale,130,GBP,
Hardware Unit,Massive Dynamic,Lead,103,13148.86,2024-11-21,F. Wilson,213208.97,4175,Australia,Channel Partner,2069.99,Q3-23-Brand Awareness,474,EUR,
Widget B,Umbrella Ltd,LOST,183.00,36788.91,2024-10-22,carol davis,177987.93,878,EU,Social,null,,133,EUR,
Consulting Hours,Umbrella Ltd,Closed Won,130,19685.59,TBD,frank wilson,199386.20,2954,,Social,1533.74,Q2-24-Spring Push,321,GBP,NET30 terms
Data Pipeline,Umbrella Ltd,Lost,null,43271.40,2024-09-30,Eva Martinez,139085.61,4452,ANZ,field,missing,H1-2023-Brand Awareness,494,JPY,escalated
Widget A,Umbrella Ltd,CL,362.00,45559.78,2023-12-31,Bob Williams,700716.16,3772,EU,retail  ,1935.68,Q3-2024-Webinar Series,374,,
Support Tier 2,GreenLeaf Energy,Proposal,28.0,39481.22,2025-01-22,J. Doe,92832.88,710,ANZ,phone,3315.46,FY-2024-New Year Promo,44,USD,
Service Plan Basic,Oscorp Technologies,lead,403,33202.44,2023-11-27,carol davis  ,788034.26,412,Asia,Email Campaign,1955.42,Q3-2023-Social Push,72,GBP,
Cloud Storage 1TB,Umbrella Ltd,closed lost,383.00,30931.65,2024-05-08,henry taylor,566223.37,264,N. America,email campaign,1478.39,H1-2023-Holiday Sale,274,GBP,
Gadget X,Umbrella Ltd,closed won,497,39929.12,2024-05-20,John Smith,1880742.43,488,North America,Brick & Mortar,3784.19,Q4-24-Webinar Series,307  ,JPY,
Service Plan Pro,Umbrella Ltd,Qualified,461.00,10996.32,2024-10-09,alice johnson,1278293.07,4291,ANZ,partner,2772.87,H2-24-New Year Promo,324,EUR,
Marketing Suite,Cyberdyne Systems,Qualified,146  ,8180.55,2023-05-04,Henry Taylor,190023.38,4553,Latin America,Direct,1301.53,H2-24-Spring Push,480,GBP,
CRM Module,Umbrella Ltd,in progress,444.0,22049.11,2025-01-31,bob williams,1845237.36,4903,Latin America,DIRECT,4155.94,Q2-23-Trade Show,176,AUD,
