Exported from Buy N Large CRM on 2026-03-08										
Price Per Unit	Closed Deals	Transaction Date	Total Amount	Marketing Leads	Account Executive	Units Sold	Company Name	Geographic Region	Product / Service	Campaign ID
2,138.60 USD	490	2024-11-17	316,512.80 USD	4897	Carol Davis	148	Buy N Large	EMEA	Premium Onboarding	Q3-24-Spring Push
2,872.58 USD	211	2023-07-25	51,706.44 USD	317	A. Johnson	18	Buy N Large	US	ERP Add-on	H1-23-Retention
1,608.79 USD	245	2023-08-18	748,087.35 USD	4709	mia clark	465.0	Globex Industries	Middle East	Support Tier 2	
50.14 USD	138	2023-04-17	8,473.66 USD		Grace Lee	169	Pied Piper	Asia	-	FY-2024-Fall Campaign
1,486.69 USD	351	2023-02-22	572,375.65 USD	3691	J. Smith	385	Buy N Large	Asia	Gadget Mini	Q3-23-Retention
2,434.14 USD	92	2023-02-28	985,826.70 USD	1317	eva martinez	405.0	Buy N Large	US	Service Plan Enterprise	Q1-2024-New Year Promo
3,614.35 USD	54	2023-06-03	238,286.63 USD	3805	grace lee	null	Buy N Large	Middle East	Consulting Hours	Q4-2024-New Year Promo
4,317.41 USD	337	2024-09-27	1,787,407.74 USD	3645	K. White	414	Buy N Large	EU	Data Pipeline	Q4-23-Black Friday
4,445.85 USD	329	2023-08-18	2,089,549.50 USD	3133	JANE DOE	470	Buy N Large	LATAM	Training Package	H1-23-Summer Blitz
2,372.79 USD	460	2023-11-03	201,687.15 USD	3491	mia clark	85	Buy N Large	APAC	Service Plan Enterprise	FY-2023-Summer Blitz
52.47 USD	352	2023-05-19	5,876.64 USD	4956	J. Doe	112.0	Buy N Large	ASIAPAC	Cloud Storage 1TB	H1-2023-Webinar Series
2,771.18 USD	45	2023-03-14	1,141,726.16 USD	741		412.00	Buy N Large	United Kingdom	Security Bundle	Q4-2024-Brand Awareness
2,819.32 USD	420	2023-11-05	270,654.72 USD	904	Unassigned	96.0	Buy N Large	United States	ERP Add-on	H2-2023-New Year Promo
4,580.60 USD	393	2024-10-24	1,722,305.60 USD	3281	G. Lee	376	DataWave Inc	EMEA	CRM Module	Q2-2023-Email Blast
3,815.89 USD	269	2023-05-22	282,375.86 USD	1117	john smith	74	Buy N Large	APAC	Analytics Dashboard	FY-24-Fall Campaign
4,565.09 USD	376	2023-04-28	9,130.18 USD	2212	D. Brown	2	Buy N Large	SA	Widget Pro	
400.78 USD	-	2023-06-12	38,474.88 USD		henry taylor	96	Buy N Large	Australia	Support Tier 2	Q3-24-Email Blast
3,433.31 USD	299		875,494.05 USD	4950	John Smith	255.00	Buy N Large	South America	Data Pipeline	
