										
rgn	rev	prod	co	price	stat	dt	lds	qty	cmpgn	ch
North America	#N/A	Security Bundle	Dharma Initiative	-	negotiation	11-21-2025	3059	313.00	FY-23-Email Blast	Partner
Middle East	$868433	Training Package	Dharma Initiative	$4694	In Progress	01-19-2025	1630	185	Q3-24-Retention	Social Media
United States	$216685	Service Plan Enterprise	Dharma Initiative		Lead	12-10-2023	2398	45	FY-24-Product Launch	Direct
Unknown	$1411678	Cloud Storage 5TB	Dharma Initiative	$3932	WON	06-13-2024	3167	359.0	Q3-2024-Holiday Sale	Channel Partner
United States	$1406491	Training Package	Dharma Initiative	$4236	Lost	06-22-2025	501	332	Q4-2023-New Year Promo	ONLINE
NA	$22794	Hardware Unit	Weyland Corp	$806	Won	10-19-2025	1821	N/A	Q2-24-Summer Blitz	Store
EMEA	$393449	-	PixelForge Studios	$2771	PENDING	03-15-2024	924	142	FY-2024-Black Friday	ONLINE
EU	$849115	Premium Onboarding	Dharma Initiative	$2520	In Progress	09-21-2025	4934	337	Q1-24-Holiday Sale	Affiliate
Europe	$198351	Hardware Unit	Dharma Initiative	$2334	Lead	05-29-2025	2223	85	Q4-24-Spring Push	Online
LATAM	$180290	Software License	Dharma Initiative	$1345	lead	10-13-2025	1323	134	Q3-2024-Webinar Series	Email
North America	$108762	Service Plan Enterprise	Dharma Initiative	$2108	Qualified		4524	0	Q4-23-Fall Campaign	Retail
Europe	$198351	Hardware Unit	Dharma Initiative	$2334	Lead	05-29-2025	2223	85	Q4-24-Spring Push	Online
N. America	$96362	Analytics Dashboard	Prestige Worldwide	missing	Open	12-13-2023	N/A	334	H2-24-New Year Promo	phone
Latin America	$69328	Widget A		$3301	Closed Lost	06-12-2025	2650	21	Q1-2023-Social Push	field
-	$959364	Other	Dharma Initiative	$4031	CW	06-04-2025	2216	238	Q1-24-Fall Campaign	Partner
Britain		Widget B	Dharma Initiative	$4043	Qualified	03-20-2025		#REF!	Q3-2023-New Year Promo	Email Campaign
ASIAPAC	$239397	Service Plan Basic	Dharma Initiative	$1273	negotiation	02-16-2024	207	188.0	Q4-24-Cross-sell	email campaign
Latin America	$69328	Widget A		$3301	Closed Lost	06-12-2025	2650	21	Q1-2023-Social Push	field
ASIAPAC	$206816	Support Tier 1	DataWave Inc	$617	CLOSED LOST	10-27-2025	2929	335	H1-24-Brand Awareness	email
APAC	$744538	Software License	Dharma Initiative	$3155	Proposal	04-19-2024	1833	236	Q4-2024-Social Push	Social
Middle East	$439139	API Access	Rekall Inc	$1509	Closed-Lost	07-30-2025	3706	291.00		Direct Sales
NA	$1372068	Widget Pro	Dharma Initiative	$3125	CLOSED LOST	11-09-2025	4795	439.00	H1-23-Cross-sell	social media
