REGION,CHANNEL,PRODUCT,STATUS,CAMPAIGN,REVENUE,QTY,LEADS,UNIT_PRICE,DATE,CUR
Australia,retail,ERP Add-on,Closed-Lost,FY-2023-Product Launch,#N/A,N/A,4993,3085.08,2023/02/08,AUD
MEA,DIRECT,Premium Onboarding,qualified,FY-2023-Trade Show,84777.25,25,2571,3391.09,2023/06/22,CAD
US,,Training Package,in progress,H1-2023-Email Blast,561435.75,475.00,761,1181.97,2023/11/01,JPY
ASIAPAC,Social,Hardware Unit,proposal,Q3-2023-Summer Blitz,341549.04,204.0,4394,1674.26,2024/01/11,AUD
APAC,Channel Partner,Cloud Storage 1TB,Pending,Q2-23-Product Launch,889123.95,451.0,1049,1971.45,2024/05/06,CAD
ANZ,Call Center,Data Pipeline,qualified,FY-2024-Email Blast,508354.74,186.0,3486,2733.09,2023/10/18,EUR
North America,Retail,Service Plan Pro,Closed-Lost,Q1-23-Black Friday,145357.06,248.0,591,-,2023/12/09,AUD
EU,Social Media,Service Plan Basic,in progress,Q2-2023-Fall Campaign,280311.30,93.00,215,3014.10,2023/10/18,USD
EU,in-store,Widget B,Negotiation,H2-24-Retention,149461.60,152,2951,983.30,2024/12/03,GBP
EU,Call Center,Marketing Suite,Open,FY-2024-Webinar Series,112426.88,97,2397,1159.04,2024/02/04,EUR
NA,ecommerce,Widget A,closed lost,Q2-2024-Spring Push,248725.30,85.00,4783,2926.18,2024/08/13,
??,Direct Sales,Training Package,Negotiation,Q3-24-Retention,33525.09,333.00,N/A,NA,2024/10/28,CAD
USA,Partner,Hardware Unit,In Progress,,67211.79,N/A,377,2190.08,2024/07/14,CAD
United States,Store,Support Tier 1,Qualified,Q4-2023-Black Friday,209583.99,459.0,4737,456.61,2023/03/30,EUR
ASIAPAC,field,Gadget X,closed won,H2-23-Holiday Sale,353168.89,73.00,3374,4837.93,2023/05/22,
SA,Field Sales,Gadget X,Lead,Q4-24-Fall Campaign,586367.06,391,N/A,1499.66,2024/09/24,CAD
N. America,,N/A,LOST,H2-2024-Holiday Sale,103323.30,30,792,3444.11,2024/08/18,CAD
ASIAPAC,Social Media,Widget B,Lead,Q4-24-Retention,112505.12,112.00,3719,1004.51,2024/11/21,CAD
APAC,RETAIL,Widget B,Proposal,FY-24-New Year Promo,1048163.13,483,144,2170.11,2023/08/04,
APAC,direct,Hardware Unit,WON,Q3-2023-Product Launch,21026.25,105,2152,200.25,2024/01/07,
USA,in-store,CRM Module,qualified,Q4-23-Spring Push,118792.31,217.00,3665,547.43,2024/12/19,JPY
N/A,DIRECT,Other,Closed Won,Q1-23-Retention,NULL,null,1681,2469.61,2024/03/15,
Middle East,social,API Access,closed won,,304912.58,373.00,N/A,817.46,2025/01/09,GBP
APAC,,Gadget Mini,Open,Q3-23-Social Push,145640.00,19.0,1867,N/A,2024/09/08,USD
APAC,Web,Premium Onboarding,Closed-Won,H1-24-New Year Promo,36440.50,155,3838,235.10,2023/07/12,CAD
Australia,Field Sales,Software License,CLOSED LOST,H1-24-Spring Push,206745.00,50.0,3339,4134.90,2023/11/14,USD
Asia Pacific,Web,Cloud Storage 1TB,lead,H1-24-Cross-sell,523852.38,411,4271,1274.58,2024/09/22,EUR
EU,ONLINE,Software License,Negotiation,Q1-2023-Webinar Series,222306.63,91.0,1181,2442.93,2024/07/18,USD
Britain,e-comm,Marketing Suite,PENDING,Q1-2024-Social Push,32977.98,18,4071,1832.11,2024/09/21,EUR
Asia,Channel Partner,Hardware Unit,CW,Q4-2023-Retention,1018766.60,230,3308,4429.42,2024/12/12,GBP
Latin America,Field Sales,Service Plan Basic,Closed Won,Q1-24-Trade Show,1351699.48,316.0,3960,4277.53,2024/01/27,
EU,email campaign,Service Plan Pro,Closed Lost,Q4-2023-Holiday Sale,86813.85,95,2781,913.83,2023/09/20,CAD
Latin America,phone,CRM Module,open,H1-24-Trade Show,76550.90,440.00,3240,,2024/11/14,CAD
MEA,reseller,Support Tier 2,Lead,Q3-23-Cross-sell,316033.70,265,1216,1192.58,2023/03/07,EUR
??,e-comm,Hardware Unit,LOST,Q2-2023-Fall Campaign,448670.68,127.0,1661,3532.84,2025/01/15,AUD
??,email,Gadget Mini,CLOSED WON,,2063896.90,470,4515,4391.27,2023/04/15,GBP
Asia Pacific,Web,Cloud Storage 1TB,lead,H1-24-Cross-sell,523852.38,411,4271,1274.58,2024/09/22,EUR
ANZ,Brick & Mortar,Widget Pro,In Progress,Q3-24-Summer Blitz,2071629.00,452,4390,4583.25,2023/07/01,
N. America,Direct,Software Subscription,Closed-Lost,FY-23-Holiday Sale,52337.25,35.0,692,1495.35,2024/09/03,GBP
North America,Brick & Mortar,Hardware Unit,proposal,FY-2024-Social Push,-,-,230,2198.67,2023/04/30,
NA,phone,Support Tier 2,PENDING,Q2-2023-Social Push,107685.76,104,3867,1035.44,2024/07/03,
Australia,Store,Service Plan Basic,Won,Q2-2023-Brand Awareness,973772.28,244,475,3990.87,2023/08/19,GBP
