salesChannel;dealStatus;adSpend;companyName;quantity;saleDate;leadCount;totalRevenue;campaignName;salesRep;productName;unitPrice
RETAIL;closed lost;0;BlueOcean Retail;61;May 08, 2024;793;USD 182,549.21;H1-24-Trade Show;L. Harris;Gadget X;USD 2,992.61
Web;Closed-Won;USD 49,525.99;BlueOcean Retail;137;September 20, 2023;284;USD 660,563.31;;leo harris;Software Subscription;USD 4,821.63
Retail;CLOSED LOST;USD 17,867.25;Prestige Worldwide;356;May 17, 2023;514;USD 78,939.44;;leo harris;Cloud Storage 1TB;USD 221.74
reseller;negotiation;0;BlueOcean Retail;361;July 04, 2023;1025;null;Q3-23-New Year Promo;Henry Taylor;Widget B;missing
Referral;lead;USD 41,656.31;BlueOcean Retail;160.0;April 28, 2023;794;USD 43,100.80;Q3-2024-New Year Promo;A. Johnson;Gadget X;USD 269.38
retail;CW;USD 15,679.04;BlueOcean Retail;269.00;July 30, 2024;2736;USD 118,109.83;Q4-23-Fall Campaign;;;USD 439.07
call center;Pending;USD 10,400.85;BlueOcean Retail;85.00;January 11, 2025;3976;USD 1,533.40;H2-23-Brand Awareness;JOHN SMITH;Widget Pro;USD 18.04
E-Commerce;Open;USD 21,237.78;BlueOcean Retail;23;March 23, 2024;2984;USD 30,059.85;Q3-2023-Upsell;eva martinez;Premium Onboarding;USD 1,306.95
online;qualified;USD 19,894.33;Nakatomi Trading;175;September 22, 2023;2004;USD 145,237.75;H2-23-Summer Blitz;F. Wilson;Service Plan Basic;USD 829.93
partner;CLOSED LOST;USD 3,751.64;BlueOcean Retail;421;December 14, 2024;N/A;USD 146,680.61;Q4-24-Email Blast;carol davis;Gadget Mini;USD 348.41
Social Media;Pending;USD 48,040.57;BlueOcean Retail;N/A;February 13, 2024;4677;NA;Q1-24-Spring Push;L. Harris;Gadget Mini;USD 4,004.37
email campaign;Closed Won;USD 11,527.03;BlueOcean Retail;54.0;February 20, 2024;2748;USD 105,279.48;FY-24-Fall Campaign;mia clark;Service Plan Basic;USD 1,949.62
DIRECT;lead;USD 30,388.04;BlueOcean Retail;165;November 25, 2024;2073;USD 419,123.10;Q4-2023-Cross-sell;C. Davis;Service Plan Enterprise;USD 2,540.14
Social;qualified;null;Tyrell Corporation;443.0;December 23, 2023;3984;USD 8,580.91;H2-23-Social Push;Frank Wilson;Cloud Storage 5TB;USD 19.37
Channel Partner;In Progress;N/A;;500;March 24, 2024;4672;USD 619,605.00;Q3-24-Spring Push;david brown;Premium Onboarding;USD 1,239.21
Brick & Mortar;Pending;;BlueOcean Retail;344.00;October 16, 2024;2011;USD 955,714.56;H1-23-Brand Awareness;;Support Tier 2;USD 2,778.24
DIRECT;Qualified;USD 24,269.44;Oscorp Technologies;194;TBD;919;USD 475,387.30;H2-2024-Social Push;M. Clark;Consulting Hours;USD 2,450.45
call center;Pending;USD 10,400.85;BlueOcean Retail;85.00;January 11, 2025;3976;USD 1,533.40;H2-23-Brand Awareness;JOHN SMITH;Widget Pro;USD 18.04
Referral;Proposal;null;BlueOcean Retail;192.0;September 20, 2024;484;USD 396,359.04;Q1-23-Trade Show;jake thomas;Cloud Storage 1TB;USD 2,064.37
referral;Lead;USD 37,435.81;BlueOcean Retail;22;October 19, 2023;;USD 88,145.42;FY-2023-Black Friday;Mia Clark;Cloud Storage 5TB;USD 4,006.61
Affiliate;proposal;USD 48,766.54;Prestige Worldwide;181.0;April 15, 2023;3139;USD 316,201.57;FY-23-Product Launch;Henry Taylor;Widget B;USD 1,746.97
