UNIT_PRICE,AD_SPEND,DATE,CAMPAIGN,REGION,PRODUCT,STATUS,QTY,COMPANY,CHANNEL,SALES_REP,REVENUE,CONVERSIONS,CUR
$488.46,"$28,710.44",07-Sep-2023,H2-24-Upsell,EU,Data Pipeline,Pending,388,Cyberdyne Systems,in-store,john smith,"$189,522.48",44,USD
"$4,751.95","$5,998.99",24-Mar-2024,,EMEA,Premium Onboarding,lead,210.00,Weyland Corp,Email,Henry Taylor,"$997,909.50",101,JPY
$830.62,"$14,109.44",18-Aug-2023,,NA,Security Bundle,negotiation,256,Soylent Corp,Website,B. Williams,"$212,638.72",293,JPY
"$3,138.49",null,09-Oct-2023,Q2-24-Fall Campaign,ASIAPAC,Widget A,proposal,342,Cyberdyne Systems,email,frank wilson,"$1,073,363.58",115,GBP
"$1,501.75","$38,969.31",02-Sep-2023,H2-2023-New Year Promo,United States,Premium Onboarding,CLOSED LOST,167.00,Cyberdyne Systems,Website,L. Harris,"$250,792.25",384,CAD
"$1,396.66","$40,253.62",12-May-2025,FY-2023-Email Blast,US,Analytics Dashboard,CL,352,Cyberdyne Systems,email,I. Anderson,"$491,624.32",323,EUR
NULL,N/A,13-Feb-2024,Q3-2023-Holiday Sale,EU,-,lead,278.00,GreenLeaf Energy,social,E. Martinez,"$242,139.53",1,EUR
"$4,198.46","$25,432.04",18-Apr-2025,Q1-2023-Retention,Latin America,Analytics Dashboard,Won,285.0,Cyberdyne Systems,Direct,Iris Anderson,"$1,196,561.10",137,GBP
"$3,058.89","$1,760.78",28-May-2024,H1-24-Black Friday,United Kingdom,Software Subscription,WON,87.0,Cyberdyne Systems,Phone,grace lee,"$266,123.43",430,
"$4,043.59",N/A,14-Sep-2023,H2-23-Product Launch,USA,Gadget X,CW,104,Cyberdyne Systems,direct,carol davis,"$420,533.36",N/A,USD
"$4,113.06","$13,378.00",22-Oct-2024,H2-24-Product Launch,APAC,Cloud Storage 1TB,CLOSED WON,362,Cyberdyne Systems,PARTNER,eva martinez,"$1,488,927.72",252,GBP
"$3,336.63","$10,078.11",24-May-2024,Q1-24-Fall Campaign,US,Hardware Unit,in progress,296,QuickShip Logistics,DIRECT,jake thomas,"$987,642.48",,EUR
"$2,158.72",N/A,26-Oct-2023,Q2-2023-Black Friday,MEA,Gadget X,CLOSED WON,162,Cyberdyne Systems,in-store,Grace Lee,"$349,712.64",352,AUD
"$2,726.38","$15,456.37",,Q3-2024-Email Blast,SA,API Access,CW,204.0,Cyberdyne Systems,retail,A. Johnson,"$556,181.52",272,AUD
