total_revenue,sales_region,qty,num_conversions,sales_channel,sale_date,ad_spend_usd,company_name,deal_status,campaign_name,num_leads,unit_price,product_name,rep_name,Notes
"$322,725.76",Africa,448,412,Web,01.10.2023,"$4,718.76",Umbrella Ltd,open,Q1-2024-Holiday Sale,995,$720.37,Premium Onboarding,I. Anderson,
"$450,677.84",,172,228,field,13.08.2023,"$17,539.53",HealthPlus Pharma,PENDING,H2-24-Retention,183,"$2,620.22",CRM Module,L. Harris,renewal
"$44,559.63",Australia,267.0,216,retail,17.11.2023,"$15,817.35  ",Umbrella Ltd,In Progress,H1-23-Holiday Sale,-,$166.89,Service Plan Enterprise,leo harris,
"$450,677.84",,172,228,field,13.08.2023,"$17,539.53",HealthPlus Pharma,PENDING,H2-24-Retention,183,"$2,620.22",CRM Module,L. Harris,renewal
"$1,951,876.08",United Kingdom,399,457,Field Sales,29.03.2023,"$35,302.70",Cogswell Cogs,pending,Q3-24-Fall Campaign,-,"$4,891.92",N/A,,  
"$1,069,859.49",??,483,58,RETAIL,02.04.2024,"$46,996.36",Umbrella Ltd,Closed-Lost,Q3-24-Trade Show,2656,"$2,215.03",Data Pipeline,Unassigned,
"$123,490.00",NA,233.00,380,Channel Partner,null,0,Wayne Corp,pending,H2-24-Upsell,2508,$530.00,Gadget X,grace lee,
"$1,283,675.48",EU,452,437,Store,06.04.2024,"$23,112.37",Umbrella Ltd,CL,Q3-2023-Cross-sell,-,"$2,839.99",Support Tier 1,E. Martinez,new customer
"$1,213,535.16",Asia Pacific,348.0,50,Direct,N/A,"$39,771.20",NovaTech Solutions,CLOSED LOST,H1-2023-Product Launch,800,"$3,487.17",Widget Pro,L. Harris,VIP client
"$421,536.93",LATAM,89.00,372,retail,10.02.2024,"$30,123.63",Globex Industries,Negotiation,Q4-24-Spring Push,null,"$4,736.37",Software License,TBD,
"$769,794.88",USA,304,-,,23.07.2024,"$4,639.55",Umbrella Ltd,LOST,Q4-2024-Retention,2370,"$2,532.22",Consulting Hours,jake thomas,
"$177,145.54",Middle East,N/A,92,Social,31.05.2024,"$39,434.24  ",Umbrella Ltd,pending,FY-2023-Fall Campaign,2675,$30.86,Analytics Dashboard,David Brown,
"$81,495.51",ASIAPAC,97.00,N/A,direct,28.07.2024,"$42,296.13",Umbrella Ltd,Won,H1-2024-Webinar Series,4484,#N/A,Widget A,I. Anderson,
"$25,523.78  ",Australia,107.0,82,social,19.06.2023,"$43,326.50",GreenLeaf Energy,LOST,Q4-2023-Spring Push,1293,$238.54,Analytics Dashboard,Karen White,renewal
"$806,366.40",Middle East,240.00,27,phone,17.06.2023,"$24,333.67",NovaTech Solutions,Lead,Q4-2023-Upsell,1374,"$3,359.86",Software Subscription,N/A,
"$38,006.40",US,480,440,phone,15.10.2024,"$15,659.89",Vandelay Ind,CL,H2-23-Retention,2928,$79.18,Cloud Storage 5TB,frank wilson,pending approval
"$7,795.84",NA,2.00,391,Website,02.07.2024,"$1,438.76",Umbrella Ltd,WON,Q4-2023-Webinar Series,1112,"$3,897.92",Software License,bob williams,
"$942,367.60",North America,356.0,25,e-comm,25.02.2024,0,Umbrella Ltd,Lost,H2-23-Holiday Sale,61,"$2,647.10",ERP Add-on,,
"$837,739.20",Europe,222,256,Field Sales,,"$25,231.59",Umbrella Ltd,Closed Lost,H2-2023-Social Push,2814,"$3,773.60",Gadget Mini,Carol Davis,partial payment
"$437,056.63",Australia,367.00,203,e-comm,30.04.2024,"$27,470.91",Umbrella Ltd,Closed Lost,Q3-2024-Retention,604,"$1,190.89",Widget Pro  ,jake thomas,
"$804,837.00",N. America,348.00,38,,06.01.2024,"$41,675.24",Umbrella Ltd,pending,,3392,"$2,312.75",Software Subscription,henry taylor,
"$1,475,096.56",??,434.00,301,Reseller,31.10.2023,"$43,513.95",Massive Dynamic,open,H2-2023-Retention,1102,"$3,398.84",Support Tier 1,Unassigned,
"$59,064.95",NA,-,341,retail,21.01.2024,"$28,481.94  ",AgriGrow Corp,lead,H2-23-Trade Show,1440,"$1,931.81",Software Subscription,leo harris,
"$596,372.00",MEA,413,N/A,email campaign,25.06.2023,"$26,738.08",Krusty Burger LLC,Lost,Q4-24-Social Push,4677,"$1,444.00",Gadget Mini,Iris Anderson,
"$14,119.88",Africa,N/A,400,RETAIL,18.07.2023,"$32,870.84",Umbrella Ltd,Lead,Q3-24-Spring Push,2964,"$3,911.30",Cloud Storage 5TB,Iris Anderson  ,
"$2,013,761.42",-,478,443,Website,18.12.2023,"$5,981.80",BrightPath Media,In Progress,Q1-2023-Brand Awareness,4117,"$4,212.89  ",Consulting Hours,Carol Davis,
"$68,215.68",-,32,215,E-Commerce,06.02.2024,N/A,Sterling Cooper,pending,Q3-24-Spring Push,1640,"$2,131.74",CRM Module,Iris Anderson,escalated
"$1,855,723.52",US,448,329,PARTNER,20.01.2023,"$40,778.57",Umbrella Ltd,LOST,FY-2024-Holiday Sale,815,"$4,142.24",Gadget Mini,David Brown,
"$196,004.60",UK,106,262,RETAIL,05.09.2023,$836.74,SummitView Hotels,Lead,Q4-24-Summer Blitz,2116,"$1,849.10",Service Plan Enterprise,david brown,
"$3,996.56",Latin America,4,423,email campaign,12.06.2024,"$18,193.93",TrueNorth Financial,closed won,,4336,$999.14,Support Tier 1,frank wilson,
"$121,596.53",Middle East,121,-,email campaign,27.06.2024,"$22,927.15",Weyland Corp,proposal,Q4-2024-Trade Show,,"$1,004.93",CRM Module,E. Martinez,
"$276,911.04",??,84,292,DIRECT,27.11.2023,"$6,890.87",Dunder Mifflin,CLOSED WON,Q2-24-Black Friday,1584,"$3,296.56",Widget B,G. Lee,
"$1,683,108.62",South America,409.00,491,Direct,17.05.2024,"$47,184.75",Umbrella Ltd,CW,H2-24-New Year Promo,1205,"$4,115.18",API Access,Karen White,escalated
"$1,269,505.56",N. America,436.0,98,Referral,06.06.2023,"$10,764.96",Umbrella Ltd,closed lost,H1-2023-Email Blast,1028,"$2,911.71",Software License,frank wilson,
"$540,283.40",Europe,478.00,152,Telesales,20.11.2023,"$45,516.24",Umbrella Ltd,CW,Q4-2024-Spring Push,2775,"$1,130.30",API Access,Mia Clark,
"$313,539.52",LATAM,152,462,in-store,29.11.2024,-,Umbrella Ltd,pending,FY-2024-Spring Push,3956,"$2,062.76",Gadget X  ,Henry Taylor,
"$167,467.83",SA,489,131,,05.05.2024,,Umbrella Ltd,Closed-Won,Q1-23-Webinar Series,335,$342.47,Hardware Unit,Grace Lee,
"$112,942.00",SA,298,404,email campaign,23.07.2023,"$10,282.37",Umbrella Ltd,CL,H1-24-Summer Blitz,519,$379.00,Premium Onboarding,TBD,
"$973,473.98",-,457.0,59,Partner,N/A,"$15,584.03",Umbrella Ltd,Open,FY-23-Email Blast,4465,"$2,130.14",Service Plan Basic,Frank Wilson,
"$19,435.23",-,69.0,53,web,30.10.2023,"$26,532.52",Tyrell Corporation,CL,Q4-24-Holiday Sale,N/A,$281.67,Service Plan Basic,John Smith,returned
"$96,911.58",USA,87.0,128,call center,30.03.2023,"$32,329.69",Umbrella Ltd,lead,Q4-24-Summer Blitz,3556,null,Service Plan Enterprise,john smith,
