Company,Product,Campaign,Ad Spend,Sales Rep,Date,Quantity,Status,Channel,Unit Price,Revenue,Region
Omni Consumer Products,API Access,H2-2023-Product Launch,null,,2023-09-22,90.0,Pending,Direct Sales,442.52,39826.80,LATAM
Omni Consumer Products,Cloud Storage 5TB,Q1-23-Brand Awareness,16857.95,F. Wilson,2025-01-25,333.0,WON,direct,2884.23,960448.59,ANZ
DataWave Inc,Cloud Storage 1TB,FY-2024-Fall Campaign,,K. White,2024-07-24,59,Won,retail,3911.99,230807.41,United States
Omni Consumer Products,Data Pipeline,Q3-23-Upsell,,Jake Thomas,2025-06-04,133,CL,email,1869.33,248620.89,Australia
Vandelay Ind,Cloud Storage 5TB,Q4-2023-Product Launch,4662.89,henry taylor,2025-05-08,108,proposal,retail,1288.03,139107.24,US
Omni Consumer Products,Cloud Storage 1TB,,15855.10,Jane Doe,2025-03-25,25,qualified,in-store,4520.80,113020.00,SA
DataWave Inc,Widget A,H2-2023-New Year Promo,13917.36,Jake Thomas,2023-09-03,304.00,Closed Won,retail,354.90,107889.60,LATAM
HealthPlus Pharma,API Access,H2-2024-Black Friday,24702.47,J. Thomas,2024-06-26,371,Pending,Social,3730.22,1383911.62,North America
Omni Consumer Products,Marketing Suite,H2-23-Social Push,21678.59,D. Brown,2024-12-22,389,PENDING,Field Sales,2437.73,948276.97,APAC
Omni Consumer Products,Marketing Suite,Q3-2023-New Year Promo,19133.93,frank wilson,2023-12-11,279.0,PENDING,Direct Sales,4492.58,1253429.82,USA
Omni Consumer Products,Widget B,Q2-23-Black Friday,14005.64,john smith,2024-10-13,277.0,Closed-Lost,Store,2238.19,619978.63,Asia
Omni Consumer Products,Service Plan Pro,Q4-24-Upsell,36215.02,Mia Clark,2025-04-26,0,CLOSED WON,email,4953.58,97203.65,Middle East
Stratton Oakmont,Cloud Storage 5TB,H2-24-Upsell,18796.54,N/A,2025-06-06,41,qualified,Website,2725.23,111734.43,Asia
Wonka Enterprises,Cloud Storage 1TB,H1-24-Email Blast,20274.36,grace lee,2025-05-05,0,CL,ONLINE,2388.26,100577.86,Australia
Omni Consumer Products,Hardware Unit,FY-2024-Cross-sell,-,jake thomas,,26,Negotiation,web,2246.44,58407.44,NA
Omni Consumer Products,Support Tier 1,Q1-2024-Retention,29645.19,J. Smith,2024-07-20,424,closed lost,e-comm,4835.27,2050154.48,Middle East
Dunder Mifflin,Marketing Suite,H2-2024-Webinar Series,29088.12,iris anderson,2024-05-29,25,Closed Lost,Field Sales,3648.52,91213.00,Europe
Dharma Initiative,Analytics Dashboard,Q2-24-Black Friday,38573.92,B. Williams,2025-02-23,224.0,CL,Referral,1318.79,295408.96,ASIAPAC
