stat;rev;dt;rep;cmpgn;ch;spend;co;prod;conv;rgn;lds;qty;price
Closed-Lost;$102,504.71;2025-01-28;B. Williams;H1-23-Brand Awareness;web;$40,667.63;Sterling Cooper;Gadget Mini;80;UK;4657;77.0;$1,331.23
Proposal  ;$742,588.72;2023-11-14;grace lee;Q4-2023-Brand Awareness;Phone;$26,482.82;Sterling Cooper;Other;351;Middle East;3024;164;$4,527.98
CL;null;2023-09-04;henry taylor;;social;$32,919.72;Sterling Cooper;Analytics Dashboard;427;Britain;1270;171.0;NA
Open;$97,973.60;2023-08-07;Karen White;FY-2023-Webinar Series;email;$46,866.02;Sterling Cooper;API Access;458;N. America;3248;290.0;$337.84
Won;$4,842.85;2023-12-26;JANE DOE;Q4-2024-Social Push;Telesales;$14,319.78;Sterling Cooper;Data Pipeline;168;Europe;1846;5.0;$968.57
qualified;$471,199.68;2024-08-15;mia clark;;Social;$33,152.69;PixelForge Studios;;252;ANZ;N/A;392;$1,202.04
Closed-Won;$463,994.67;2024-01-16;I. Anderson;Q4-24-New Year Promo;Direct;-;Sterling Cooper;Service Plan Basic;54;-;2285;93.0;$4,989.19
Closed Lost;$106,482.65;2025-03-28;M. Clark;H2-2024-Cross-sell;ONLINE;$23,440.40;Dunder Mifflin;Support Tier 1;149;North America;3346;-;$3,613.58
Closed Lost;$66,931.45;2024-10-19;iris anderson;Q1-23-New Year Promo;web;$21,535.49;Sterling Cooper  ;Service Plan Basic;343;N/A;;109;$614.05
Proposal;$296,506.00;2024-02-19;JANE DOE;Q4-23-Brand Awareness;Phone;$41,675.85;Sterling Cooper;CRM Module;465;NA;4491;175.0;$1,694.32
Negotiation;$137,425.00;2023-11-23;alice johnson  ;H1-2023-Brand Awareness;online;$14,581.20;Sterling Cooper;CRM Module;473;Asia;4079;230;$597.50
closed won;$483,396.60;TBD;Frank Wilson;FY-2024-Email Blast;;$33,841.91;QuickShip Logistics;Cloud Storage 5TB;471;ASIAPAC;4108;173;$2,794.20
Lead;$1,120,139.26;2024-01-06;JOHN SMITH;H2-23-Summer Blitz;e-comm;$27,622.96;Sterling Cooper;Service Plan Enterprise;86;Latin America;2971;326;$3,436.01
open;$725,184.81;2024-09-12;TBD;Q3-24-Spring Push;Referral;;Sterling Cooper;MISC;N/A;Asia;2422;147.00;$4,933.23
CLOSED LOST;$55,475.46;2024-10-20;Jane Doe;Q2-23-Retention;;$13,619.27;Sterling Cooper;CRM Module;496;NA;4776;82.00;$676.53
pending;$111,019.93  ;2024-06-06;Frank Wilson;FY-23-New Year Promo;online;$34,383.41;Sterling Cooper;Widget Pro;81;APAC;334;#REF!;$1,576.41
Won;$2,112,570.96;2024-07-16;Karen White;;Partner;$35,734.83;Stark Industries;Hardware Unit;N/A;USA;516;454.0;$4,653.24
closed won;$826,263.04;2023-10-29;F. Wilson;Q2-2023-Cross-sell;email campaign;$30,542.43;Umbrella Ltd;Cloud Storage 5TB;452;LATAM;-;256;$3,227.59
LOST;$1,975,996.00;2024-04-04  ;jane doe;FY-2023-Holiday Sale;Retail;$42,890.69;Sterling Cooper;N/A;214;APAC;855;400;$4,939.99
Proposal;$2,107,392.00;2024-05-07;david brown;FY-2024-New Year Promo;Channel Partner;$32,159.97;Sterling Cooper;Software Subscription;165;Middle East;3849;480;$4,390.40
In Progress;$1,056,144.27;2023-09-06;Iris Anderson;Q4-2023-Cross-sell;social media;0;Sterling Cooper;N/A;68;Asia;4873;393;$2,687.39
Proposal;$1,518,170.04;2025-03-02;N/A;Q1-2023-Product Launch;partner;$30,119.42;Sterling Cooper;API Access;193;LATAM;3817;387.00;$3,922.92
closed lost;$1,492,690.08;2024-09-07;John Smith;Q1-2024-Product Launch;Social Media;$45,464.08;Massive Dynamic;Service Plan Pro;253;Latin America;1382;336;$4,442.53
Lead;$553,154.56;2023-07-15;iris anderson;H1-23-Email Blast;social;;;Training Package;-;Unknown;4708;128.0;$4,321.52
CLOSED LOST;$336,648.84;2023-07-14;Iris Anderson;FY-24-Holiday Sale;RETAIL;$40,198.10;Nakatomi Trading;Widget B;410;United Kingdom;658;114;$2,953.06
closed lost;$1,422,322.00;2024-06-27;Alice Johnson;;Referral;$27,144.74;Sterling Cooper;Service Plan Enterprise;381;United Kingdom;2519;425;$3,346.64
Lost;$848,811.60;2023-06-26;JANE DOE;Q4-2024-Brand Awareness;field;$31,416.77;Spacely Sprockets;-;354;United Kingdom;-;234.00;$3,627.40
WON;$681.03;2024-10-06;Leo Harris;FY-24-Retention;Affiliate;$33,722.14;Sterling Cooper;API Access;15;Australia;3733;47.0;$14.49
