conv|cmpgn|stat|co|spend|rep|dt|lds|qty|prod|rgn|rev|price|Notes
144|FY-23-Retention|Lead|NovaTech Solutions|-|jake thomas|07-Nov-2023|831|222|Software License|Britain|855501|3853|
426|Q1-2023-Spring Push|Closed-Lost|NovaTech Solutions|35285|eva martinez|08-Nov-2024|3247|206|Cloud Storage 1TB|Asia Pacific|732987|3558|
151|Q1-2023-Cross-sell|Qualified|Krusty Burger LLC|4143|frank wilson|29-Jan-2025|3744|498.0|Widget B|North America|1404604|2820|
207|H1-2024-Cross-sell|in progress|NovaTech Solutions|43404|K. White|04-Aug-2023|4475|115.00|Training Package|MEA|522727|4545|follow up needed
|H2-23-Webinar Series|negotiation|NovaTech Solutions||F. Wilson|21-Jan-2025|3734|446.0|Support Tier 1|EU|1788022|4009|
363|FY-2023-Retention|Lead|NovaTech Solutions|15827|I. Anderson|24-Sep-2024|4918|5|Service Plan Basic|Africa|13303|2660|
-|FY-23-New Year Promo|CW|Omni Consumer Products|30683|K. White|25-Jun-2023|2069|189|Support Tier 1|Asia|793197|4196|
399|FY-23-Black Friday|Closed-Lost|NovaTech Solutions|21857|david brown|04-Jun-2023|3156|349|Data Pipeline|Asia|1404864|4025|
443||proposal|NovaTech Solutions|3064|F. Wilson|22-Sep-2023|null|135|Premium Onboarding|North America|266064|1970|bulk order
279|Q2-24-Cross-sell|open|PixelForge Studios|4180|Bob Williams||2069|N/A|Premium Onboarding|North America|N/A|2563|CEO referral
181|H1-2023-Cross-sell|qualified|NovaTech Solutions|7366|J. Doe|10-Aug-2023|650|86.00|Consulting Hours|APAC|353069|4105|pending approval
69|H2-2024-Black Friday|qualified|NovaTech Solutions|3404|JOHN SMITH|21-Oct-2023|465|236|Security Bundle|Middle East|200153|848|
55||Open|NovaTech Solutions|22203|G. Lee|16-Jul-2023|2298|342|Premium Onboarding|Asia Pacific|1004908|2938|
194|Q2-24-New Year Promo|Lead|AgriGrow Corp|23639|H. Taylor|06-Dec-2024|3826|390.0|Data Pipeline|??|997530|2557|
272|Q4-23-Summer Blitz|PENDING|Vandelay Ind|36525|E. Martinez||1649|128|CRM Module|US|61143|477|
140|H1-2024-Summer Blitz|CL|Spacely Sprockets|0|TBD|27-Feb-2024|3776|94.0|ERP Add-on|South America|372144|3958|
459|Q4-23-Fall Campaign|pending|NovaTech Solutions|36732|Mia Clark|16-Aug-2023|-|333.0|Premium Onboarding|APAC|1034128|3105|CEO referral
265|Q4-23-Product Launch|open|NovaTech Solutions|2935|Jane Doe|28-Feb-2024|2691|87|Hardware Unit||373196|4289|
231|Q3-23-Black Friday|Open|MomCorp|36099|A. Johnson|01-Sep-2023|3328|null|Marketing Suite|Britain|119447|4250|
25|Q2-24-Trade Show|closed lost|NovaTech Solutions|48990|D. Brown|10-Jun-2024||2.0|Cloud Storage 1TB|EU|7969|3984|
394|Q1-2023-Social Push|closed lost|NovaTech Solutions|33799|alice johnson|01-Sep-2024|1981|178.0|Software Subscription|ASIAPAC|52182|293|
N/A||Lost|AgriGrow Corp|23875|Frank Wilson|28-Nov-2024|3771|344.00|Cloud Storage 1TB|N. America|missing|NA|follow up needed
36|H2-2023-Social Push|LOST|NovaTech Solutions|33307|JOHN SMITH|26-Aug-2023|-|234|Software Subscription|N. America|476992|2038|
153|Q3-2023-Holiday Sale|closed lost|NovaTech Solutions|26784|karen white|18-Oct-2024|3649|405|Analytics Dashboard|United States|787753|1945|
235||CW|Wonka Enterprises|7166|J. Thomas|10-Jan-2025|3218|29.0|Marketing Suite|Middle East|59408|2048|
498|Q1-24-Email Blast|Lead|NovaTech Solutions|2524|B. Williams|23-Aug-2024|3788|114.00|Consulting Hours|Asia Pacific|380527|3337|partial payment
397|Q3-2023-Social Push|Closed Won|Tyrell Corporation|0|D. Brown|16-Jan-2025|4387|496|API Access|EU|283885|572|
13|Q1-23-Webinar Series|Proposal|NovaTech Solutions|45124|M. Clark|08-Apr-2025|31|58|CRM Module|Asia Pacific|206119|3553|
364|Q2-2023-Summer Blitz|open||29732|E. Martinez|30-Jan-2024|3182|487.00|CRM Module|APAC|982707|2017|
119|Q4-2023-Upsell|Won|Planet Express|27575|G. Lee|01-Sep-2023|3353|199.0|Service Plan Enterprise||624784|3139|NET30 terms
66|H2-2023-New Year Promo|CL|Omni Consumer Products|10953|Bob Williams|23-Oct-2024|221|59|Widget B|LATAM|146978|2491|
379|FY-2023-Trade Show|Closed Won||10609|E. Martinez|01-Nov-2023|4930|183.00|Consulting Hours|USA|119339|652|
344|Q2-24-Holiday Sale|Won|||JANE DOE|05-May-2024|213|#REF!|Cloud Storage 1TB|US||3547|
188|FY-2023-Social Push|Negotiation|NovaTech Solutions|14449|iris anderson|26-Aug-2024|294|23|-|LATAM|12622|548|new customer
-|Q2-2023-Social Push|CLOSED WON|NovaTech Solutions|20841|Karen White|14-Nov-2024|4049|106.0|Widget B|Asia Pacific|219775|2073|
172|H2-24-Fall Campaign|proposal|QuickShip Logistics|null|H. Taylor|03-Feb-2025|-|117|CRM Module|ASIAPAC|408799|3494|bulk order
408|H2-23-Product Launch|Lead|NovaTech Solutions|29265|john smith|16-Apr-2025|2059|154|Widget B|South America|279890|1817|
360|Q3-2023-Product Launch|pending|NovaTech Solutions|34446|K. White|17-May-2024|1862|287.00|Hardware Unit|United Kingdom|1300127|4530|
456|FY-24-Trade Show|closed won|NovaTech Solutions|9775|eva martinez|07-May-2025|2447|30.0|Widget Pro|SA|118284|3942|
194|Q2-2023-Upsell|CW|NovaTech Solutions|18098|D. Brown||1860|331|Widget A|Australia|1411109|4263|
36|Q1-23-Summer Blitz|pending|NovaTech Solutions|29824|jake thomas|15-Jan-2024|1646|146.00|Analytics Dashboard|US|122003|835|discount applied
245|Q4-24-Retention|CLOSED WON|NovaTech Solutions|46856|J. Smith|17-Oct-2023|4646|261.0|Gadget X|ANZ|375944|1440|discount applied
116|Q3-24-Upsell|Pending|NovaTech Solutions|45670|grace lee|23-May-2023|3960|175|Data Pipeline|N. America|35351|202|
223|Q4-2023-Trade Show|WON|Stark Industries|30004|K. White|11-Sep-2023|4750|134.00|Widget Pro|MEA|308560|2302|discount applied
398|FY-2023-Cross-sell|Closed-Won|Virtucon|27879|G. Lee|11-Jul-2023|4287|152|Gadget Mini|Middle East|655341|4311|
168|H1-2024-Fall Campaign|CW|NovaTech Solutions|29678|JOHN SMITH|21-Jun-2023|3992|242|Widget A|Britain|548868|2268|
172|Q3-2024-Cross-sell|Closed-Lost|Wayne Corp|25909|A. Johnson|16-Jun-2023|3536|156.0|Support Tier 2|NA|298108|1910|
314|H1-2024-Brand Awareness|open|NovaTech Solutions|N/A|bob williams|05-Oct-2023|1510|428.00|CRM Module|SA|2001884|4677|
2|Q4-24-Social Push|Open|NovaTech Solutions|null|carol davis|28-Oct-2024|3800|45.00|Service Plan Basic|Asia|43543|967|
207|FY-24-Webinar Series|Won|NovaTech Solutions|null|Karen White|10-Mar-2025|47|477|Support Tier 2|United States|1593098|3339|
121|Q4-2023-Spring Push|CLOSED WON|NovaTech Solutions|7296|John Smith|18-Mar-2025|698|441.00|Marketing Suite|Latin America|1252166|2839|
|Q1-23-Cross-sell|negotiation|NovaTech Solutions|N/A|David Brown|19-Jun-2023|-|449.0|Data Pipeline|North America|950461|2116|
92|FY-2024-Fall Campaign|PENDING|NovaTech Solutions|5622|Jake Thomas|27-Dec-2024|2160|73|Consulting Hours|North America|114374|1566|
181|H2-24-Summer Blitz|closed won|NovaTech Solutions|0|A. Johnson|27-Oct-2024|3854|283.0|Data Pipeline|Latin America|1195717|4225|CEO referral
218|Q1-2023-New Year Promo|proposal|NovaTech Solutions|26826|leo harris|21-Jan-2024|3984|403|Widget A|LATAM|281507|698|
494|Q2-2023-Email Blast|pending|NovaTech Solutions|-|Iris Anderson|26-Jul-2023|3931|-|API Access|ANZ|28468|3282|
29||in progress|NovaTech Solutions|11846||07-Jun-2024|64|175.0|Cloud Storage 5TB|South America|378689|2163|
N/A|H1-2023-Social Push|In Progress|Rekall Inc|27730|carol davis|12-May-2023|2563|22.00|Data Pipeline|USA|69131|3142|
140|H1-2024-Summer Blitz|CL|Spacely Sprockets|0|TBD|27-Feb-2024|3776|94.0|ERP Add-on|South America|372144|3958|
494|Q1-23-New Year Promo|qualified|NovaTech Solutions|41554|Leo Harris|null|N/A|112|MISC|SA|549067|4902|
362|H1-2024-Email Blast|Closed-Lost|NovaTech Solutions|5804|John Smith|15-Sep-2024|3470|180.0|Software License|USA|616406|3424|
292|Q3-23-Cross-sell|Lost|NovaTech Solutions|36704|F. Wilson|07-Mar-2025|1933|#REF!|Widget A|US|NA|2515|
48|H2-23-Webinar Series|In Progress|NovaTech Solutions|40807|bob williams|29-Aug-2023|3399|331|API Access|APAC|225490|681|
202|Q2-23-Social Push|CLOSED LOST|NovaTech Solutions|44186|B. Williams|26-Sep-2023|1417|351|Gadget X|Middle East|1602318|4565|
183|Q3-23-Upsell|Closed Won|NovaTech Solutions|36526|grace lee|01-Nov-2023|4690|169|Marketing Suite|ANZ|715415|4233|
117|H1-24-New Year Promo|pending|NovaTech Solutions|48862|carol davis|14-Jul-2024|1926|6.00|Software License|EU|11276|1879|
363|H1-23-Upsell|Closed Lost|NovaTech Solutions|30807|mia clark|13-Dec-2024|303|391|Support Tier 2|APAC|1548242|3959|escalated
384|Q2-2023-Email Blast|Lead|NovaTech Solutions|391|Grace Lee|08-May-2024|2589|111|Widget A|Australia|323118|2910|
297|Q2-2024-Summer Blitz|closed lost|Stark Industries|23820|F. Wilson|30-Jun-2023|236|79.0|Support Tier 1|Europe|200361|2536|
238||closed lost|Weyland Corp|37084|carol davis|16-Mar-2024|null|338|Premium Onboarding|EMEA|664017|1964|
141|H1-23-Webinar Series|open|NovaTech Solutions|41762|jane doe||639|380.0|API Access|Middle East|953868|2510|
323|Q3-24-New Year Promo|PENDING|NovaTech Solutions|0|john smith|09-Mar-2024|N/A|480|Security Bundle|EU|2299435|4790|pending approval
497|H2-2023-Email Blast|Negotiation|NovaTech Solutions|7568|henry taylor|01-Mar-2024|98|227.0|Software License|NA|571029|2515|
-|Q2-24-Summer Blitz|Closed Won|NovaTech Solutions|14746|D. Brown|16-Apr-2024|4955|447|Widget Pro|ANZ|1625296|3636|
113|H2-23-Fall Campaign|CLOSED WON|NovaTech Solutions|46874|carol davis|19-Aug-2024|860|98|Service Plan Basic|APAC|222634|2271|
431|H1-2024-Cross-sell|In Progress|NovaTech Solutions|11740|TBD|10-Feb-2024|3036|114.00|Support Tier 1|ANZ||NA|
N/A||qualified|NovaTech Solutions|47601|Eva Martinez|26-Sep-2024|1553|210|Hardware Unit|Australia|151609|721|
|FY-23-Summer Blitz|proposal|NovaTech Solutions|46224|karen white|01-Mar-2025|4930|-|API Access|Australia|121556|1519|discount applied
