Account Executive;Geographic Region;Company Name;Deal Status;Total Amount;Product / Service;Marketing Leads;Units Sold;Campaign ID;Marketing Spend;Price Per Unit;Transaction Date;Closed Deals
;N/A;Vandelay Ind;Proposal;195,897.01 USD;Consulting Hours;;-;Q3-2024-New Year Promo;45,044.38 USD;746.76 USD;28-Oct-2024;N/A
TBD;MEA;Vandelay Ind;proposal;885,975.23 USD;Consulting Hours;260;493;H2-2024-Webinar Series;44,682.52 USD;1,797.11 USD;08-Mar-2024;299
J. Doe;United Kingdom;NovaTech Solutions;LOST;1,470,641.84 USD;Marketing Suite;3368;398;FY-2024-Holiday Sale;11,884.58 USD;3,695.08 USD;30-Jul-2024;305
G. Lee;MEA;NovaTech Solutions;Won;264,923.68 USD;Cloud Storage 5TB;1720;371;;31,533.63 USD;714.08 USD;01-Jan-2024;17
Alice Johnson;Latin America;Vandelay Ind;CLOSED WON;114,959.73 USD;Cloud Storage 5TB;1777;253;Q3-23-Trade Show;16,718.05 USD;-;26-Apr-2025;59
Iris Anderson;EU;Vandelay Ind;closed won;266,459.20 USD;Training Package;4884;370;Q3-23-Fall Campaign;43,416.61 USD;720.16 USD;07-Jul-2024;134
Jake Thomas;North America;Vandelay Ind;Pending;123,457.36 USD;Software Subscription;427;52;H1-2023-Trade Show;1,940.94 USD;2,374.18 USD;06-Jul-2025;382
J. Doe;UK;Krusty Burger LLC;Won;865,960.20 USD;Gadget X;N/A;420;FY-23-Black Friday;26,767.91 USD;2,061.81 USD;13-Aug-2024;326
J. Doe;Australia;Genco Pura;Negotiation;24,920.00 USD;Marketing Suite;null;32.00;Q2-2023-Cross-sell;9,604.92 USD;778.75 USD;27-Aug-2024;273
TBD;ANZ;Hooli Inc;closed won;224,089.80 USD;Consulting Hours;3767;220;H2-2023-Social Push;19,972.28 USD;1,018.59 USD;17-May-2025;308
Frank Wilson;United States;Vandelay Ind;qualified;533,794.80 USD;Security Bundle;N/A;212;FY-24-Social Push;19,123.27 USD;2,517.90 USD;24-Aug-2024;9
alice johnson;Middle East;Hooli Inc;Qualified;859,554.88 USD;Software Subscription;2929;356;Q4-24-Product Launch;23,221.00 USD;2,414.48 USD;15-Aug-2024;430
Carol Davis;EMEA;Vandelay Ind;Lead;613,754.54 USD;Marketing Suite;1027;322.0;;30,058.17 USD;1,906.07 USD;21-Oct-2024;6
Eva Martinez;US;Vandelay Ind;Closed Won;109,848.71 USD;Software License;1574;211.0;Q1-2024-Retention;26,335.51 USD;520.61 USD;13-Dec-2023;103
Bob Williams;Latin America;;PENDING;90,687.60 USD;Gadget Mini;2522;180;;39,087.42 USD;503.82 USD;15-Jan-2025;121
Leo Harris;NA;Vandelay Ind;lead;888,186.60 USD;Data Pipeline;4979;210.0;FY-2024-Holiday Sale;9,687.35 USD;4,229.46 USD;30-Jun-2025;255
K. White;USA;Vandelay Ind;Lost;null;Hardware Unit;411;0;H2-2023-Social Push;11,969.94 USD;548.29 USD;25-Dec-2023;163
B. Williams;US;Brawndo Corp;Open;183,484.08 USD;Support Tier 1;3929;39.00;Q2-23-Retention;N/A;4,704.72 USD;14-Nov-2024;266
Leo Harris;United States;Vandelay Ind;Lead;413,770.86 USD;Service Plan Basic;4878;443;Q4-2024-Trade Show;38,974.37 USD;934.02 USD;03-May-2025;490
D. Brown;Asia;Rekall Inc;closed lost;227,043.45 USD;Widget Pro;1427;267;Q2-2024-Brand Awareness;39,514.44 USD;850.35 USD;16-May-2025;94
alice johnson;EU;Cogswell Cogs;pending;17,201.60 USD;Service Plan Pro;3572;65;Q1-2024-Black Friday;48,347.85 USD;264.64 USD;null;457
jake thomas;MEA;Vandelay Ind;In Progress;669,720.48 USD;Analytics Dashboard;4233;208;H2-24-Black Friday;33,648.99 USD;3,219.81 USD;12-May-2025;170
John Smith;;HealthPlus Pharma;Qualified;212,941.30 USD;Software Subscription;4303;55.0;Q2-2024-Trade Show;25,198.44 USD;3,871.66 USD;24-Aug-2025;470
Jane Doe;SA;Cybertruck Co;open;208,287.20 USD;CRM Module;3762;44;;12,363.33 USD;4,733.80 USD;06-Nov-2023;336
Bob Williams;SA;Oceanic Airlines;Qualified;213,419.50 USD;Software Subscription;3850;49;FY-23-Holiday Sale;43,180.47 USD;4,355.50 USD;31-Mar-2025;463
N/A;ASIAPAC;Vandelay Ind;lead;202,599.00 USD;Other;100;300;Q2-23-Retention;16,957.56 USD;675.33 USD;13-Jun-2024;208
J. Thomas;EU;Cyberdyne Systems;Closed-Won;35,338.20 USD;Service Plan Basic;4717;30.0;H1-2023-Black Friday;8,472.49 USD;1,177.94 USD;01-Feb-2025;282
L. Harris;Britain;Vandelay Ind;Closed-Lost;1,573,234.02 USD;Gadget Mini;null;487;Q4-23-Trade Show;15,971.30 USD;3,230.46 USD;11-Feb-2024;296
H. Taylor;United States;Vandelay Ind;Open;833,230.72 USD;Widget Pro;4262;427.0;Q3-23-Retention;19,849.17 USD;1,951.36 USD;29-Nov-2023;294
H. Taylor;NA;NovaTech Solutions;LOST;63,369.26 USD;Service Plan Basic;3879;180.00;Q1-24-Webinar Series;6,400.57 USD;N/A;23-Jan-2024;204
John Smith;Middle East;Vandelay Ind;closed lost;643,608.09 USD;Gadget X;;129;Q1-24-Product Launch;null;4,989.21 USD;20-Feb-2024;N/A
alice johnson;Latin America;Oceanic Airlines;Won;282,993.24 USD;Gadget Mini;1940;382.00;H2-2023-Summer Blitz;45,883.90 USD;740.82 USD;10-Apr-2025;433
Alice Johnson;ANZ;Initech Solutions;LOST;59,752.14 USD;Service Plan Enterprise;536;42;Q1-2023-New Year Promo;22,648.91 USD;1,422.67 USD;05-May-2025;270
J. Smith;Asia;Vandelay Ind;CLOSED LOST;525,349.50 USD;Premium Onboarding;;325.00;H2-2023-Webinar Series;8,534.08 USD;1,616.46 USD;15-Sep-2025;334
C. Davis;South America;TrueNorth Financial;closed won;32,439.40 USD;Support Tier 2;167;235.00;Q1-2023-Trade Show;40,197.65 USD;138.04 USD;16-Jan-2024;389
Leo Harris;Britain;Genco Pura;PENDING;691,801.05 USD;Service Plan Pro;;159.00;H1-24-Spring Push;7,374.83 USD;4,350.95 USD;17-Nov-2024;465
bob williams;Europe;DataWave Inc;in progress;51,666.44 USD;API Access;;#REF!;FY-24-Summer Blitz;2,740.41 USD;987.93 USD;14-Jul-2025;274
david brown;North America;Oceanic Airlines;CL;869,882.60 USD;Widget A;2251;292;Q2-2024-Social Push;5,197.48 USD;2,979.05 USD;06-Nov-2023;1
iris anderson;Europe;Globex Industries;CL;140,111.32 USD;Consulting Hours;2244;313;Q1-23-Spring Push;34,398.98 USD;447.64 USD;09-Mar-2025;225
