Exported from Soylent Corp CRM on 2026-03-08;;;;;;;;;;;;
STATUS;LEADS;DATE;SALES_REP;UNIT_PRICE;AD_SPEND;REGION;CAMPAIGN;REVENUE;CHANNEL;PRODUCT;QTY;COMPANY
Won;1677;2024/10/31;A. Johnson;1076.27;15322.79;SA;H1-23-Retention;378847.04;Web;Security Bundle;352.0;Soylent Corp
Proposal;4988;2025/08/03;;4779.72;49025.18;Europe;FY-2024-Trade Show;1362220.20;RETAIL;Service Plan Basic;285;TrueNorth Financial
CLOSED WON;3888;2025/03/16;C. Davis;1197.67;45705.69;NA;FY-23-Black Friday;397626.44;Telesales;Analytics Dashboard;332.00;
Closed-Won;3215;2024/01/19;E. Martinez;2883.46;969.20;Middle East;H2-24-Fall Campaign;1268722.40;PARTNER;Widget A;440.00;Soylent Corp
Won;1551;2024/01/14;Leo Harris;1811.03;49901.49;South America;Q4-24-Social Push;420158.96;Referral;Security Bundle;232;Soylent Corp
Won;4389;2024/07/11;C. Davis;1952.02;15416.36;Africa;FY-2024-Upsell;911593.34;email campaign;Marketing Suite;467.0;Prestige Worldwide
Qualified;1524;2024/07/07;A. Johnson;3204.83;null;Middle East;Q1-2024-Holiday Sale;573664.57;e-comm;N/A;179;Initech Solutions
lead;;2024/02/25;JANE DOE;4550.75;2319.92;UK;H2-2023-Fall Campaign;1847604.50;Retail;Widget Pro;406;Soylent Corp
Closed-Won;4513;2023/09/15;L. Harris;2562.35;35701.46;Asia Pacific;Q4-24-Social Push;40381.90;affiliate;Widget A;0;Soylent Corp
lead;2582;2025/02/11;D. Brown;184.32;13188.33;US;Q4-23-Email Blast;53637.12;Brick & Mortar;Hardware Unit;291;Bluth Company
closed won;4758;2024/10/10;bob williams;4077.18;20859.41;UK;H2-23-Holiday Sale;640117.26;Email Campaign;Gadget X;157;Oceanic Airlines
proposal;144;pending;mia clark;4882.42;47328.68;APAC;H2-2023-Retention;1459843.58;partner;Data Pipeline;299;Soylent Corp
PENDING;293;2024/12/15;J. Smith;85.49;44189.86;USA;FY-24-Webinar Series;16328.59;Phone;Data Pipeline;191.00;Soylent Corp
closed lost;768;2025/06/13;Leo Harris;null;14340.29;Australia;Q3-2024-Summer Blitz;-;Retail;Service Plan Basic;270;Soylent Corp
PENDING;-;2025/06/30;Bob Williams;4399.46;27272.36;ANZ;Q2-2023-Holiday Sale;1671794.80;web;Hardware Unit;380.0;Soylent Corp
