Exported from Cyberdyne Systems CRM on 2026-03-08									
LEADS	CONVERSIONS	DATE	UNIT_PRICE	REVENUE	QTY	CHANNEL	COMPANY	REGION	AD_SPEND
1482	411		2,420.48 USD	292,878.08 USD	121	Web	Cyberdyne Systems	United Kingdom	49,879.79 USD
3509	53	03.16.2025	3,230.96 USD	1,276,229.20 USD	395.0	web	Prestige Worldwide	UK	47,920.67 USD
64	146	N/A	504.86 USD	127,224.72 USD	252	E-Commerce	Cyberdyne Systems	UK	31,970.09 USD
693	382	10.07.2023	2,557.64 USD	1,002,594.88 USD	392.00	field	Massive Dynamic	UK	35,841.94 USD
119	155	12.23.2023	688.85 USD	165,324.00 USD	240	affiliate	BlueOcean Retail	APAC	35,510.99 USD
null	-	06.25.2024	missing	-		RETAIL	Cyberdyne Systems	Latin America	12,006.17 USD
1902	262	02.02.2025	2,299.84 USD	55,196.16 USD	24	field	Cyberdyne Systems	United Kingdom	18,683.74 USD
3434		12.08.2024	4,669.42 USD	616,363.44 USD	132.00	Telesales	Virtucon	Australia	47,954.44 USD
4562	224	05.24.2025	3,882.40 USD	539,653.60 USD	139	Brick & Mortar	SummitView Hotels	Asia Pacific	3,128.62 USD
-	194	10.02.2024	534.09 USD	190,670.13 USD	357.0	Direct Sales	HealthPlus Pharma	ANZ	17,962.36 USD
2203	230	11.22.2023	3,760.68 USD	198,655.03 USD	-	Channel Partner	Dunder Mifflin	ASIAPAC	9,460.80 USD
4079	244	11.08.2024	2,645.73 USD	151,859.38 USD	null	Channel Partner	AgriGrow Corp	ANZ	45,104.28 USD
730		02.19.2025	3,772.87 USD	1,045,084.99 USD	277	e-comm	Cyberdyne Systems	EU	1,062.50 USD
727	492	01.10.2025	1,458.65 USD	700,152.00 USD	480	retail	Brawndo Corp	Unknown	49,401.22 USD
1677	313	06.25.2025	409.88 USD	103,699.64 USD	253	field	Cyberdyne Systems	UK	38,263.94 USD
2530	-	02.05.2025	4,584.81 USD	573,101.25 USD	125.0	direct	Cyberdyne Systems	South America	null
3472	N/A	03.06.2024	1,432.19 USD	462,597.37 USD	323.00	Referral	Cyberdyne Systems	SA	20,579.10 USD
2730	225	05.12.2024	1,125.27 USD	441,105.84 USD	392.0	Web	Cyberdyne Systems	APAC	46,601.35 USD
610	368	09.11.2024	N/A	101,556.54 USD	11.00	Partner	Cyberdyne Systems	Asia	12,239.13 USD
472	207	11.02.2023	4,774.26 USD	291,229.86 USD	61	Online	Massive Dynamic	EMEA	41,051.10 USD
3762	290	11.25.2024	940.84 USD	23,521.00 USD	25.00	referral	Dharma Initiative	North America	49,790.66 USD
680	115	02.27.2024	2,955.52 USD	154,738.02 USD	-	Social Media	Umbrella Ltd	EMEA	-
4509	307	07.29.2025	#N/A	220,592.30 USD	37	partner	Cyberdyne Systems	LATAM	32,469.06 USD
3919	393	12.15.2023	3,237.53 USD	271,952.52 USD	84.0	call center	Cyberdyne Systems	EMEA	42,593.57 USD
4027	408	08.16.2023	2,824.85 USD	731,636.15 USD	259	Social Media	Cyberdyne Systems	Europe	40,924.53 USD
4738	170	01.31.2025	3,264.26 USD	1,139,226.74 USD	349.00	direct	Cyberdyne Systems	??	2,440.06 USD
245	45	04.14.2024	3,520.87 USD	59,854.79 USD	17	referral	Cyberdyne Systems	MEA	7,084.31 USD
2177	292	01.17.2024	3,521.16 USD	658,456.92 USD	187.0	DIRECT	Cyberdyne Systems	Middle East	null
753	161	02.06.2025	2,415.10 USD	114,593.35 USD	#REF!	Retail	Cyberdyne Systems	APAC	16,817.05 USD
2810	457	05.01.2024	1,201.10 USD	198,181.50 USD	165	Email	Cyberdyne Systems	LATAM	21,387.45 USD
2178	50	12.24.2023	34.98 USD	4,337.52 USD	124	Telesales	Cyberdyne Systems	ASIAPAC	48,818.56 USD
1359	320	06.26.2024	3,719.96 USD	677,032.72 USD	182.00	web	Cyberdyne Systems	UK	12,102.76 USD
2527	206	07.02.2024	2,080.36 USD	713,563.48 USD	343.0	RETAIL	Bluth Company	UK	22,680.19 USD
1014	393	02.14.2024	579.11 USD	116,401.11 USD	201.00	Web	Initech Solutions	NA	25,558.89 USD
114	62	02.15.2024	4,101.07 USD	1,829,077.22 USD	446.0	Field Sales	Cyberdyne Systems	NA	5,331.97 USD
1268	45	06.07.2024	4,389.79 USD	2,177,335.84 USD	496	in-store	AgriGrow Corp	Asia Pacific	23,378.27 USD
3599		02.02.2025	1,723.88 USD	346,499.88 USD	201	retail	Cyberdyne Systems		31,565.15 USD
3644	3	05.28.2025	null	55,261.81 USD	432.0	retail	QuickShip Logistics	Asia Pacific	21,797.84 USD
2130	478	03.01.2024	4,888.71 USD	870,190.38 USD	178	email	Dunder Mifflin	Britain	16,115.30 USD
562	130	07.03.2025	1,407.48 USD	612,253.80 USD	435.0	reseller	Sterling Cooper	United Kingdom	
1373	234	07.30.2025	3,969.26 USD	1,385,271.74 USD	349	Reseller	Initech Solutions	Australia	37,644.71 USD
1416	327	09.08.2024	3,939.54 USD	1,658,546.34 USD	421.0	affiliate	Initech Solutions	United States	40,960.38 USD
3307	217	10.18.2024	3,466.31 USD	1,112,685.51 USD	321.00	Web	Cyberdyne Systems	United States	18,030.59 USD
4276	286	05.12.2025	4,592.78 USD	1,579,916.32 USD	344.0	phone	Cyberdyne Systems	USA	5,696.70 USD
4392	N/A	07.17.2025	3,518.71 USD	158,341.95 USD	45.0	direct	Cyberdyne Systems	EU	13,461.93 USD
