||||||||||
Transaction Date|Price Per Unit|Campaign ID|Total Amount|Geographic Region|Marketing Spend|Account Executive|Product / Service|Sales Channel|Units Sold|Closed Deals
2023/06/07|3872.83|Q3-24-Retention|1146357.68|UK|null|JOHN SMITH|Service Plan Pro|phone|296.0|408
2024/03/09|2916.98|H2-2024-Upsell|1163875.02|United States|47889.65|John Smith|Service Plan Basic|email campaign|399|446
2024/06/09|3036.08|Q4-24-Product Launch|210828.45|United Kingdom|22601.49|Unassigned|Security Bundle|DIRECT|-|162
|208.65|FY-2024-Cross-sell|2712.45|USA|N/A|bob williams|Hardware Unit|Phone|13.00|261
2023/04/12|4242.68||360627.80|NA|0|B. Williams|Gadget X|Social Media|85|312
2024/05/17|4283.52|FY-2024-Black Friday|638244.48|NA|0|J. Thomas|Marketing Suite|Telesales|149|336
2023/12/07|2724.95||127510.71|ASIAPAC|22926.98|Unassigned|CRM Module|Affiliate||2
2023/11/15|773.70|Q4-24-Social Push|72924.33|US|13016.90|Karen White|Software License|partner||174
2024/09/16|2609.18|Q2-24-Trade Show|27133.08|Australia|26343.88|jane doe|Widget A|in-store|null|198
2023/12/03|305.61|H2-2023-New Year Promo|102073.74|Asia Pacific|null|carol davis|Hardware Unit|Website|334.0|446
2024/08/25|2950.08|Q4-2023-Trade Show|955825.92|UK|32136.77|Leo Harris|Widget Pro|Store|324|374
TBD|2401.62|Q3-2024-Summer Blitz|398668.92|Europe|22749.37|Leo Harris|Service Plan Pro|retail|166|
2024/05/09|missing|H1-24-Webinar Series|21876.19|Asia Pacific|27843.07|Mia Clark|Analytics Dashboard|Store|283.00|66
2023/10/18|4586.67|Q3-2024-Black Friday|481600.35|??|4822.55|karen white|Security Bundle|social|105|96
TBD|644.08|H1-2024-Fall Campaign|156511.44|Europe||B. Williams|Software Subscription|ecommerce|243.0|18
2024/06/09|4532.27|Q1-23-New Year Promo|1899021.13|ANZ|26288.64|karen white|Support Tier 2|ONLINE|419.00|180
2023/11/01|342.79|Q2-2023-Upsell|99751.89|LATAM|26880.35|Eva Martinez|Widget Pro|affiliate|291|482
2024/09/28|1121.41|Q2-24-Webinar Series|298295.06|North America|35388.07|leo harris|Service Plan Basic|Direct|266.00|3
