Campaign ID|Company Name|Deal Status|Product / Service|Marketing Spend|Transaction Date|Total Amount|Marketing Leads|Sales Channel|notes
|CloudNine SaaS|Open|Widget B|3834,68|2024/11/22|33290,48|2347|Social Media|
FY-2023-Social Push|Cybertruck Co|lead|MISC|33725,17|2024/10/25|64478,02|1186|In-Store|
H1-24-Spring Push|Cybertruck Co|Negotiation|Cloud Storage 5TB|34030,21|2024/11/06|1513418,80|N/A|in-store|
H2-2024-Holiday Sale|Cybertruck Co|Lost|Marketing Suite|47776,49|2024/10/09|161011,52|3374|Reseller|
FY-2023-Social Push|BrightPath Media|pending|CRM Module|null|2023/11/04|871,83|2574|in-store|bulk order
FY-2023-Social Push|Virtucon|in progress|Data Pipeline|35271,63|2023/12/28|335323,44||referral|bulk order
Q2-2024-Email Blast|Cybertruck Co|closed won||7907,59|2024/03/27|1064044,15|3806|Email|
H2-2023-Fall Campaign|Cybertruck Co|Closed-Lost|Training Package|44743,77|2023/08/11|1680167,04|2887|Partner|CEO referral
H1-2023-Black Friday|PixelForge Studios|CL|Service Plan Basic|31910,35|2025/04/08|400436,64|4522|Partner|follow up needed
FY-2024-New Year Promo|Buy N Large|LOST|Widget B|0|2024/03/04|463683,20|126||
Q1-2023-Product Launch|Wayne Corp|CL|Gadget X|43484,05|2023/08/21|436984,04|2584|ecommerce|
H2-23-Black Friday|Cybertruck Co|CLOSED WON|Marketing Suite|45873,66|2024/01/06|261814,98|537|email|
Q1-2024-Webinar Series|Cybertruck Co|Open|ERP Add-on|3687,52|2024/06/24|83862,00|4606|DIRECT|renewal
|Cybertruck Co|WON|Support Tier 2|38237,43|2024/08/29|41586,62|2522|DIRECT|
Q1-23-Holiday Sale|CloudNine SaaS|Lost|Support Tier 1|17309,92|2025/02/12|319172,44|3704||
|Acme Corp|CL|Cloud Storage 5TB|2409,16|2024/06/17|31101,78|1553|Direct Sales|
Q2-2024-Summer Blitz|Weyland Corp|Qualified|CRM Module|7383,37|2024/12/05|1101704,64|994|DIRECT|
H2-2023-Social Push|Cybertruck Co|negotiation|Training Package|31736,42|2024/06/07|21946,83|4115|Channel Partner|
H1-23-Product Launch|Globex Industries|qualified|Service Plan Pro|41012,91|2024/05/24|68491,50|N/A|phone|discount applied
Q1-23-Summer Blitz|Cybertruck Co|Qualified|Support Tier 2|46478,61|2023/08/15|118486,34|727|partner|
Q1-23-Email Blast|QuickShip Logistics|Pending|Cloud Storage 5TB|N/A|2025/02/06|604143,20|1293|Email Campaign|partial payment
Q4-2024-Webinar Series|Acme Corp|PENDING|Service Plan Basic|29125,97|pending|169680,74|1163|phone|new customer
FY-2024-Social Push|Cybertruck Co|Lost|Widget Pro|37957,26|2024/12/02|865807,15|4175|affiliate|
Q2-2023-Trade Show|Cyberdyne Systems|Open|Software Subscription|23241,60|2023/12/06|39906,00|2071|Store|
H2-2023-Summer Blitz|Cybertruck Co|In Progress|ERP Add-on|10625,46|2024/11/06|missing|987|Direct Sales|
