salesRegion;totalRevenue;dealStatus;quantity;salesChannel;companyName;conversionCount;saleDate;adSpend;unitPrice;notes
LATAM;314019,54;Closed Won;387.0;referral;Pinnacle Analytics;108;06.07.2023;48827,71;811,42;
North America;138760,65;Lost;132;Channel Partner;Nakatomi Trading;322;04.04.2023;49033,02;NULL;
EU;576152,78;in progress;119.0;affiliate  ;Pinnacle Analytics;291;04.02.2023;15854,10;4841,62;pending approval
MEA;991884,40;CLOSED LOST;212.0;DIRECT;Pinnacle Analytics;121;22.09.2023;16170,24;4678,70;
NA;1141281,20;qualified;412;;Pinnacle Analytics;;22.09.2024;1943,69;2770,10;new customer
Middle East;302601,64;WON;242.0;e-comm;Pinnacle Analytics;324;01.01.2024;28859,82;1250,42;
United States;838964,28;Closed-Won;218.00;social media;Pinnacle Analytics;277;31.05.2024;9444,64;3848,46;NET30 terms
United Kingdom;199209,44;lead;N/A;Social Media;Pinnacle Analytics;198;23.03.2023;21761,77;236,44;
MEA;83690,88;WON;448;Phone;Pinnacle Analytics;280;25.05.2023;-  ;186,81;new customer
Latin America;719193,75;proposal;165.00;Telesales;Pinnacle Analytics;49;18.03.2023;48539,34;4358,75;
Middle East;418251,84;Closed Lost;96;social media;Pinnacle Analytics;32;07.08.2023;5797,27;4356,79;
Britain;166424,56;PENDING;136.00;web;Globex Industries;452;31.01.2024;9069,63;1223,71;VIP client
EU;220724,34;PENDING;-;;Wayne Corp;96;07.03.2023;43714,82;2591,02;CEO referral
ANZ;157195,37;closed won;46.0;Affiliate;Pinnacle Analytics;439;12.09.2024;20671,56;#N/A;escalated
Europe;1047477,42;Lost;473.00;;DataWave Inc;336;TBD;0;2214,54;
South America;851865,25;Proposal;449.0;Phone;Pinnacle Analytics;130;24.10.2023;40441,59;1897,25;
Africa;362276,44;Won;167.00;direct;Pinnacle Analytics;335;22.03.2023;22731,17;2169,32;bulk order
Asia Pacific;628864,91;lead;449;Social;Pinnacle Analytics;176;22.12.2023;34272,90;1400,59;partial payment
US;1969185,24;Closed Won;396;social media;Pinnacle Analytics;181;10.03.2024;23932,08  ;4972,69;
USA;138275,96;Lead;86.0;Referral;Pinnacle Analytics;134  ;09.10.2024;20473,65;1607,86;
ANZ;1726538,67;Won  ;373.0;Channel Partner;Pinnacle Analytics;113;22.04.2023;39139,86;4628,79;
EU;148286,87;Proposal;109;Email;Pinnacle Analytics;191;10.04.2024;14865,91;1360,43;CEO referral
US;missing;in progress;N/A;;Pinnacle Analytics;47;31.12.2023;32416,79;686,86;
United Kingdom;1594693,94;WON;434;Telesales;Pinnacle Analytics;47;04.08.2023;11730,43;3674,41;
MEA;1459837,50;Proposal;375;Direct Sales;Pinnacle Analytics;N/A;N/A;30561,45;3892,90;
ANZ;92124,84;Proposal;2;phone;Pinnacle Analytics;N/A;26.10.2023;7811,12;NULL;
APAC;216016,20;CLOSED LOST;90.00;email;Pinnacle Analytics;206;07.07.2024;446,54  ;2400,18;
LATAM;454793,78;in progress;218.00;Channel Partner;Pinnacle Analytics;24;25.04.2023;20887,74;2086,21;
MEA;172373,94;Closed-Won;54;Web;Pinnacle Analytics;297;24.01.2023;49207,47;3192,11;returned
EMEA;NULL;qualified;N/A;Store;Pinnacle Analytics;N/A;15.11.2023  ;8701,53;2262,88;
USA;130193,40;Lead  ;229.0;Telesales;Pinnacle Analytics;131;16.02.2023;34157,54;NA;pending approval
Britain;195929,16;Proposal;;field;Pinnacle Analytics;350;10.05.2024;4102,81;351,69;
Britain;N/A;qualified;#REF!;;Tyrell Corporation;165;20.10.2024;17947,47;482,27;partial payment
N. America;157740,66;lead;66.00;Web;Pinnacle Analytics;250;18.04.2024;-;2390,01;
Latin America;233361,24;qualified;84.00;retail;Pinnacle Analytics;160;20.06.2024;5794,52;2778,11;
US;431722,84;CLOSED LOST;436.0;social media;Brawndo Corp;480;07.03.2024;15507,89;990,19;partial payment
EU;560541,87;Proposal;487.00;social media;Pinnacle Analytics;494;null;1676,78;1151,01;  
North America;null;closed won;;;Pinnacle Analytics;91;07.01.2024;28040,74;1151,54;
Latin America;1360195,85;negotiation;299;Store;Pinnacle Analytics;274;25.06.2023;27532,44;4549,15;
North America;553092,08;CLOSED WON;248;Email;Dunder Mifflin;-  ;29.12.2023;27099,54;2230,21;
Asia;572065,20;in progress;315;Web;Cyberdyne Systems;451;16.12.2023;22905,48;1816,08;
