,,,,,,,,,,,,,
Campaign ID,Product / Service,Total Amount,Price Per Unit,Closed Deals,Transaction Date,Marketing Spend,Marketing Leads,Deal Status,Units Sold,Account Executive,Sales Channel,Geographic Region,Company Name
Q4-23-Webinar Series,Widget Pro,"$163,871.23","$3,091.91",341,20240706,"$21,382.51",4681,In Progress,53,J. Thomas,phone,,Globex Industries
H2-24-Spring Push,Gadget Mini,"$1,475,561.43","$3,257.31",299,20240108,"$45,057.24",,Closed-Lost,453,Jane Doe,PARTNER,N. America,Globex Industries
H1-2024-Cross-sell,Support Tier 1,"$112,949.76","$3,422.72",,20250718,null,4788,closed won,33.0,mia clark,Affiliate,Asia Pacific,BrightPath Media
Q2-2023-Cross-sell,Gadget Mini,"$981,632.60","$3,543.80",446,20250125,"$8,984.93",2511,Qualified,277,Alice Johnson,retail,N. America,
Q1-23-Product Launch,Cloud Storage 5TB,"$125,222.22","$2,318.93",75,20250725,"$43,408.79",N/A,Closed Lost,54,David Brown,Partner,N. America,Globex Industries
FY-23-Upsell,Cloud Storage 1TB,"$444,767.70","$2,280.86",62,20250510,"$21,277.43",1341,In Progress,195,eva martinez,direct,Asia Pacific,Globex Industries
H2-24-Webinar Series,Cloud Storage 5TB,"$2,239,896.01","$4,966.51",479,20240903,"$29,529.61",1316,Won,451,A. Johnson,Call Center,Europe,Globex Industries
H1-2024-Upsell,Widget B,"$20,130.72",$838.78,477,20231220,null,1503,Pending,24,Alice Johnson,Web,Australia,Globex Industries
Q2-24-Summer Blitz,ERP Add-on,"$213,138.56","$3,330.29",,,"$37,782.39",4471,Qualified,64.0,John Smith,E-Commerce,USA,Globex Industries
,Gadget Mini,"$1,026,853.64","$2,681.08",103,20240805,"$40,753.73",4779,CW,383.00,carol davis,,N/A,Globex Industries
H1-2023-Upsell,Hardware Unit,"$1,730,383.35","$3,673.85",181,20251022,"$22,498.85",2541,negotiation,471,David Brown,Partner,APAC,Globex Industries
FY-2023-Fall Campaign,Widget B,"$536,477.50","$4,291.82",336,20250112,"$41,607.16",4082,in progress,125.0,jake thomas,Field Sales,Asia,Globex Industries
FY-2024-Webinar Series,Premium Onboarding,"$828,746.72","$2,799.82",,,"$21,466.97",4742,In Progress,296.00,Alice Johnson,Online,UK,Globex Industries
FY-2023-Summer Blitz,N/A,"$522,220.46","$2,310.71",97,20250411,"$9,258.55",4929,closed lost,226.00,N/A,call center,United States,Globex Industries
FY-2024-Cross-sell,ERP Add-on,"$86,696.20",$184.46,270,20240113,"$37,993.17",977,closed won,470.00,leo harris,PARTNER,North America,Buy N Large
Q4-24-Retention,Support Tier 1,"$51,801.72","$3,047.16",129,20241128,"$36,373.16",3159,Closed-Lost,17.00,jake thomas,social,ASIAPAC,Globex Industries
Q4-23-Retention,Gadget Mini,"$148,304.50",$318.25,260,20240110,"$33,881.13",,Closed Lost,466.00,karen white,Email,Britain,Globex Industries
FY-24-Black Friday,Service Plan Basic,"$729,061.83","$1,588.37",493,20250101,"$7,079.08",880,LOST,459.00,Karen White,Store,-,Tyrell Corporation
