REVENUE;STATUS;UNIT_PRICE;SALES_REP;AD_SPEND;QTY;CAMPAIGN;CHANNEL;PRODUCT;REGION;DATE;CONVERSIONS
3,152.10 USD;Closed-Won;210.14 USD;;5,122.28 USD;15;Q3-23-Spring Push;affiliate;Cloud Storage 5TB;Australia;June 23, 2023;-
213,957.56 USD;WON;533.56 USD;David Brown;40,060.49 USD;401.00;Q2-2024-Webinar Series;Brick & Mortar;N/A;US;March 26, 2025;475
53,387.75 USD;CL;164.27 USD;Eva Martinez;21,507.02 USD;325.00;Q3-24-Holiday Sale;DIRECT;Service Plan Pro;EU;April 01, 2024;405
127,454.89 USD;WON;473.81 USD;Iris Anderson;11,063.41 USD;269.00;Q4-2024-Brand Awareness;Web;Data Pipeline;US;January 30, 2025;353
202,808.06 USD;PENDING;4,138.94 USD;Jane Doe;0;49.0;Q1-2024-Spring Push;Email Campaign;Widget B;EMEA;June 25, 2024;220
986,661.36 USD;Closed-Lost;2,383.24 USD;iris anderson;15,106.91 USD;414;Q2-2023-Fall Campaign;Retail;Support Tier 1;Asia Pacific;July 17, 2023;482
1,024,142.56 USD;Open;3,368.89 USD;Mia Clark;16,224.23 USD;304.0;Q4-23-Email Blast;web;Widget B;USA;December 15, 2023;397
253,138.90 USD;negotiation;1,332.31 USD;B. Williams;5,053.15 USD;190;;In-Store;Software Subscription;South America;September 04, 2023;195
;lead;1,372.88 USD;L. Harris;38,652.93 USD;#REF!;;Web;Support Tier 1;EU;August 13, 2024;189
470,254.78 USD;closed lost;3,985.21 USD;bob williams;16,322.43 USD;118;Q1-24-Cross-sell;Affiliate;Data Pipeline;ANZ;February 19, 2024;246
562,082.71 USD;Closed Lost;1,565.69 USD;G. Lee;37,701.99 USD;359;H1-23-Summer Blitz;Social;Cloud Storage 5TB;Latin America;October 16, 2023;N/A
190,770.70 USD;closed won;657.83 USD;Mia Clark;35,766.82 USD;290.00;;Email Campaign;Other;Europe;February 15, 2024;201
315,691.35 USD;PENDING;1,084.85 USD;J. Thomas;16,057.91 USD;291;Q2-23-Email Blast;Partner;Cloud Storage 1TB;United States;January 07, 2025;35
648,387.50 USD;closed won;2,593.55 USD;JANE DOE;40,041.88 USD;250;Q1-23-Trade Show;Email;Software Subscription;Middle East;February 06, 2025;216
73,072.80 USD;CL;304.47 USD;Alice Johnson;33,624.09 USD;240.00;H1-2023-Retention;Store;Support Tier 2;US;June 24, 2023;98
404,276.40 USD;Lead;3,675.24 USD;M. Clark;29,923.46 USD;110.0;H1-2024-Brand Awareness;Field Sales;Software License;APAC;June 18, 2024;133
306,219.24 USD;proposal;739.66 USD;Frank Wilson;46,126.35 USD;414;Q3-2024-Social Push;ONLINE;Support Tier 1;SA;November 06, 2024;445
654,934.98 USD;PENDING;3,679.41 USD;;31,977.32 USD;178;Q3-2023-Brand Awareness;affiliate;Cloud Storage 1TB;EU;December 27, 2023;84
159,173.64 USD;Negotiation;4,188.78 USD;john smith;44,100.91 USD;38.00;FY-23-Product Launch;PARTNER;Training Package;South America;October 26, 2023;138
117,135.80 USD;Lost;259.15 USD;J. Thomas;14,956.53 USD;452;H1-2023-Fall Campaign;Direct;Security Bundle;USA;August 24, 2024;339
1,214,697.69 USD;Qualified;3,956.67 USD;Bob Williams;null;307;Q4-23-Upsell;referral;Data Pipeline;EMEA;October 08, 2024;72
135,870.30 USD;Lost;4,529.01 USD;Mia Clark;1,798.01 USD;30.00;Q4-24-Cross-sell;call center;MISC;ANZ;May 27, 2023;-
432,847.35 USD;lead;2,091.05 USD;I. Anderson;9,280.20 USD;207.00;Q3-2023-Email Blast;email campaign;Support Tier 1;Asia;May 30, 2023;103
127,041.85 USD;qualified;1,954.49 USD;I. Anderson;N/A;65;;phone;;MEA;June 21, 2023;442
366,418.85 USD;CLOSED LOST;4,310.81 USD;Grace Lee;31,370.30 USD;85.0;Q1-23-New Year Promo;affiliate;N/A;North America;February 16, 2025;269
1,313,068.22 USD;Closed Won;3,719.74 USD;Carol Davis;23,362.67 USD;353;;DIRECT;Service Plan Enterprise;US;July 22, 2023;78
619,512.66 USD;Open;2,647.49 USD;john smith;17,819.35 USD;234;Q3-24-Brand Awareness;Referral;Widget B;Asia;February 24, 2025;285
1,668,002.40 USD;closed won;4,685.40 USD;jane doe;34,578.66 USD;356;;Website;Support Tier 2;United Kingdom;July 17, 2024;351
198,999.68 USD;Won;1,081.52 USD;D. Brown;46,714.98 USD;184.0;FY-2024-Social Push;phone;Gadget X;Europe;July 13, 2023;417
361,798.84 USD;Won;1,501.24 USD;Frank Wilson;42,746.48 USD;241.00;FY-24-Fall Campaign;Phone;Training Package;-;October 05, 2023;108
696,366.24 USD;closed won;2,560.17 USD;J. Smith;42,518.67 USD;272.00;FY-2023-Social Push;Social;Hardware Unit;Asia Pacific;April 08, 2024;174
102,585.80 USD;lead;3,603.60 USD;;25,696.49 USD;null;Q1-23-Brand Awareness;Retail;Gadget X;ANZ;TBD;291
342,654.96 USD;WON;1,992.18 USD;C. Davis;21,258.15 USD;172.00;;retail;Service Plan Pro;LATAM;June 01, 2023;322
114,551.55 USD;LOST;2,545.59 USD;john smith;18,506.93 USD;45.0;Q2-24-Summer Blitz;;Support Tier 1;;January 16, 2024;499
493,278.40 USD;Closed-Won;1,063.10 USD;Mia Clark;29,738.29 USD;464;Q3-2024-Email Blast;Affiliate;Cloud Storage 5TB;EU;June 20, 2024;396
162,666.90 USD;closed lost;1,478.79 USD;eva martinez;6,080.74 USD;110;Q1-2024-Webinar Series;call center;Cloud Storage 1TB;Africa;October 26, 2024;491
97,977.98 USD;proposal;NULL;D. Brown;17,066.54 USD;99;H2-23-Social Push;Social;Analytics Dashboard;SA;June 17, 2024;149
2,128,586.94 USD;Negotiation;4,597.38 USD;G. Lee;42,193.37 USD;463;H2-2023-Black Friday;Reseller;Software License;Middle East;July 18, 2023;87
42,453.60 USD;pending;379.05 USD;Mia Clark;14,797.39 USD;112;Q2-2023-Fall Campaign;Channel Partner;Cloud Storage 5TB;Asia Pacific;November 27, 2024;438
30,578.48 USD;closed won;3,822.31 USD;Eva Martinez;24,885.21 USD;8.0;FY-23-Cross-sell;ecommerce;Widget Pro;NA;December 08, 2024;274
2,244,243.46 USD;CL;4,695.07 USD;J. Doe;28,715.79 USD;478.00;Q3-23-Retention;in-store;Service Plan Pro;UK;March 18, 2025;171
851,179.80 USD;Closed-Won;4,172.45 USD;karen white;49,824.24 USD;204.0;Q1-2023-Product Launch;Field Sales;Service Plan Pro;MEA;March 23, 2025;177
1,369,917.42 USD;Won;4,707.62 USD;E. Martinez;21,279.17 USD;291;Q1-24-Holiday Sale;social;Widget A;EMEA;October 22, 2023;-
