conv,cmpgn,qty,co,stat,spend,ch,prod,rep,lds,rgn,price,dt,rev,Waehrung
7,Q4-2024-Webinar Series,55.00,Prestige Worldwide,lead,"USD 3,897.67",e-comm,Widget A,J. Smith,63,South America,USD 285.99,28.12.2023,"USD 15,729.45",GBP
314,H2-24-Spring Push,152,Prestige Worldwide,pending,"USD 13,890.66",Referral,Software Subscription,carol davis,N/A,Britain,"USD 4,720.64",31.05.2023,"USD 717,537.28",JPY
39,Q3-24-Fall Campaign,3,Prestige Worldwide,Won,"USD 21,029.33",,Marketing Suite,karen white,4926,United States,,29.02.2024,,
100,Q3-2024-Social Push,429.0,Prestige Worldwide,Open,"USD 32,790.21",,API Access,J. Smith,4309,Middle East,USD 12.03,04.10.2024,"USD 5,160.87",EUR
370,Q4-24-Holiday Sale,373.00,Prestige Worldwide,CW,"USD 18,647.40",Social,Widget Pro,F. Wilson,null,Middle East,"USD 3,208.24",11.01.2024,"USD 1,196,673.52",JPY
23,Q1-2023-Cross-sell,176,Soylent Corp,Open,"USD 46,295.42",RETAIL,Widget A,G. Lee,2356,South America,"USD 1,551.32",11.09.2024,"USD 273,032.32",JPY
59,Q3-23-Social Push,440,Prestige Worldwide,closed lost,-,Referral,Support Tier 2,J. Smith,272,Asia,null,29.12.2023,missing,
327,Q2-23-New Year Promo,444,Prestige Worldwide,proposal,"USD 1,655.90",Social,Gadget Mini,N/A,2429,South America,"USD 4,895.81",10.03.2025,"USD 2,173,739.64",GBP
139,H2-23-Retention,158,Prestige Worldwide,Won,"USD 16,868.90",Direct,Widget A,N/A,2965,Australia,"USD 2,682.35",20.11.2024,"USD 423,811.30",EUR
27,Q3-23-Webinar Series,81,Prestige Worldwide,closed lost,"USD 5,245.72",Affiliate,Gadget X,bob williams,198,United Kingdom,USD 265.97,01.09.2024,"USD 21,543.57",
459,Q2-24-Product Launch,34.00,Prestige Worldwide,negotiation,,,Support Tier 2,D. Brown,1948,ASIAPAC,"USD 2,945.27",07.05.2024,"USD 100,139.18",EUR
292,Q4-23-Black Friday,392.0,Bluth Company,Closed Won,"USD 49,418.34",social media,Cloud Storage 1TB,Bob Williams,null,South America,"USD 4,255.28",03.08.2023,"USD 1,668,069.76",AUD
293,H1-2023-Summer Blitz,null,Prestige Worldwide,Lost,"USD 7,713.50",phone,Hardware Unit,C. Davis,2805,US,USD 933.85,09.03.2024,N/A,
N/A,Q4-24-Email Blast,305,Prestige Worldwide,in progress,"USD 9,164.74",call center,Service Plan Pro,bob williams,1523,Africa,"USD 4,526.78",13.06.2023,"USD 1,380,667.90",GBP
37,FY-24-Product Launch,463.0,Prestige Worldwide,Negotiation,"USD 48,689.06",,API Access,Unassigned,4004,ANZ,"USD 1,393.91",10.06.2023,"USD 645,380.33",USD
170,H2-2024-Email Blast,382.00,Prestige Worldwide,Pending,N/A,ONLINE,Widget A,G. Lee,4809,Middle East,"USD 1,028.00",27.09.2024,"USD 392,696.00",GBP
103,Q1-23-Brand Awareness,74.00,Prestige Worldwide,PENDING,"USD 12,019.45",Reseller,Cloud Storage 5TB,john smith,1179,Middle East,"USD 3,209.55",23.02.2024,"USD 237,506.70",EUR
,Q4-24-Brand Awareness,487,,closed lost,-,online,Service Plan Basic,Alice Johnson,2718,South America,"USD 3,935.90",19.10.2024,"USD 1,916,783.30",
-,H1-2023-Email Blast,414,Prestige Worldwide,CW,"USD 3,691.72",Direct,Widget B,Eva Martinez,4439,MEA,USD 774.46,26.06.2023,"USD 320,626.44",EUR
208,,268,Prestige Worldwide,Closed-Won,"USD 13,356.80",Retail,Service Plan Enterprise,john smith,2558,N. America,"USD 2,837.09",14.05.2025,"USD 760,340.12",GBP
140,H1-24-Webinar Series,29.0,Prestige Worldwide,CW,"USD 13,222.35",Call Center,Analytics Dashboard,,4416,EU,"USD 4,665.36",26.05.2024,"USD 135,295.44",JPY
406,Q4-2024-Black Friday,440.00,Prestige Worldwide,LOST,"USD 32,105.08",Telesales,Support Tier 1,mia clark,1158,,"USD 3,843.81",17.01.2025,"USD 1,691,276.40",JPY
287,,239,Prestige Worldwide,open,"USD 2,265.29",,Gadget Mini,Frank Wilson,4501,Britain,"USD 3,544.56",04.01.2025,"USD 847,149.84",CAD
178,Q1-2024-Product Launch,309,Prestige Worldwide,Negotiation,USD 610.81,Online,Gadget Mini,frank wilson,444,Latin America,"USD 1,143.30",26.12.2023,"USD 353,279.70",CAD
403,Q1-2023-Brand Awareness,242,Prestige Worldwide,closed won,"USD 30,901.67",Store,Widget A,frank wilson,1121,North America,"USD 1,785.52",16.11.2024,"USD 432,095.84",GBP
