Date|Channel|Sales Rep|Leads|Conversions|Company|Product|Status|Quantity|Revenue|Campaign|Region|Remarks
26.07.2024|Store|D. Brown|1735|315|BrightPath Media|Analytics Dashboard|Closed Lost|389.0|USD 213,813.85|Q3-23-Spring Push|Europe|renewal
06.12.2023|call center|TBD|376|379|Hooli Inc|Gadget X|proposal|158|USD 378,563.26|H2-2023-Upsell|UK|
14.09.2024|referral|eva martinez|2277|500|Hooli Inc|Widget A|Closed Lost|371.0|USD 206,658.13|H1-23-Holiday Sale|USA|follow up needed
16.09.2024|Social|JANE DOE|1909|60|Hooli Inc|Support Tier 1|negotiation|56|USD 73,628.24|Q4-2023-Retention|Europe|
18.08.2023|Channel Partner|karen white|4539|8|Hooli Inc|ERP Add-on|Closed Won|317|USD 1,014,755.04|Q3-23-Cross-sell|Asia Pacific|
13.10.2024|In-Store|mia clark|1|283|Hooli Inc|Service Plan Enterprise|negotiation|183|USD 373,521.30|Q1-23-Black Friday|N/A|returned
21.03.2025|Brick & Mortar|L. Harris|1497|290|Hooli Inc|API Access|CL|163|USD 776,903.64|Q2-24-Trade Show|ASIAPAC|returned
13.02.2025|In-Store|TBD|1964|-|Hooli Inc|Widget B|pending|312|USD 361,698.48|Q4-2023-Trade Show|Latin America|
09.10.2024|web|Mia Clark|-|123|BrightPath Media|Service Plan Pro|lead|#REF!|USD 224,634.67|Q3-24-Fall Campaign|Asia Pacific|
03.01.2025|phone|Grace Lee||202|QuickShip Logistics|Consulting Hours|Won|489.0|USD 891,994.68|H2-23-Retention|Asia Pacific|
21.03.2025|Brick & Mortar|L. Harris|1497|290|Hooli Inc|API Access|CL|163|USD 776,903.64|Q2-24-Trade Show|ASIAPAC|returned
|Field Sales|leo harris|1515|19|NovaTech Solutions|Cloud Storage 5TB|lead|5|USD 15,498.95||MEA|partial payment
10.06.2024|in-store|henry taylor|143|296|Hooli Inc|Software Subscription|Proposal|452.0|USD 1,471,255.48|H2-23-Brand Awareness|MEA|follow up needed
01.01.2025|in-store||3212|61|Hooli Inc|Widget B|pending|487.0|USD 2,338,242.84|H1-23-Webinar Series|South America|discount applied
09.08.2023|Field Sales|john smith|-|-|Hooli Inc|Training Package|Won|372|USD 379,008.48|Q2-23-Cross-sell|Africa|
pending||J. Thomas|2615|485|Hooli Inc|Training Package|CL|57.00|USD 43,516.08|H1-2024-New Year Promo||
pending|In-Store|Iris Anderson|3696|24|Hooli Inc|Support Tier 1|CW|0|USD 204,215.60|H2-24-Webinar Series|N. America|NET30 terms
||||||||||||
||||||||||||
||||||||||||
||||||||||||
