dt|cmpgn|qty|spend|conv|stat|rgn|lds|prod|rep|ch|price|rev
12-Mar-2025|Q2-23-Upsell|331.00|$49,400.08|470|lead|Latin America|1833|ERP Add-on|F. Wilson|retail|$3,429.62|$1,135,204.22
08-Jun-2024|Q3-24-Trade Show|377.00|$12,285.87|163|negotiation|US|null|CRM Module|J. Doe|e-comm|$4,488.71|$1,692,243.67
04-Feb-2024||87|$23,728.38|290|proposal|Australia|3373|Consulting Hours|john smith|call center|$4,710.76|$409,836.12
04-Oct-2024|Q2-24-Black Friday|289.0|$9,982.27|218|Closed-Lost|N. America|4024|Analytics Dashboard|F. Wilson|Direct|$2,661.97|$769,309.33
04-Jul-2025|FY-23-Holiday Sale|197.0|N/A|46|Qualified|USA|2|Widget B|grace lee|Affiliate|$3,861.03|$760,622.91
15-Feb-2024|Q1-2024-Holiday Sale|227.00|$16,068.79|52|Negotiation|SA|1266|Service Plan Pro|alice johnson|Email Campaign|$3,436.36|$780,053.72
08-Aug-2025|Q3-2024-Social Push|452.00|$610.35|193|closed lost|EMEA|3999|Widget A|frank wilson||$3,403.58|$1,538,418.16
12-Jan-2025|H2-24-Retention  |143|$20,257.90|146|qualified|United States|1455|Widget A|E. Martinez|Social Media|$1,819.06|$260,125.58
21-Oct-2024|H2-2023-Black Friday|476.0|$12,048.62|96|Qualified|Britain|null|Security Bundle|jake thomas|phone  |$4,159.69|$1,980,012.44
12-Mar-2024||183.0|$18,241.66|-|Won|LATAM||Widget B|I. Anderson|Direct Sales|$2,849.19|$521,401.77
09-Oct-2025|Q3-2023-Webinar Series|444|$41,404.92|N/A  |qualified|Australia|null|Cloud Storage 5TB|grace lee|ecommerce|$2,353.70|$1,045,042.80
13-Apr-2025|H2-2024-Brand Awareness|275.00|$2,754.75|254|open  |United States|null|Widget B|H. Taylor|Retail|$4,037.23|$1,110,238.25
23-Oct-2024||400.00|-||Lost|EU|4787|Consulting Hours|Leo Harris|call center|$4,101.94|$1,640,776.00
27-Jun-2024|H1-2023-Upsell|295|$26,064.77|99|qualified|Europe|2965|Consulting Hours|JANE DOE|Referral|$3,671.09|$1,082,971.55
07-Sep-2024|Q1-2024-Trade Show|83.00|$39,065.60|297|negotiation|EMEA|4773|N/A|Leo Harris|web|$1,457.91|$121,006.53
07-Dec-2024|Q2-2023-Upsell|215|$16,318.51|291|in progress|N. America|186|ERP Add-on|Iris Anderson|retail|$2,054.42|$441,700.30
19-Aug-2024|Q1-2023-Summer Blitz|328|$24,799.31|340|closed lost|Australia|3996|Marketing Suite|I. Anderson|social|$2,101.13|$689,170.64
09-Oct-2024|Q3-23-Social Push|243.00|$15,381.00|424|Proposal|UK|3223|Widget A|frank wilson||$3,944.80|$958,586.40
17-Oct-2024||498|$21,423.81|408|closed won|NA|4196|Marketing Suite|john smith|Field Sales|$1,280.51|$637,693.98
08-Aug-2024|Q1-2024-Spring Push|249|null|363|Closed-Won|Unknown|4783|Training Package|L. Harris|DIRECT|$3,669.14|$913,615.86
null||310.00|$38,365.42|335|closed won|Britain|1286|Support Tier 1|Carol Davis|retail|$4,751.64|$1,473,008.40
15-Sep-2025|H1-2024-Upsell|202.00|$16,271.42|178|open|APAC||Service Plan Basic|L. Harris|Social|$4,197.43|$847,880.86
10-Apr-2024|Q2-2023-Product Launch|324.00|$35,597.96|51|WON|Asia Pacific|N/A|Gadget Mini|I. Anderson|Channel Partner|$994.53|$322,227.72
03-Oct-2024|Q2-23-New Year Promo|228|null|323|pending|Britain|-|Premium Onboarding|leo harris|Retail|$4,272.51|$974,132.28
27-Apr-2025|Q1-2024-Webinar Series|380|$22,742.77|255|qualified|Unknown|2460|Widget Pro|Unassigned|PARTNER|$618.13|$234,889.40
12-Sep-2025|FY-23-Trade Show|474|$33,433.83|265|closed lost|Unknown|208|Gadget Mini|Henry Taylor|ecommerce|$4,983.45|$2,362,155.30
26-Feb-2024|Q1-2024-Social Push|446.00|$23,395.38|11|Pending|Asia|3563|Cloud Storage 1TB|carol davis|email|$797.96|$355,890.16
13-Jul-2024  ||480|$23,112.86|308|Pending|United States|4097|CRM Module|alice johnson|web|$1,002.93|$481,406.40
15-Jan-2024|H2-2024-Fall Campaign|133|$32,764.58|259|Lead|United Kingdom|N/A|Data Pipeline|carol davis||$1,384.34|$184,117.22
15-Sep-2024|Q3-2023-Trade Show|298|$33,536.95|390|Lead|NA|-|ERP Add-on|Karen White|Direct|$640.74|$190,940.52
|H1-2023-Retention|284|$2,210.03|12|Closed Lost|Africa|2231|Support Tier 1|Alice Johnson|direct|$4,700.37|$1,334,905.08
03-Jun-2024|Q2-2023-Trade Show|19  |$30,804.51|73|Pending|NA|4125|Service Plan Pro|mia clark|call center|$551.17|$10,472.23
05-May-2024|Q2-24-Email Blast|439.00||160|In Progress|United States|1656|Data Pipeline|E. Martinez|partner|$1,762.26|$773,632.14
09-Feb-2024|Q1-2024-Trade Show|47  |$18,789.02|-|Closed Lost|Middle East|1565|API Access|JOHN SMITH|Direct|$436.66|$20,523.02
02-Sep-2025|H2-24-New Year Promo|500.00|-|166|Open|EMEA|4120|Software License|C. Davis|Affiliate|$1,374.67|$687,335.00
26-Dec-2024|H1-2023-Webinar Series|124|0|466|CL|ANZ|2369|Data Pipeline|Bob Williams|Email|$599.55|$74,344.20
16-May-2024|H1-24-Retention|334.00|N/A|469|CLOSED WON|USA|498|Service Plan Enterprise|jake thomas|E-Commerce|$1,145.56|$382,617.04
04-Jan-2024||184|$36,654.56|307|proposal|United States|241|Cloud Storage 1TB|E. Martinez|Reseller|$3,874.23|$712,858.32
13-Sep-2024|Q1-23-Fall Campaign|N/A|$8,096.62|499|Closed Lost|United States  |3203|Service Plan Enterprise|Jane Doe|direct|$2,781.01|$230,770.73
25-Jun-2024|H2-2023-Webinar Series|168.00|$2,014.01|361|Qualified|EMEA|291|ERP Add-on|N/A|Store|$1,680.01|$282,241.68
20-Aug-2025|FY-23-Spring Push|458|$2,010.54|370|in progress|US|645|ERP Add-on|G. Lee|RETAIL|$4,859.40|$2,225,605.20
07-Mar-2025|H2-2024-Trade Show|202|$15,986.00|204|proposal|UK|3478|Analytics Dashboard|Unassigned  |Email|$4,564.60|$922,049.20
26-Dec-2023|H1-24-Social Push|195|$37,748.46|424|closed lost|South America|224|CRM Module|G. Lee|Web|$2,158.27|$420,862.65
15-Nov-2024|H1-24-Email Blast|129.00|$22,246.05||Pending|Unknown|4559|Widget B|J. Doe|Email Campaign|$4,052.25|$522,740.25
15-Dec-2023|H2-2023-Upsell|329|$46,385.98|323|Pending|ASIAPAC|4469|Widget B|K. White|Retail|$224.37|$73,817.73
05-Sep-2024|Q1-2024-Summer Blitz|251.00|$22,413.93|217|Won|United Kingdom|2847|Data Pipeline|H. Taylor|affiliate|$1,964.09|$492,986.59
14-Apr-2025|Q2-24-Retention|265.00|$46,311.51|445|PENDING|ASIAPAC|116|Widget Pro|david brown|Retail|$3,094.21|$819,965.65  
11-Jun-2025|Q3-23-New Year Promo|116|$28,976.94|328|PENDING|MEA|1396|-|iris anderson|social media|$1,367.63|$158,645.08
16-Dec-2023|Q2-2023-Email Blast|410.0|$16,194.37|247|Lead|MEA|4728|Service Plan Pro|carol davis|ecommerce|$244.85|$100,388.50
27-Feb-2024|FY-2023-Fall Campaign|43.00|$25,397.82|5|pending|Middle East|446|Software License|JANE DOE|Referral|$3,664.69|$157,581.67
pending|Q1-2024-Fall Campaign|189|$10,640.49|173|Closed-Lost|Asia Pacific|2548|Cloud Storage 1TB|Unassigned|Reseller|$2,509.77|$474,346.53
20-Jun-2025|FY-23-Spring Push|226|$44,422.85|61|Qualified|UK|1477|Service Plan Basic|henry taylor|Retail|$4,398.96|$994,164.96
26-Oct-2025|H1-2024-Cross-sell|-|$26,761.18|N/A|Closed-Lost|Latin America|null|Cloud Storage 5TB|Iris Anderson|social media|$944.45|
24-Aug-2025|H2-2024-Product Launch|103.0||342|Won|USA|2945|Marketing Suite|Jane Doe|Social|$2,458.06|$253,180.18
25-Oct-2024|Q4-23-Fall Campaign|129.00|$11,339.26|171|Negotiation|North America|568|CRM Module|Jake Thomas|Call Center|$1,753.84|$226,245.36
19-Jul-2025|FY-2024-Black Friday|430|$35,942.62|-|Qualified|Asia|4282|MISC|karen white|Channel Partner|$4,770.59|$2,051,353.70
02-Sep-2024|Q3-2023-Retention|129.0|$46,597.27|204|In Progress||2154|Widget B  |carol davis|Web|$1,792.74|$231,263.46
02-Dec-2023|Q2-23-Fall Campaign|154.00|$20,349.04|235|Proposal|APAC|2767|Support Tier 1|I. Anderson|in-store|$2,302.36|$354,563.44
02-Apr-2024|H2-2024-Upsell|148.00|$22,049.13|380|Qualified|USA|3147|Service Plan Enterprise|N/A|Retail|  |$140,928.50
16-Mar-2024||193|$10,361.05|417|Won|United States|4737|Gadget X|bob williams|affiliate|NULL|$213,561.61
25-Jun-2024|Q4-2023-Brand Awareness|288|$38,158.75|231|Closed Lost|North America|1901|Cloud Storage 1TB|Leo Harris|Retail|$1,425.69|$410,598.72
16-Jan-2024|Q4-23-Webinar Series|142.0|$10,838.69|275|negotiation|United Kingdom|4161|Gadget Mini|leo harris|Online|$4,737.02|$672,656.84
08-Jan-2024|Q3-24-Spring Push|34.0|$34,247.40||open|??|980|Premium Onboarding|J. Thomas|online|$2,673.70|$90,905.80
06-Mar-2024|Q4-2023-New Year Promo||$14,781.76|346|closed lost|SA|4618|Gadget Mini|leo harris|Email Campaign|$857.76|$121,849.62
16-Nov-2023|H2-2024-Black Friday|108|$25,770.11|375|CLOSED WON|Asia Pacific|3077|Widget A|JANE DOE|Referral|$3,974.51|$429,247.08
20-Feb-2024|Q2-2023-Spring Push|96|$34,500.54  |2|lead|United Kingdom|3194|Training Package|frank wilson||$3,563.49|$342,095.04
08-Sep-2025|Q4-2024-Upsell|13.0|$9,032.38|5|CW|LATAM|4802|Gadget X|carol davis|Online|$4,277.58|$55,608.54
31-Dec-2024|H2-24-Summer Blitz|401.0|$35,479.52|313|CLOSED LOST  |SA|4816|CRM Module|F. Wilson|Call Center|$653.19|$261,929.19
16-Jul-2025||130.00|$17,908.58|N/A|CLOSED LOST|SA|299|Support Tier 1|J. Doe|e-comm|$3,376.61|$438,959.30
10-Jul-2025|H2-23-Holiday Sale|498.00|$29,347.11||in progress|Latin America|2328|Gadget Mini|Jane Doe|reseller|$3,907.23|$1,945,800.54
21-Sep-2025|Q2-24-Summer Blitz|429.0|$13,848.72|258|CL|ANZ|26  |Analytics Dashboard|E. Martinez|social media|$312.11|$133,895.19
