Firma,Status,Leads,Stueckpreis,Kanal,Menge,Werbeausgaben,Vertreter,Kampagne,Umsatz,Produkt,Abschluesse,Datum,Region,notes
Umbrella Ltd,Proposal,3831,4346,,386.0,22430,karen white,Q3-23-Email Blast,1677629,Marketing Suite,16,12-Oct-2023,Unknown,pending approval
Dunder Mifflin,Won,1149,-,DIRECT,487,12681,JANE DOE,,200731,MISC,N/A,05-Sep-2025,Asia,
Umbrella Ltd,PENDING,3097,2778,Referral,423.00,17417,Grace Lee,Q4-24-Spring Push,1175326,Support Tier 2,136,30-Apr-2024,LATAM,
BlueOcean Retail,LOST,3454,1654,social media,465.00,30029,,H2-2023-Fall Campaign,769216,Support Tier 1,139,26-Aug-2025,MEA,returned
Umbrella Ltd,closed won,4319,1100,E-Commerce,#REF!,23790,jake thomas,H2-2023-Upsell,N/A,Consulting Hours,N/A,10-Apr-2024,NA,
Umbrella Ltd,Pending,3916,3141,DIRECT,430,4690,H. Taylor,,1350832,Support Tier 2,225,12-Aug-2025,Asia Pacific,
Umbrella Ltd,WON,2433,2309,Social Media,245,0,,Q4-24-Cross-sell,565844,Cloud Storage 5TB,248,22-May-2025,Asia,
Umbrella Ltd,Open,N/A,156,email campaign,2.0,27048,J. Thomas,FY-2023-Trade Show,312,Gadget Mini,405,20-Mar-2025,LATAM,
Umbrella Ltd,closed lost,16,2425,PARTNER,N/A,18395,M. Clark,Q2-23-Spring Push,NA,Gadget X,369,17-Oct-2024,MEA,bulk order
Umbrella Ltd,PENDING,1594,3488,email,227,4895,David Brown,Q3-2023-Social Push,791787,Security Bundle,406,08-Dec-2023,Latin America,
Oceanic Airlines,LOST,181,missing,online,,33133,J. Smith,,105279,Software Subscription,493,13-Jun-2024,United Kingdom,
Umbrella Ltd,Open,3335,1279,E-Commerce,147.0,46299,Alice Johnson,Q2-23-Trade Show,188024,Analytics Dashboard,38,25-Jul-2025,Middle East,
HealthPlus Pharma,closed won,null,152,Social Media,343,38539,John Smith,FY-2024-Spring Push,52454,Service Plan Basic,161,30-Aug-2024,Britain,
Umbrella Ltd,lead,1361,4644,Email Campaign,null,N/A,Eva Martinez,,174494,Support Tier 1,31,20-Nov-2024,LATAM,
Umbrella Ltd,Closed Won,4058,1893,Online,244.00,43585,Eva Martinez,H1-24-Summer Blitz,461950,MISC,,01-Oct-2024,US,
Umbrella Ltd,In Progress,-,593,Telesales,131,32799,eva martinez,Q3-23-Cross-sell,77787,Support Tier 2,276,18-Jun-2025,Britain,
Cogswell Cogs,In Progress,N/A,1954,email,71.0,30072,D. Brown,Q1-2024-Summer Blitz,138787,Software License,365,16-Jun-2024,SA,
Umbrella Ltd,PENDING,2541,2092,Email,397,18920,,FY-24-Retention,830730,Software Subscription,327,null,UK,
,Lead,3950,4701,Phone,403.0,25969,,H1-23-Email Blast,1894704,ERP Add-on,392,20-Mar-2025,Australia,CEO referral
Umbrella Ltd,proposal,4340,2784,Email,270,0,henry taylor,Q2-2024-Social Push,751933,Hardware Unit,376,20-May-2025,APAC,
Umbrella Ltd,Negotiation,345,327,email,479,42555,J. Doe,H1-2023-Brand Awareness,156680,Cloud Storage 5TB,400,16-Aug-2025,ASIAPAC,
Umbrella Ltd,open,3601,3123,Brick & Mortar,221,15848,david brown,FY-24-New Year Promo,690196,Premium Onboarding,8,01-Aug-2025,North America,
Umbrella Ltd,Lead,977,2630,Call Center,N/A,3362,D. Brown,Q2-2023-Brand Awareness,-,Analytics Dashboard,405,09-Nov-2023,UK,
Umbrella Ltd,Pending,4578,4658,online,126.0,26207,Mia Clark,Q1-24-Retention,586938,Hardware Unit,-,25-Dec-2023,N/A,
,closed lost,4348,1132,e-comm,493,31764,JOHN SMITH,Q1-24-Product Launch,558223,Security Bundle,171,12-Nov-2024,Europe,
Genco Pura,Open,269,NA,Brick & Mortar,326,16165,karen white,Q4-2024-Retention,207046,N/A,449,05-Mar-2024,Asia Pacific,
Umbrella Ltd,CLOSED WON,1953,4662,DIRECT,274,23730,frank wilson,,1277651,Software Subscription,7,01-Oct-2024,Africa,
Umbrella Ltd,proposal,2385,3425,e-comm,362,27422,J. Doe,H2-23-Product Launch,1239922,N/A,-,12-Jul-2025,N. America,
Umbrella Ltd,lead,767,1646,Direct Sales,116.00,48161,M. Clark,Q2-24-Spring Push,191049,Software Subscription,,13-Apr-2024,MEA,
Hooli Inc,CLOSED WON,3247,4354,Field Sales,407.0,11646,J. Smith,,1772383,Cloud Storage 5TB,137,20-Aug-2024,US,
Umbrella Ltd,PENDING,null,2839,email campaign,103.0,7334,carol davis,,292446,Support Tier 1,409,01-May-2024,Europe,
Wonka Enterprises,closed lost,767,1091,In-Store,416,38179,B. Williams,Q1-24-Black Friday,454088,N/A,-,28-Oct-2023,EU,
Umbrella Ltd,Proposal,3956,3203,,155.0,16846,alice johnson,H1-2023-Retention,496496,Software License,79,13-Nov-2024,EMEA,
BrightPath Media,open,2289,1995,email,413,1134,K. White,H1-2024-Webinar Series,824071,Cloud Storage 1TB,276,15-Oct-2023,United States,
