salesChannel	saleDate	quantity	salesRegion	adSpend	conversionCount	dealStatus	leadCount	totalRevenue	productName	salesRep	unitPrice	companyName
Phone	05-Feb-2024	93.00	Africa	USD 29,829.79	34	pending	29	USD 275,340.45	Gadget X	Frank Wilson	USD 2,960.65	PixelForge Studios
ecommerce	22-Mar-2025	168.00	Asia Pacific	USD 7,453.10	286	Closed Lost	2018	USD 7,729.68	Software Subscription	mia clark	USD 46.01	Acme Corp
Partner	04-Jun-2024	278.0	UK	USD 15,887.98	246	Proposal	2558	USD 653,561.32	Analytics Dashboard	E. Martinez	USD 2,350.94	Acme Corp
Referral	22-Oct-2023	N/A	SA	USD 15,247.32	144	proposal	3130	NA	Support Tier 1	K. White	USD 270.62	Acme Corp
field	TBD	282.0	APAC	USD 45,348.04	N/A	Closed-Lost	4936	USD 1,072,987.44	Widget Pro	E. Martinez	USD 3,804.92	Dunder Mifflin
Email Campaign	11-Dec-2024	55.0	Europe	USD 19,027.06	-	Closed-Won	3997	USD 153,236.05	Support Tier 1	Alice Johnson	USD 2,786.11	Cyberdyne Systems
Referral	15-Jan-2025	479.0	US	USD 48,548.06	N/A	closed won	3817	USD 173,656.66	Service Plan Enterprise	I. Anderson	USD 362.54	Acme Corp
direct	21-Nov-2023	411	N. America	USD 4,221.76	176	Pending	3020	USD 464,857.44	ERP Add-on	Eva Martinez	USD 1,131.04	Krusty Burger LLC
Telesales	11-Jul-2024	63.00	Australia	USD 35,079.85	324	Closed Lost	2148	USD 230,725.53	Service Plan Basic	jake thomas	USD 3,662.31	Acme Corp
online	25-Dec-2023	446.0	Asia	USD 31,211.09	321	proposal	4441	USD 1,754,492.64	Support Tier 1	G. Lee	USD 3,933.84	Acme Corp
ecommerce	17-Oct-2023	203	Middle East	USD 11,810.29	4	CLOSED WON	2381	USD 260,867.18	Training Package		USD 1,285.06	Wayne Corp
ecommerce	01-Nov-2023	373		USD 34,923.43	355	Closed-Lost	1696	USD 1,309,983.46	Software License	Iris Anderson	USD 3,512.02	Acme Corp
Affiliate	17-Sep-2023	219.00	Asia	USD 34,911.05	287	pending	2907	USD 460,278.87	ERP Add-on	Jane Doe	USD 2,101.73	Acme Corp
call center	19-Jan-2024	289.0	UK		425	lead	890	USD 1,399,898.66	Consulting Hours	JANE DOE	USD 4,843.94	Acme Corp
affiliate	26-Nov-2023	54.0	South America	USD 14,498.81		Negotiation	377	USD 175,551.30	Cloud Storage 1TB	john smith	USD 3,250.95	Acme Corp
Retail	24-Jul-2025	153	EU	USD 45,098.08	279	closed lost	3100	USD 343,968.48	Hardware Unit	Jane Doe	USD 2,248.16	Acme Corp
Call Center	23-Feb-2024	52.0	EMEA	USD 44,610.57	83	Proposal	4239	USD 68,298.36	-	eva martinez	USD 1,313.43	Acme Corp
Social	01-Jan-2024	101	Europe	USD 21,126.90	104	in progress	3583	USD 448,949.04	Training Package	David Brown	USD 4,445.04	Virtucon
Direct Sales	19-Mar-2024	94	US	USD 1,893.46	303	Negotiation	4466	USD 327,101.20	ERP Add-on	Alice Johnson	USD 3,479.80	Acme Corp
DIRECT	24-May-2024	336	US	null	205	closed lost	1373	USD 184,968.00	Training Package	iris anderson	USD 550.50	FreshCart
RETAIL	27-Feb-2025	306.00	Asia Pacific	USD 1,082.10	259	Closed-Lost	2726	USD 783,265.14	Widget A	eva martinez	USD 2,559.69	Acme Corp
Referral	28-Dec-2023	338	-	USD 39,661.30	287	closed lost	3759	USD 410,801.82	-	Jane Doe	USD 1,215.39	Acme Corp
Channel Partner	03-May-2025	250.00	LATAM	USD 4,252.10	20	Negotiation	2036	USD 137,782.50	Gadget Mini	Frank Wilson	USD 551.13	Hooli Inc
call center	01-Jun-2024	442	South America	USD 38,430.65	215	Negotiation	3744	USD 1,536,308.02	Cloud Storage 5TB	Bob Williams	USD 3,475.81	Acme Corp
Direct	16-Feb-2024	68.0	Asia	USD 27,495.61	264	lead	3517	USD 184,794.76	Widget A	alice johnson	USD 2,717.57	Acme Corp
online	17-Jun-2025	333	United Kingdom	USD 33,259.02	30	qualified	2905	USD 417,442.14	Security Bundle	D. Brown	USD 1,253.58	Acme Corp
In-Store	04-Jan-2024	318	United Kingdom	USD 19,790.99	466	lead	406	USD 76,393.93	Data Pipeline	Alice Johnson	missing	Acme Corp
e-comm	24-Dec-2023	57.0	ANZ	N/A	247	in progress	1269	USD 4,843.86	Gadget Mini	D. Brown	USD 84.98	Acme Corp
Retail	28-Mar-2025	476.00	North America	USD 14,107.59	231	CLOSED WON	1842	USD 1,659,916.72	ERP Add-on	Henry Taylor	USD 3,487.22	Acme Corp
email campaign	24-Nov-2023	200	Africa	USD 1,687.66	358	pending	2970	USD 117,833.72	Cloud Storage 5TB	Jane Doe		Oscorp Technologies
e-comm	20-Jun-2025	329	Australia	USD 37,365.87	422	LOST	2784	USD 1,100,738.59	Security Bundle	D. Brown	USD 3,345.71	Acme Corp
e-comm	28-Aug-2025	10	NA	USD 368.44	18	Closed Lost	899	USD 30,039.10	MISC	JANE DOE	USD 3,003.91	Acme Corp
Online	12-Aug-2024	34	APAC	USD 46,935.40	72	In Progress	678	USD 94,153.14	Service Plan Enterprise	John Smith	USD 2,769.21	Acme Corp
online	04-Dec-2023	411.0	Australia	USD 36,790.24	183	Negotiation	3467	USD 195,303.09	Hardware Unit	alice johnson	USD 475.19	Stratton Oakmont
Social	15-Dec-2024	410	N. America	USD 39,512.22	423	open	3489	USD 1,222,923.40		john smith	USD 2,982.74	Acme Corp
Phone	13-Oct-2023	359.0	Asia	USD 2,976.94		Closed-Lost	N/A	USD 658,187.01	-	H. Taylor	USD 1,833.39	Acme Corp
Direct	19-Jun-2025	6	ASIAPAC	USD 1,974.95	79	closed lost	2290	USD 19,908.96	Service Plan Enterprise	Henry Taylor	USD 3,318.16	AgriGrow Corp
