Sales Channel,Units Sold,Total Amount,Product / Service,Marketing Leads,Company Name,Campaign ID,Price Per Unit,Closed Deals,Transaction Date,Deal Status,Comments
,428,"1,568,269.04 USD",Software Subscription,4194,Virtucon,FY-2024-Upsell,"3,664.18 USD",110,"December 23, 2024",Closed Lost,
Affiliate,294,"751,943.22 USD",Software Subscription,95,Oceanic Airlines,H2-24-Upsell,"2,557.63 USD",,"December 12, 2024",Closed Lost,bulk order
Social Media,74,"369,240.76 USD",Gadget Mini,1492,Oceanic Airlines,H2-23-Upsell,"4,989.74 USD",394,"August 22, 2024",negotiation,pending approval
ecommerce,234.0,"379,910.70 USD",N/A,255,Oceanic Airlines,H2-24-New Year Promo,"1,623.55 USD",N/A,"March 14, 2024",CW,
direct,243,"1,171,568.61 USD",Cloud Storage 1TB,477,Oceanic Airlines,Q1-23-Holiday Sale,"4,821.27 USD",142,"December 06, 2024",Closed Won,escalated
,36.00,"165,107.88 USD",Service Plan Pro,1558,Oceanic Airlines,H1-24-Trade Show,"4,586.33 USD",168,"April 16, 2024",closed lost,VIP client
Channel Partner,31.00,"142,382.07 USD",Software License,4868,Oceanic Airlines,H1-2024-Holiday Sale,"4,592.97 USD",455,"August 03, 2024",open,
In-Store,193,NULL,Cloud Storage 1TB,216,Rekall Inc,Q1-2024-Black Friday,NULL,108,"October 06, 2023",CL,
affiliate,370,"1,493,712.20 USD",Cloud Storage 1TB,2781,Vandelay Ind,Q2-2024-Black Friday,"4,037.06 USD",235,"July 18, 2024",Closed Lost,
ONLINE,233,"281,778.55 USD",Gadget X,1828,Oceanic Airlines,H1-23-Trade Show,"1,209.35 USD",414,"August 26, 2023",Closed Won,
web,128,"599,796.48 USD",Widget B,208,Oceanic Airlines,H2-23-Fall Campaign,"4,685.91 USD",270,"August 05, 2023",Closed Won,
Direct Sales,28.0,"68,051.48 USD",Widget A,3990,Planet Express,Q4-24-Summer Blitz,"2,430.41 USD",153,"January 19, 2025",CL,
referral,486.00,"1,694,196.00 USD",Widget Pro,1059,Oceanic Airlines,Q2-2023-Black Friday,"3,486.00 USD",72,"December 03, 2024",in progress,returned
call center,166,"438,558.72 USD",Training Package,4385,Oceanic Airlines,H2-2023-Email Blast,"2,641.92 USD",163,"May 19, 2023",PENDING,
email campaign,274,"314,623.24 USD",Software License,869,Oceanic Airlines,H1-24-Fall Campaign,"1,148.26 USD",221,"July 24, 2023",qualified,returned
email campaign,441,"462,194.46 USD",Service Plan Enterprise,882,Oceanic Airlines,Q3-2024-Spring Push,"1,048.06 USD",1,"February 26, 2024",In Progress,escalated
partner,21.00,"3,492.09 USD",Hardware Unit,2596,Buy N Large,H1-2024-Cross-sell,166.29 USD,143,"June 18, 2024",proposal,
email,420,"1,250,974.20 USD",Service Plan Basic,3860,Oceanic Airlines,H1-2024-Brand Awareness,"2,978.51 USD",112,"November 28, 2023",closed won,
field,313,"1,234,281.07 USD",ERP Add-on,1774,Oceanic Airlines,H2-2023-Black Friday,"3,943.39 USD",174,"December 27, 2024",open,
Affiliate,177.00,"319,127.46 USD",CRM Module,2400,Oceanic Airlines,H1-2023-Retention,"1,802.98 USD",401,"January 09, 2024",Closed-Won,
e-comm,481,"1,230,426.86 USD",API Access,2432,,,"2,558.06 USD",145,"September 18, 2023",closed lost,
Partner,2,"5,965.88 USD",Support Tier 1,38,Oceanic Airlines,Q1-23-Upsell,"2,982.94 USD",,"May 30, 2024",Closed Lost,
Direct,410.00,"1,354,262.80 USD",Hardware Unit,1924,Rekall Inc,Q2-2023-Holiday Sale,"3,303.08 USD",332,"August 13, 2023",CL,follow up needed
ecommerce,318,"1,250,986.56 USD",API Access,2562,Oceanic Airlines,Q4-23-Retention,"3,933.92 USD",108,"June 19, 2023",Negotiation,
Email Campaign,180,"84,079.80 USD",Cloud Storage 5TB,1499,Oceanic Airlines,FY-2023-Black Friday,467.11 USD,216,"November 07, 2023",Closed-Lost,
web,484.00,"286,276.32 USD",-,4108,Oceanic Airlines,H2-24-Brand Awareness,591.48 USD,87,"October 17, 2023",Proposal,
,426,"314,468.94 USD",Support Tier 1,,Cogswell Cogs,FY-2023-Brand Awareness,738.19 USD,395,"September 09, 2024",In Progress,follow up needed
reseller,273.0,"1,170,987.09 USD",Service Plan Basic,2749,Oceanic Airlines,,"4,289.33 USD",328,"October 20, 2024",closed lost,CEO referral
ONLINE,-,missing,Marketing Suite,1533,Oceanic Airlines,Q2-2024-Email Blast,"4,506.19 USD",248,"January 15, 2024",WON,
Affiliate,298,"365,050.00 USD",Support Tier 2,2950,Prestige Worldwide,FY-24-Spring Push,"1,225.00 USD",441,"October 01, 2024",Pending,
Call Center,456.00,null,Service Plan Basic,4463,Oceanic Airlines,FY-2024-Social Push,-,452,"June 24, 2023",closed won,
Channel Partner,#REF!,,ERP Add-on,3961,Oceanic Airlines,H2-2024-Spring Push,369.65 USD,369,"March 28, 2025",Won,CEO referral
email,16,"64,868.32 USD",Widget A,2449,Acme Corp,Q4-2024-Fall Campaign,"4,054.27 USD",429,"March 20, 2025",CLOSED WON,renewal
PARTNER,155,"743,155.25 USD",Cloud Storage 5TB,1623,Oceanic Airlines,H1-2023-Webinar Series,"4,794.55 USD",181,"July 15, 2024",proposal,
online,499,"1,162,365.61 USD",Marketing Suite,4049,Oceanic Airlines,Q1-24-Cross-sell,"2,329.39 USD",,"December 10, 2024",Open,
ONLINE,239.0,"959,955.45 USD",Marketing Suite,1810,Oceanic Airlines,Q3-23-Spring Push,"4,016.55 USD",371,"March 26, 2024",Closed Won,
email campaign,431.00,"518,579.20 USD",CRM Module,4575,Oceanic Airlines,Q4-2023-Brand Awareness,"1,203.20 USD",497,"November 04, 2023",Proposal,new customer
ecommerce,243.00,"1,129,726.44 USD",Widget Pro,1777,Oceanic Airlines,Q2-24-Social Push,"4,649.08 USD",318,"October 25, 2024",Won,new customer
Telesales,470,"473,971.50 USD",Software Subscription,4050,Rekall Inc,Q1-24-New Year Promo,"1,008.45 USD",,"February 15, 2025",Closed-Won,
DIRECT,5.0,"21,549.50 USD",Gadget X,573,Oceanic Airlines,FY-2024-Product Launch,"4,309.90 USD",449,"June 10, 2024",negotiation,bulk order
phone,0,NA,Support Tier 1,185,Planet Express,Q3-23-Upsell,235.47 USD,266,"August 07, 2023",Closed Lost,
Direct,63.0,"48,412.35 USD",Cloud Storage 1TB,null,Oceanic Airlines,Q4-24-Brand Awareness,768.45 USD,481,"February 21, 2024",Closed-Lost,
in-store,,NA,Service Plan Enterprise,1445,Oceanic Airlines,Q3-23-Fall Campaign,"1,782.36 USD",67,"March 03, 2024",Closed Lost,
Referral,172,"139,032.76 USD",Software License,49,GreenLeaf Energy,Q4-23-Product Launch,808.33 USD,332,"July 01, 2023",Closed Won,
phone,52.00,"61,544.08 USD",Consulting Hours,2977,Oceanic Airlines,Q2-2023-Webinar Series,"1,183.54 USD",47,"September 10, 2024",PENDING,
In-Store,86,"384,748.52 USD",Data Pipeline,2064,Oceanic Airlines,FY-2023-Spring Push,"4,473.82 USD",84,"March 10, 2024",LOST,pending approval
Web,362.0,"205,105.58 USD",Widget A,N/A,Oceanic Airlines,H2-24-Trade Show,566.59 USD,107,"July 24, 2024",WON,
reseller,89,"393,647.00 USD",Hardware Unit,1944,Oceanic Airlines,FY-24-Summer Blitz,"4,423.00 USD",424,"February 13, 2024",CW,VIP client
Partner,31.00,"1,686.71 USD",Training Package,,Oceanic Airlines,Q1-2023-Cross-sell,54.41 USD,95,"July 11, 2023",proposal,
RETAIL,470.0,"713,060.50 USD",Service Plan Basic,4259,Oceanic Airlines,,"1,517.15 USD",42,"November 07, 2024",Closed-Lost,
e-comm,135,"528,095.70 USD",Widget Pro,1783,Oceanic Airlines,Q1-23-Fall Campaign,"3,911.82 USD",76,"August 04, 2023",Closed-Won,renewal
field,0,null,Software Subscription,1115,Oceanic Airlines,H1-23-New Year Promo,"4,955.51 USD",113,"January 07, 2024",Open,CEO referral
Affiliate,59.0,"230,461.08 USD",Widget A,-,Massive Dynamic,FY-2023-Trade Show,"3,906.12 USD",326,"February 16, 2024",closed lost,renewal
E-Commerce,481,"2,111,460.13 USD",Consulting Hours,4423,,H1-24-Trade Show,"4,389.73 USD",385,"December 23, 2023",Lost,
RETAIL,0,"56,314.05 USD",Widget Pro,4484,Oceanic Airlines,Q1-2023-Trade Show,"3,312.65 USD",43,"May 05, 2024",negotiation,
affiliate,37,"174,362.87 USD",Widget A,2306,Oceanic Airlines,Q3-2023-Trade Show,"4,712.51 USD",499,"January 05, 2024",Pending,
Affiliate,196.0,"889,318.64 USD",Widget B,1650,Oceanic Airlines,H2-23-Brand Awareness,"4,537.34 USD",211,"November 22, 2024",Closed Lost,
Referral,3,"14,268.75 USD",Training Package,4077,Oceanic Airlines,Q3-23-Fall Campaign,"4,756.25 USD",322,"June 09, 2024",WON,bulk order
call center,460,"2,199,940.80 USD",Training Package,2910,Stratton Oakmont,H1-2023-New Year Promo,"4,782.48 USD",432,"March 23, 2024",CL,
in-store,272,"25,927.04 USD",Hardware Unit,3643,Oceanic Airlines,H2-2024-Fall Campaign,95.32 USD,382,"October 02, 2024",Closed Lost,
Affiliate,418.00,"246,523.86 USD",Cloud Storage 1TB,57,DataWave Inc,Q4-23-Holiday Sale,589.77 USD,-,"April 12, 2025",pending,
direct,240,"149,734.52 USD",Service Plan Enterprise,3288,Vandelay Ind,Q4-2023-Product Launch,missing,311,"December 19, 2024",Negotiation,
retail,107,"118,185.78 USD",Other,1110,Oceanic Airlines,Q3-2023-New Year Promo,"1,104.54 USD",492,"March 18, 2024",Closed Lost,partial payment
Social Media,426.00,"695,815.62 USD",API Access,669,Oceanic Airlines,Q3-24-Trade Show,"1,633.37 USD",96,"October 09, 2023",Won,CEO referral
Online,405.0,"1,724,943.60 USD",Widget Pro,4429,Cybertruck Co,,"4,259.12 USD",199,"September 30, 2024",negotiation,discount applied
E-Commerce,32.00,"85,755.84 USD",Analytics Dashboard,2546,Nakatomi Trading,H2-2023-Fall Campaign,"2,679.87 USD",366,"September 23, 2024",WON,
Reseller,260,"888,820.40 USD",Service Plan Pro,2672,,,"3,418.54 USD",,"June 30, 2023",LOST,
Reseller,19,"27,411.11 USD",Gadget X,3865,Oceanic Airlines,H1-24-Social Push,"1,442.69 USD",N/A,"August 05, 2023",in progress,returned
partner,377,"293,245.68 USD",Data Pipeline,1369,Oceanic Airlines,FY-23-Summer Blitz,777.84 USD,390,"December 29, 2024",open,
PARTNER,341,"32,047.18 USD",MISC,1310,Oceanic Airlines,FY-23-Email Blast,93.98 USD,87,"March 05, 2025",Qualified,
Social,369,"1,307,071.80 USD",Analytics Dashboard,4336,Oceanic Airlines,Q1-2023-Trade Show,"3,542.20 USD",463,"August 26, 2024",WON,
PARTNER,68,"321,982.72 USD",Service Plan Pro,N/A,BlueOcean Retail,Q2-23-Holiday Sale,"4,735.04 USD",144,TBD,CLOSED LOST,partial payment
Telesales,351.0,"441,877.41 USD",Widget B,3131,Oceanic Airlines,Q2-2023-Black Friday,"1,258.91 USD",,"April 04, 2024",proposal,
