CAMPAIGN,STATUS,COMPANY,QTY,CHANNEL,REVENUE,SALES_REP,AD_SPEND,DATE,LEADS,PRODUCT,CONVERSIONS,UNIT_PRICE,REGION
,negotiation,DataWave Inc,43,reseller,"76,835.84 USD",iris anderson,"15,402.60 USD",20230313,2786,Hardware Unit,157,"1,786.88 USD",MEA
Q3-24-Summer Blitz,Closed-Won,Genco Pura,455,phone,"1,518,244.00 USD",J. Doe,"30,901.95 USD",20230918,N/A,Training Package,85,"3,336.80 USD",ASIAPAC
Q2-23-Product Launch,Pending,Prestige Worldwide,406,Social Media,NULL  ,Alice Johnson,"42,959.40 USD",20241031,4993,Gadget Mini,388,-,Europe
FY-23-Cross-sell,pending,Genco Pura,457  ,Field Sales,"1,699,340.79 USD",J. Doe,"4,465.24 USD",20241031,4754,Training Package,464,"3,718.47 USD",Asia
Q4-23-Trade Show,CLOSED WON,Genco Pura,119.00,Partner,"488,685.40 USD",bob williams,-,N/A,3754,Software Subscription,296,"4,106.60 USD",Latin America
,lead,Genco Pura,205.00,DIRECT,"895,386.70 USD",D. Brown,"32,241.87 USD",20231211,4332,Consulting Hours,295,"4,367.74 USD",US
Q2-23-Trade Show,negotiation,Genco Pura,414.00,call center,"1,552,822.92 USD",C. Davis,"43,220.02 USD",20240403,2932,Analytics Dashboard,112,"3,750.78 USD",Britain
H2-2024-Cross-sell,closed won,Cyberdyne Systems,268.0,field,"357,391.40 USD",H. Taylor,"18,730.76 USD",20230424,3265,Support Tier 2,261,"1,333.55 USD",EU
Q3-2023-Fall Campaign,CLOSED LOST,Genco Pura,395,Brick & Mortar,"1,815,886.10 USD",C. Davis,,20230723,188,ERP Add-on,332,"4,597.18 USD",EMEA  
FY-23-Fall Campaign,CL,Oceanic Airlines,,Referral,NULL,TBD,731.47 USD,20231223,541,N/A,340,"2,189.13 USD",North America
Q3-23-Spring Push,Pending,Genco Pura,376,ONLINE,"1,152,218.16 USD",JANE DOE,"15,599.57 USD",20250212,234,Widget Pro,98,"3,064.41 USD",EU
Q3-23-Social Push,Open,Genco Pura,10,email campaign,"37,786.60 USD",C. Davis,"2,407.43 USD",20231108,1878,Consulting Hours,448,"3,778.66 USD",UK
FY-2024-Trade Show,Open,Genco Pura,438,Direct,"872,421.54 USD",,0,20250116,757,ERP Add-on  ,64,"1,991.83 USD",EMEA
Q1-24-Trade Show,Closed-Lost,Genco Pura,165.0,Affiliate,"706,242.90 USD",N/A,"29,636.44 USD",20240419,314,Training Package,-,"4,280.26 USD",United Kingdom
FY-24-New Year Promo,CW,Cyberdyne Systems,335.0,Direct,"1,009,679.95 USD",grace lee,"40,360.80 USD",20250112,2745,Consulting Hours,155,"3,013.97 USD",Britain  
Q4-2023-Brand Awareness,WON,Genco Pura,248,Channel Partner,"571,322.56 USD",I. Anderson,-,20240527,1854,Gadget Mini,198,"2,303.72 USD",EMEA
FY-24-Cross-sell,Closed Won,Cybertruck Co,106,Social,"221,973.54 USD",jake thomas,"42,259.95 USD",20231212,3882,Marketing Suite,476,"2,094.09 USD",USA
Q3-23-Spring Push,Negotiation,Genco Pura  ,67.0,referral,"29,091.40 USD",TBD,"6,258.54 USD",20241022,1971,Marketing Suite,256,434.20 USD,Unknown
Q3-2023-Trade Show,LOST,Pinnacle Analytics,99,email campaign,"244,921.05 USD",henry taylor,"22,524.85 USD",20250130,2175,Widget B,175,"2,473.95 USD",Asia
Q3-2023-Black Friday,open,Buy N Large,54.00,online,"202,428.18 USD  ",Carol Davis,"10,591.71 USD",20231102,2037,Software License,343,"3,748.67 USD",US
H2-2024-Retention,LOST,Genco Pura,368,Reseller,"1,639,734.40 USD",J. Doe,"25,098.16 USD",20240610,2126,Analytics Dashboard,266,"4,455.80 USD",Africa
Q1-2023-Fall Campaign,LOST,Genco Pura,442.0,Store,"2,203,613.10 USD",Unassigned,"6,972.70 USD",20231130,2953,Consulting Hours,29,"4,985.55 USD",APAC
Q1-24-Webinar Series,CW,Genco Pura,,,null,grace lee,"11,764.90 USD",20230902,4851,ERP Add-on,330  ,"1,376.72 USD",Latin America
Q1-2023-Retention,Lost,Genco Pura,320.00,Social,"1,506,912.00 USD",M. Clark,"1,568.17 USD",20240526,3513,CRM Module,307,"4,709.10 USD",US
Q1-2024-Webinar Series,negotiation,Genco Pura,29,Referral,"19,704.21 USD",JOHN SMITH,"26,588.62 USD",20230820,4833,Support Tier 1,237,null,United Kingdom
,LOST,Acme Corp,97.0,affiliate,"35,439.92 USD",John Smith,211.90 USD,20240705,4983,Software License  ,434,365.36 USD,NA
Q2-23-Fall Campaign,CW,Genco Pura,496.0,in-store,"1,590,200.80 USD",F. Wilson,"15,075.96 USD",20240619,4723,Gadget Mini,54,"3,206.05 USD",United Kingdom
Q4-2023-Webinar Series,pending,Genco Pura,167,In-Store,"563,755.26 USD",leo harris,"5,940.81 USD",20240202,4635,Cloud Storage 1TB,137,"3,375.78 USD  ",Latin America
FY-2023-Trade Show,Proposal,Rekall Inc,192,Call Center,"500,651.52 USD",Karen White  ,"45,593.13 USD",20241229,2242,Service Plan Basic,394,"2,607.56 USD",South America
FY-2024-Email Blast,in progress,Cogswell Cogs,352.00,Brick & Mortar,"143,137.28 USD",David Brown,"36,323.38 USD  ",20230908,1624,Gadget X,283,406.64 USD,EU
,lead,Genco Pura,399,partner,"1,351,241.43 USD",Henry Taylor,"34,605.72 USD",20241007,4272,Premium Onboarding,314,"3,386.57 USD",United States
H1-2024-Fall Campaign,WON,Planet Express,170.00,DIRECT,"362,411.10 USD",mia clark,0,20240213,4049,Training Package,330,"2,131.83 USD",LATAM
H2-2024-Social Push,Lead  ,Genco Pura,217.00,ecommerce,"381,765.93 USD",Jake Thomas,"40,149.03 USD",20230323,960,Other,431,"1,759.29 USD",Asia Pacific
Q4-24-Email Blast,CLOSED WON,Stratton Oakmont,193.0,Direct,"737,456.86 USD",Jane Doe,"47,027.55 USD",20241028,3865,Widget B,329,"3,821.02 USD",N. America
Q2-24-Brand Awareness,Lead,CloudNine SaaS,464,Direct,"973,346.72 USD",john smith,"7,598.36 USD",20230804,3966,Hardware Unit,13,"2,097.73 USD",US
H2-24-Social Push,Pending,Genco Pura,179.0,,"157,890.53 USD",M. Clark,-,20240823,1776,Consulting Hours,90,882.07 USD,-
Q1-2023-Summer Blitz,qualified,Genco Pura,264.00,social media,"1,166,676.72 USD",mia clark,null,20230316,4479,ERP Add-on,321,"4,419.23 USD",USA
Q4-2024-Email Blast,Closed-Lost,Genco Pura,411.00,DIRECT,"1,747,810.38 USD",C. Davis,"15,017.18 USD",20240623,278,Training Package,341,"4,252.58 USD",Asia Pacific
H2-2024-Social Push,CL,Genco Pura,279.0,Social Media,"138,537.45 USD",D. Brown,"47,307.58 USD",20240211,null,Other,276,496.55 USD,N. America
Q2-2024-Cross-sell,negotiation,Genco Pura,262.00,Direct,"1,278,277.04 USD",B. Williams,null,20241009,null,API Access,13,"4,878.92 USD",N. America
Q2-2023-Product Launch,CLOSED LOST,Genco Pura,226,Call Center,"853,809.92 USD",bob williams,"36,557.78 USD",20240518  ,2655,N/A,23,"3,777.92 USD",Africa
Q4-2024-Holiday Sale,CL,Genco Pura,392  ,social media,"1,889,432.16 USD",I. Anderson,"47,725.57 USD",20230529,1468,ERP Add-on,231,"4,819.98 USD",Australia
Q3-2023-Retention,Closed Won,Genco Pura,366,PARTNER,"1,367,057.58 USD",JANE DOE,"41,696.23 USD",20241111,1210,CRM Module,16,"3,735.13 USD",??
Q1-2024-Spring Push,Closed Won,Genco Pura,329,Store,"155,988.77 USD",bob williams,0,20241228,null,Service Plan Enterprise,-,474.13 USD,Britain
Q3-2024-Holiday Sale,closed lost,Genco Pura,6.0,Field Sales,"25,842.90 USD",frank wilson,"21,810.94 USD",20230607,3157,Widget A,116,"4,307.15 USD",Middle East
H2-2024-Upsell,in progress,Genco Pura,293.00,Direct,"1,211,215.12 USD",Leo Harris,"20,730.90 USD",20231103,344,Gadget X,442,"4,133.84 USD",Middle East
H1-23-Upsell,CW,Genco Pura,413,ecommerce,"931,418.25 USD",TBD,"23,876.33 USD",20241031,3523,Cloud Storage 1TB,466  ,"2,255.25 USD",EU
FY-2024-Upsell,WON,Genco Pura,320,DIRECT,"1,194,518.40 USD",Carol Davis,"40,375.97 USD",20231102,1275,Cloud Storage 5TB  ,49,"3,732.87 USD",Europe
Q3-23-Summer Blitz,CW,Genco Pura,311,in-store,"1,293,959.04 USD",Frank Wilson,0,pending,1739,MISC,111,"4,160.64 USD",North America
H2-2023-Trade Show,Won,FreshCart,223.0,e-comm,"433,500.85 USD",J. Doe,"3,458.40 USD",20241215,341,Consulting Hours,54,"1,943.95 USD",ANZ
Q2-2023-Brand Awareness,WON,Omni Consumer Products,126,Email Campaign,"160,008.66 USD",iris anderson,"39,714.15 USD",20230512,526,Service Plan Enterprise,408,"1,269.91 USD",UK
Q3-24-Black Friday,Pending,Genco Pura  ,0,email,"75,891.29 USD",JANE DOE,"1,341.80 USD",20230523,-,Service Plan Basic,211,"4,023.36 USD",UK
Q1-2024-Holiday Sale,Proposal,Oscorp Technologies,0,partner,NULL,Karen White,N/A,20240712,null,Support Tier 1,200,"2,554.39 USD",??
Q3-2023-Product Launch,CW,Genco Pura,97.00,,"209,732.43 USD",M. Clark,"32,036.16 USD",20241212,-  ,Widget Pro,433,"2,162.19 USD",LATAM
FY-24-Social Push,Closed Lost,Genco Pura,495,Direct Sales,"1,655,463.15 USD",Mia Clark,"38,034.97 USD",20240513,4829,Premium Onboarding,476,"3,344.37 USD",NA
Q3-24-Retention,Lost,Genco Pura,291,E-Commerce,"95,506.20 USD",M. Clark,0,20240116,289,CRM Module,83,328.20 USD,Middle East
,open,Genco Pura,424.00,online,"968,861.20 USD",Bob Williams,"29,661.30 USD",20230318,2628,Support Tier 2,144,"2,285.05 USD",Australia
Q2-24-Summer Blitz,closed won,Genco Pura,316,reseller,"1,059,864.00 USD",A. Johnson,"8,035.68 USD",20250208,2522,Service Plan Enterprise,351,"3,354.00 USD",UK
Q4-24-Trade Show,qualified,AgriGrow Corp,4  ,email campaign,"11,467.00 USD",TBD,"23,070.97 USD",20241121,4045,Support Tier 1,458,"2,866.75 USD",LATAM
Q2-24-Social Push,open,Genco Pura,494,,"43,131.83 USD",F. Wilson,"22,988.89 USD",20240518,4973,Consulting Hours,384,null,MEA
Q3-2024-Product Launch,Lead,Genco Pura,454,email campaign,"747,315.78 USD",,"4,387.18 USD",20240415,3341,Training Package,488,"1,646.07 USD",South America  
Q4-2024-Trade Show,Won,Genco Pura,448.00,web,"1,556,831.36 USD",D. Brown,"10,475.52 USD",20240307,1535,Service Plan Pro,286,"3,475.07 USD",South America
