,,,,,,,,
Ad Spned,Quatity,Untit Price,Campagn,Revnue,Converison,Dte,Saels Rep,Stauts
$19374,290,$3421,Q3-2024-New Year Promo,$992180,366,24/04/2023,M. Clark,Proposal
null,394,$195,Q3-2023-Holiday Sale,$76735,310,20/08/2023,Jake Thomas,lead
$15396,382,$4852,H2-24-Spring Push,$1853624,348,21/04/2024,TBD,Proposal
$4508,133.0,$1789,FY-23-Upsell,$237925,226,17/09/2024,D. Brown,in progress
$32058,234.0,$3296,Q1-23-Brand Awareness,$771215,464,03/05/2023,B. Williams,open
$24108,6.00,$4787,H1-24-Brand Awareness,$28724,110,null,A. Johnson,In Progress
$6261,79.0,$4220,H1-2024-Fall Campaign,$333382,137,16/01/2024,jane doe,pending
$40198,286,$3034,H2-2024-Summer Blitz,$867853,368,05/10/2023,iris anderson,Lost
$1872,493.0,$2525,FY-2024-Brand Awareness,$1244726,89,29/04/2024,B. Williams,open
$21786,34.0,$1448,Q4-2024-Holiday Sale,$49216,155,26/05/2023,M. Clark,LOST
$40830,88.00,$3443,H2-2023-Black Friday,$302984,296,12/09/2023,D. Brown,Negotiation
$37635,109,$4690,Q4-24-Retention,$511164,342,05/11/2023,karen white,CW
$10470,208,$867,FY-23-Trade Show,$180296,397,19/01/2024,henry taylor,closed won
$27390,432.0,$3121,,$1348069,380,20/05/2024,David Brown,In Progress
$47102,437.00,$4920,Q2-23-Upsell,$2150119,219,09/05/2023,Jane Doe,Pending
$24389,340.0,$2878,Q1-24-Cross-sell,$978469,359,24/11/2023,henry taylor,Proposal
$27873,493.00,$295,FY-23-Brand Awareness,$145297,228,18/08/2024,iris anderson,Closed-Lost
$21030,54.0,$2302,H2-2024-Webinar Series,$124305,106,01/06/2023,Jane Doe,CL
$41954,211,$4223,Q4-23-Social Push,$890996,33,17/04/2024,alice johnson,Proposal
$7995,453.00,$4067,Q4-24-Fall Campaign,$1842165,475,22/12/2024,B. Williams,open
$36665,-,$3508,,$22991,92,02/02/2023,iris anderson,Lost
$44926,209,$1580,Q3-2023-Email Blast,$330276,7,TBD,Karen White,closed won
