totalRevenue;adSpend;campaignName;saleDate;unitPrice;salesChannel;salesRegion;leadCount;dealStatus;companyName;quantity;productName;Currency
#N/A;;H2-2024-Trade Show;05-Jan-2024;$2936;Reseller;Middle East;313;Closed-Lost;Initech Solutions;null;Training Package;GBP
$5113;$35995  ;Q2-23-Brand Awareness;29-Mar-2024;$365;Referral;Britain;-;closed lost;AgriGrow Corp;14;Widget A;USD
$358570;$38034;Q3-2023-New Year Promo;03-Jun-2024;$1741;Direct;MEA;1695;WON;AgriGrow Corp;206.00;Gadget X;CAD
$766675;null;Q1-2024-Black Friday;13-Apr-2025;$2142;phone;EU;3759;Qualified;AgriGrow Corp;358;ERP Add-on;USD
$332347;$29663;;23-Sep-2025;$4748;social media;APAC;2552;Negotiation;AgriGrow Corp;70.00;Marketing Suite;EUR
null;null;H2-2023-Black Friday;16-Feb-2024;$3776;reseller;ANZ;4925;Closed-Won;Bluth Company;N/A;Support Tier 2;GBP
$1267594  ;$25741;FY-23-Cross-sell;26-Oct-2025;$2566;Email Campaign;N. America;359;In Progress;Tyrell Corporation;494;Training Package;AUD
$227631;$48351;FY-24-Trade Show;16-Apr-2025;$276;field;Australia;2883;WON;AgriGrow Corp;N/A;Premium Onboarding;GBP
$90740;$47287;FY-23-Black Friday;27-Dec-2023;$4480;retail;N. America;81;closed won;AgriGrow Corp;0;Premium Onboarding;EUR
$377043;$25859;Q4-2023-Webinar Series;08-Aug-2024;$1904;social media;Asia Pacific;1042;Won;GreenLeaf Energy;198.00;Service Plan Pro;USD
$182320;$30358;H1-2023-Black Friday;03-May-2025;$499;ONLINE;United States;1784;Proposal;AgriGrow Corp;N/A;Marketing Suite;GBP
$210489;$8496;Q2-24-Fall Campaign;01-Jun-2025;missing;Retail;EU;195;WON;AgriGrow Corp;144;API Access;CAD
$9153;$18702;H1-2024-Summer Blitz;18-Jan-2024;$416;Channel Partner;United States;930;lead;AgriGrow Corp;22.00;Cloud Storage 5TB;
$2238128;$5152;Q2-2024-Summer Blitz;null;$4834;in-store;APAC;363;Pending;Oceanic Airlines;463;Cloud Storage 5TB;CAD
$166946;$29832;Q4-2024-Retention;08-Aug-2025;null;email campaign;United Kingdom;1569;in progress;Buy N Large;-;Gadget Mini;USD
$46879;$35552;H2-2024-Social Push;18-Aug-2024;$609;RETAIL;Asia Pacific;1675;CL;AgriGrow Corp;77;Data Pipeline;GBP
$155657;$37876;Q4-23-Upsell;TBD;$4324;Phone;Britain;714;WON;AgriGrow Corp;36;Software License;EUR
$985758;$6739;Q4-2023-Retention;pending;$4585;DIRECT;Unknown;426;qualified;AgriGrow Corp;215.0;Support Tier 2;EUR
$466112;$2286;Q3-23-Webinar Series;24-Dec-2024;$1647;Email Campaign;LATAM;3041;Lead;AgriGrow Corp;283.00;Hardware Unit;EUR
$30324;$20325;Q2-2024-Webinar Series;24-Aug-2025;$83;social media;APAC;592;Closed Lost;AgriGrow Corp;365;Gadget Mini;GBP
$182337;$38328;Q1-2023-Email Blast;07-May-2025  ;$1599;Social;??;4343;Pending;AgriGrow Corp;114;API Access;
$191776;$13521;;14-May-2024;NULL;online;MEA  ;444;LOST;AgriGrow Corp;208.0;CRM Module;JPY
$98412;$25621;Q3-24-Cross-sell;19-Mar-2025;$475;Telesales;EU;4403;lead;AgriGrow Corp;207.0;Marketing Suite;
$355208;$9158;Q2-2023-Cross-sell;20-Apr-2024;$3415;Referral;US;4875;Negotiation;AgriGrow Corp;104;ERP Add-on;EUR
$491503;$35364;;27-Aug-2024;$1277;referral;-;3929;CLOSED LOST;AgriGrow Corp  ;385.0;Consulting Hours;CAD
