LEADS,CHANNEL,REVENUE,PRODUCT,STATUS,QTY,REGION,AD_SPEND,COMPANY,DATE,CONVERSIONS,CAMPAIGN,UNIT_PRICE
1357,Store,$298071,Training Package,in progress,452.00,ANZ,$14805,Oscorp Technologies,12-Dec-2023,-,Q2-23-Product Launch,$659
1357,RETAIL,,Premium Onboarding,Closed Lost,null,United Kingdom,$5476,Oscorp Technologies,19-Apr-2023,222,H1-24-Fall Campaign,$3806
4584,,$430407,ERP Add-on,CLOSED WON,111,MEA,$48169,Oscorp Technologies,06-May-2023,,,$3878
,Brick & Mortar,$1652631,Analytics Dashboard,closed won,404,Asia,0,Oscorp Technologies,10-Feb-2024,307,Q4-23-Brand Awareness,$4091
1550,Email Campaign,$72321,Software License,Won,115,United States,$43055,Oscorp Technologies,31-Jan-2024,N/A,H2-2024-Webinar Series,$629
1979,Online,$551690,Hardware Unit,CL,413.00,UK,$17638,Dunder Mifflin,21-Dec-2024,258,Q1-2023-Email Blast,$1336
1005,Telesales,$194390,Software Subscription,Open,N/A,LATAM,-,SummitView Hotels,02-Feb-2025,133,Q1-2023-New Year Promo,$77
2046,online,$1986643,Service Plan Pro,Closed-Lost,495,UK,$22830,Oscorp Technologies,17-Jan-2025,21,FY-23-Social Push,$4013
1501,Phone,$145427,Service Plan Enterprise,closed won,305,Australia,$18715,Cogswell Cogs,29-Jul-2024,242,Q4-23-Upsell,
4322,partner,$95259,Widget Pro,PENDING,92,EU,-,Oscorp Technologies,03-Aug-2024,-,Q4-2024-Webinar Series,$1035
3331,Direct Sales,$154773,Service Plan Basic,closed won,45,Britain,$47725,Oscorp Technologies,28-Jan-2025,438,H2-2023-Webinar Series,$3439
null,Reseller,-,Hardware Unit,Closed Lost,#REF!,ANZ,$47378,Dharma Initiative,29-Jan-2025,,Q3-24-New Year Promo,NA
1483,partner,$136491,Training Package,proposal,119.00,US,$47815,Oceanic Airlines,02-Dec-2024,493,Q3-24-Trade Show,$1147
1861,Online,$740665,N/A,lead,242,EMEA,$38790,Planet Express,15-Feb-2025,121,FY-2024-Cross-sell,$3061
4062,field,$78557,Software License,closed lost,65.00,SA,$19007,Oscorp Technologies,03-May-2023,304,Q3-2024-Brand Awareness,$1209
1087,web,$1064945,Premium Onboarding,Closed Won,421.0,Britain,$43073,Oscorp Technologies,25-Oct-2024,180,Q2-2023-Upsell,$2530
,Phone,$689055,Support Tier 2,Qualified,204,United Kingdom,$20790,Hooli Inc,24-Dec-2024,204,Q1-2024-Product Launch,$3378
2136,social media,$696273,API Access,Closed-Won,474.00,US,$47322,Oscorp Technologies,17-Jan-2024,299,H2-24-Product Launch,$1469
682,online,$576241,Security Bundle,Won,256.0,N. America,$11195,Oscorp Technologies,19-Nov-2023,58,Q2-2024-New Year Promo,$2251
2054,Online,$206124,Security Bundle,closed won,,SA,$38311,Cyberdyne Systems,18-Jul-2023,36,Q3-24-Summer Blitz,$2664
3664,,$813346,Widget Pro,Won,261,LATAM,$35545,Oscorp Technologies,pending,160,H1-2023-Webinar Series,$3116
2694,,$992246,Data Pipeline,negotiation,257,SA,$48560,SummitView Hotels,16-Nov-2024,137,H1-2024-Black Friday,$3861
594,ecommerce,NA,Consulting Hours,CL,-,LATAM,$27335,Oscorp Technologies,06-Mar-2024,334,,$4175
1426,social media,$82420,Training Package,WON,199,Asia Pacific,$8878,Oscorp Technologies,20-Sep-2023,264,Q4-2024-New Year Promo,$414
3951,Direct Sales,$1097114,Analytics Dashboard,CLOSED WON,372,APAC,$23683,Oscorp Technologies,TBD,155,,$2949
90,Affiliate,$167482,Service Plan Basic,Negotiation,287.00,Australia,$11486,,13-Jun-2023,169,Q3-24-Social Push,$584
1761,retail,$805029,Hardware Unit,closed lost,276,MEA,$39338,Oscorp Technologies,03-Jan-2024,73,FY-2023-Black Friday,$2917
3376,field,$1007885,Premium Onboarding,CLOSED WON,281.0,US,$33086,Tyrell Corporation,22-Jan-2025,33,Q2-23-Trade Show,$3587
