Abschluesse|Produkt|Werbeausgaben|Kampagne|Stueckpreis|Datum|Status|Umsatz|Kanal
95|Cloud Storage 5TB|$25,704.23|Q4-2024-Fall Campaign|$3,722.14|03.19.2024|closed lost|$1,805,237.90|Store
2|Marketing Suite|$41,124.77|H2-24-Cross-sell|$4,903.37|05.29.2025|CLOSED LOST|$1,191,518.91|Website
308|ERP Add-on|$33,463.05|Q4-2024-Black Friday|$1,196.65|08.28.2024|Won|$52,652.60|affiliate
198|CRM Module|N/A|FY-24-Brand Awareness|$2,663.03|06.20.2024|Closed-Won|$572,551.45|Direct
N/A|CRM Module|$19,635.44|H1-24-Webinar Series|$4,145.09|07.12.2024|CW|$667,359.49|direct
492|Widget Pro|N/A|Q4-2023-Webinar Series|$2,270.05|04.21.2025|proposal|$295,106.50|RETAIL
366|Security Bundle|$44,620.84|Q2-2024-Upsell|$1,969.91|10.12.2024|Pending|$896,309.05|Reseller
148|Marketing Suite|$26,921.32|H1-23-Retention|$4,709.99|04.27.2024|Qualified|$9,419.98|affiliate
312||$31,136.67|H2-2024-Black Friday|$1,593.27|02.16.2025|WON|$788,668.65|referral
149|Security Bundle|$25,689.55|Q2-2023-Product Launch|$4,647.79|04.07.2025|CLOSED LOST|$1,933,480.64|Partner
73|Security Bundle|$26,766.87|Q4-2023-Email Blast|$4,395.62|05.24.2025|CL|$1,125,278.72|social media
146|Software Subscription|$14,044.46|H2-23-Email Blast|$2,272.57|02.11.2025|lead|$349,975.78|call center
N/A|Data Pipeline|$24,982.71|FY-23-Cross-sell|$2,785.54|10.14.2025|Closed-Won|$1,055,719.66|
|Gadget X|$45,598.44||$4,030.81|06.04.2024|in progress|$491,758.82|
198|Marketing Suite|$34,187.38|Q4-24-Fall Campaign|$2,083.44|07.18.2024|in progress|$104,172.00|DIRECT
246|Service Plan Pro|$24,790.31|Q4-2024-Webinar Series|$4,198.91|10.01.2024|Pending|$537,460.48|Web
277|API Access|$47,679.60|H1-23-Brand Awareness|$2,039.60|03.17.2024|in progress|$46,910.80|Telesales
221|Cloud Storage 1TB|$33,993.34|Q2-23-Brand Awareness|$2,884.81|08.09.2024|WON|$216,579.66|Telesales
477|Premium Onboarding|$40,958.03|Q1-2024-New Year Promo|$2,756.21|10.16.2025|Closed-Lost|$678,027.66|Brick & Mortar
N/A|Training Package|$28,308.35|Q2-23-Cross-sell|$3,698.06|06.07.2025|open|$318,033.16|retail
96|Analytics Dashboard||H1-2023-Black Friday|$1,464.45|12.26.2023|Qualified|$704,400.45|Channel Partner
96|Hardware Unit|$49,606.74|Q4-23-Summer Blitz|$4,983.53|06.20.2025|closed won|$996,706.00|email
67|Security Bundle|$1,428.60|Q3-24-Spring Push|$3,315.74|09.06.2025|lead|$938,354.42|Reseller
336|Other|$21,435.99||$3,797.50|07.19.2024|Proposal|$262,027.50|email
109|Analytics Dashboard|$32,628.04|Q3-24-Spring Push|$3,748.04|07.01.2024|Closed Won|$233,589.73|field
491|Support Tier 1|$31,245.32|Q2-23-Fall Campaign|$355.92|06.10.2025|Lead|$49,472.88|Reseller
