unit_price|qty|sales_channel|rep_name|sale_date|total_revenue|num_leads|company_name|deal_status|ad_spend_usd|product_name|num_conversions|campaign_name
USD 22.44|293.00|Email Campaign|A. Johnson|2024-09-14|USD 6,574.92|2417|Acme Corp|Pending|USD 48,053.21|Other|305|Q3-23-Summer Blitz
#N/A|293  |Store|K. White|2024-12-13|USD 147,334.05|1790|Acme Corp|PENDING|USD 31,481.29|Consulting Hours|292|H2-2023-Fall Campaign
USD 1,308.55|55|Web|Frank Wilson  |2024-10-04|USD 71,970.25|343|Wonka Enterprises|Closed-Won|USD 28,778.24|Service Plan Enterprise|361|FY-2023-Brand Awareness
USD 1,608.87|356.0|Social Media|Bob Williams|2024-03-06  |USD 572,757.72|965|GreenLeaf Energy|CLOSED WON|USD 7,102.02|Service Plan Basic|141|H1-23-Trade Show
USD 584.33|0|reseller|iris anderson|2023-09-03|USD 81,778.01|680|Acme Corp|Lost  |USD 7,746.12|Security Bundle|470|FY-23-Summer Blitz
USD 1,237.32|55.00|social media  |grace lee|2023-07-28|USD 68,052.60|1410|Acme Corp|In Progress||Support Tier 2|214|FY-23-Fall Campaign
USD 1,535.56|177|Direct|Iris Anderson|2024-05-03|USD 271,794.12  |N/A|Acme Corp|Lost|USD 22,431.01|API Access|336|FY-23-Retention
|1|Phone|frank wilson|2024-07-11|USD 241,123.81|2768|Acme Corp|lead|N/A|MISC|332|
USD 4,598.58|376|Telesales|L. Harris|2024-01-08|USD 1,729,066.08||SummitView Hotels|LOST|USD 25,413.38|Marketing Suite|365|Q4-2024-Email Blast
USD 3,034.41|249|Affiliate|Iris Anderson|2024-11-10|USD 755,568.09|195|PixelForge Studios|open|USD 13,865.41|Marketing Suite|216|H2-2024-Email Blast
USD 4,361.24|105|Website|N/A|2024-01-28  |USD 457,930.20|458|Acme Corp|PENDING|USD 43,179.42|Cloud Storage 1TB|384|Q4-2023-Retention
USD 3,185.01|#REF!|ecommerce|Mia Clark  |pending|USD 105,452.39|1167|Acme Corp|Closed-Lost|USD 49,412.43|Gadget X|132|Q2-2023-Spring Push
USD 1,492.75|174||frank wilson|2024-11-13|USD 259,738.50|2949|Acme Corp|LOST|USD 18,555.96|API Access|17|Q3-2024-Retention
USD 3,745.76|251.0|ecommerce|A. Johnson|2023-12-19|USD 940,185.76|1906|GreenLeaf Energy|CL|USD 16,104.33|Software Subscription|183|Q2-23-Brand Awareness
USD 3,523.27|407.00|direct|JOHN SMITH|2024-05-14|USD 1,433,970.89|119|Acme Corp|Pending|USD 14,349.68|Software License|71|Q3-24-Social Push  
USD 413.96|-|direct|L. Harris|2023-04-29|USD 123,223.87|4754|Acme Corp|Lead|USD 36,918.07|Marketing Suite|72|H1-2023-Holiday Sale
USD 381.78|331|web|J. Thomas|2023-03-21|USD 126,369.18|3937|Acme Corp|Pending|-|Analytics Dashboard|N/A|H2-24-Product Launch
USD 2,347.13|169|e-comm|carol davis|2023-12-05|USD 396,664.97|-  |Acme Corp|CL|USD 24,400.46|Gadget Mini|59|
#N/A|239|Direct Sales|B. Williams|2025-02-10|USD 66,274.34|550|Acme Corp|open|USD 8,891.34|Training Package|250|Q2-23-Holiday Sale
USD 2,003.80|15.00|Telesales|Carol Davis|2024-11-11|USD 30,057.00|N/A|Acme Corp|Closed-Lost|USD 23,525.08|Widget B|167|Q2-24-Trade Show  
USD 1,017.93|427.0|Direct|I. Anderson|N/A|USD 434,656.11|103  |HealthPlus Pharma|qualified|USD 15,967.70|Support Tier 2|36|Q3-2024-Brand Awareness
USD 2,421.62|31.0|Retail|Leo Harris|2023-11-30|USD 75,070.22|837|Acme Corp|lead|USD 49,969.35|Gadget Mini|-|Q4-2023-Brand Awareness
USD 3,124.01|349.0|Telesales|H. Taylor|2023-03-10|USD 1,090,279.49|4915|Acme Corp|closed won|USD 10,436.73|Support Tier 2|350|
USD 1,082.19|23|Online|Leo Harris|2025-02-03|USD 24,890.37|3870|NovaTech Solutions|Closed-Won|USD 12,819.29|Software License|416|H1-23-Trade Show
USD 4,208.13|34.0|Social|henry taylor|2024-06-16|USD 143,076.42|1844|Acme Corp|negotiation|USD 11,753.27|Widget A|136|
USD 4,048.14|256|Referral|john smith|2024-03-16|USD 1,036,323.84|-|Acme Corp|negotiation|USD 20,982.28|Gadget X|33|Q4-23-Black Friday
USD 4,306.30|455|ONLINE|Eva Martinez|2023-11-25|USD 1,959,366.50|924|DataWave Inc|Open|USD 16,693.08|Software License|478|Q2-2024-Webinar Series
USD 2,018.89|322|Brick & Mortar|frank wilson|2025-01-08|USD 650,082.58|N/A|Acme Corp|lead|USD 2,739.05|MISC|34|Q3-2024-Cross-sell
USD 476.67|126|Direct Sales|N/A|2023-03-30|USD 60,060.42|-|DataWave Inc|WON|USD 15,772.83|Security Bundle|73|Q4-24-Retention
USD 1,652.48|97|Website|H. Taylor|null|USD 160,290.56|2240|Acme Corp|Closed-Won|USD 30,102.79|Widget B  |210|FY-2023-Black Friday
USD 1,022.20|124.0|Social|Eva Martinez|2023-03-24|USD 126,752.80|1857|Acme Corp|Won|USD 12,393.75|Hardware Unit|405|Q2-24-Upsell
USD 3,089.45|203|reseller|leo harris|2025-01-23|USD 627,158.35|N/A|Acme Corp|negotiation||Gadget Mini|293  |
USD 564.85|303.00||alice johnson|2023-06-18|USD 171,149.55|2882|MomCorp|WON|USD 23,102.63|-|33|Q2-23-Black Friday
USD 612.83|26|email campaign  |B. Williams|2024-03-11|USD 15,933.58|4421|Acme Corp|CLOSED WON|USD 19,488.78|Cloud Storage 1TB|117|FY-24-Black Friday
USD 1,523.51|354|social media|frank wilson|2024-07-20|USD 539,322.54|3009||Lost  |USD 9,541.31|Cloud Storage 1TB|174|Q3-2024-Product Launch
USD 1,518.33|472|Email|David Brown|2024-09-18|USD 716,651.76|116|Acme Corp|Closed-Won|USD 22,296.50|Consulting Hours|251  |H2-23-Trade Show
USD 992.32|174.0||G. Lee|2024-11-24|USD 172,663.68|4494|Acme Corp  |negotiation|USD 3,668.13|Security Bundle|253|Q4-23-Brand Awareness
USD 4,691.14|212|Affiliate|Frank Wilson|2023-07-25|USD 994,521.68|615|Acme Corp|qualified|USD 38,873.55|Widget Pro||Q1-23-Social Push
