,,,,,,,,,
num_conversions,sales_region,unit_price,company_name,num_leads,product_name,campaign_name,qty,total_revenue,sale_date
,N. America,"USD 3,524.34",Dharma Initiative,2988,Training Package,Q3-2023-Upsell,186.0,"USD 655,527.24",2024-09-28
436,ASIAPAC,"USD 1,717.69",Umbrella Ltd,null,Widget B,,310.0,"USD 532,483.90",2023-06-12
483,Australia,missing,BrightPath Media,3921,Service Plan Basic,Q3-23-Summer Blitz,141,#N/A,2024-12-29
110,Europe,"USD 3,826.96",BrightPath Media,23,Gadget Mini,H1-24-Trade Show,106.0,"USD 405,657.76",2023-05-12
52,US,"USD 1,080.49",BrightPath Media,355,Analytics Dashboard,Q4-2023-Retention,175.00,"USD 189,085.75",2023-06-16
194,ASIAPAC,"USD 2,326.22",BrightPath Media,2116,CRM Module,Q3-2023-Retention,231.0,"USD 537,356.82",2023-04-02
167,United States,USD 171.66,Weyland Corp,2232,Software License,Q4-24-Webinar Series,-,"USD 32,939.81",2024-10-26
26,SA,"USD 2,117.57",BrightPath Media,1267,Service Plan Enterprise,Q3-24-Summer Blitz,341.00,"USD 722,091.37",2024-02-28
224,Africa,"USD 1,225.20",CloudNine SaaS,4543,Security Bundle,Q2-24-Summer Blitz,452,"USD 553,790.40",2023-05-19
122,USA,"USD 1,025.27",BrightPath Media,594,-,Q1-2023-Retention,162.0,"USD 166,093.74",2024-08-23
192,United Kingdom,"USD 4,859.19",BrightPath Media,4649,Widget B,FY-2023-Cross-sell,,null,2024-02-18
365,EU,"USD 1,200.03",Wonka Enterprises,1894,Gadget Mini,Q1-23-Product Launch,267.00,"USD 320,408.01",2023-10-14
113,Britain,"USD 2,190.18",BrightPath Media,3063,Widget Pro,Q1-24-Social Push,263,"USD 576,017.34",2023-10-10
158,NA,USD 285.58,Soylent Corp,739,Cloud Storage 5TB,H1-2023-Brand Awareness,408.0,"USD 116,516.64",2024-03-31
492,NA,"USD 4,852.15",BrightPath Media,2569,Cloud Storage 5TB,H1-2024-New Year Promo,15,"USD 72,782.25",2024-07-06
214,ANZ,"USD 3,716.98",BrightPath Media,null,Software License,,190.00,"USD 706,226.20",2023-05-22
162,Asia,"USD 2,658.00",Planet Express,4488,Service Plan Basic,Q4-23-New Year Promo,411.0,"USD 1,092,438.00",2023-05-08
327,Africa,"USD 1,731.10",Hooli Inc,3958,Support Tier 1,H1-24-Webinar Series,38.00,"USD 65,781.80",null
43,Middle East,"USD 3,981.14",BrightPath Media,1924,Service Plan Enterprise,Q2-2023-Spring Push,407.0,"USD 1,620,323.98",2023-08-10
22,Middle East,"USD 4,513.77",DataWave Inc,3677,Service Plan Enterprise,FY-23-Social Push,395.0,"USD 1,782,939.15",2023-07-08
290,N. America,"USD 1,201.06",BlueOcean Retail,1030,Cloud Storage 1TB,Q2-24-Retention,426,"USD 511,651.56",2024-01-10
43,APAC,USD 649.11,BrightPath Media,4312,Security Bundle,Q3-2023-Black Friday,358.00,"USD 232,381.38",2023-11-17
112,Australia,"USD 4,627.33",BrightPath Media,-,Widget Pro,H1-24-Holiday Sale,195,"USD 902,329.35",2023-09-11
89,USA,"USD 1,193.47",BrightPath Media,3901,Training Package,Q1-23-Retention,184.0,"USD 219,598.48",2023-01-30
170,N. America,"USD 1,554.82",BrightPath Media,2862,ERP Add-on,Q2-2023-Fall Campaign,41.00,"USD 63,747.62",2024-08-29
421,UK,USD 399.24,BrightPath Media,2510,Data Pipeline,H2-23-Black Friday,43,"USD 17,167.32",TBD
493,-,"USD 3,261.83",BrightPath Media,3606,Hardware Unit,,340.0,"USD 1,109,022.20",2024-01-29
285,Unknown,"USD 3,110.51",,2531,Training Package,,499.0,"USD 1,552,144.49",2024-03-18
