dealStatus,companyName,unitPrice,salesRegion,salesRep,totalRevenue,leadCount,conversionCount,adSpend,productName,quantity,saleDate,campaignName
In Progress,Pinnacle Analytics,297.62 USD,Europe,David Brown,"129,167.08 USD",3154,499,"48,600.83 USD",ERP Add-on,434.0,2024-06-11,Q2-24-Webinar Series
PENDING,BrightPath Media,"4,450.89 USD",SA,Frank Wilson,"364,972.98 USD",3704,416,"11,180.96 USD",Software Subscription,82.0,2025-04-22,H2-2024-Spring Push
Closed-Lost,Initech Solutions,"3,217.68 USD",??,Bob Williams,"472,998.96 USD",1,302,"40,052.35 USD",Security Bundle,147.00,2024-08-05,Q2-24-Holiday Sale
CLOSED LOST,Omni Consumer Products,"2,460.50 USD",South America,Unassigned,"863,635.50 USD",3425,246,"30,630.08 USD",Marketing Suite,351.0,2024-01-26,H1-23-Cross-sell
Closed Lost,Initech Solutions,"3,445.12 USD",North America,H. Taylor,"189,481.60 USD",3810,199,,Software License,55,2024-04-05,Q4-2024-Retention
In Progress,Initech Solutions,"1,950.47 USD",Africa,E. Martinez,"470,063.27 USD",3371,57,"16,120.22 USD",Support Tier 2,241.00,2024-05-20,Q3-2024-Product Launch
Open,Initech Solutions,"4,688.75 USD",Asia Pacific,mia clark,"848,663.75 USD",342,60,"29,485.38 USD",Software License,181.0,2024-03-07,H1-2023-Cross-sell
Lost,Hooli Inc,"2,234.48 USD",LATAM,TBD,"462,537.36 USD",890,461,"21,827.11 USD",Service Plan Basic,207,2024-04-10,H1-24-Upsell
LOST,Initech Solutions,"1,376.84 USD",Australia,E. Martinez,"532,837.08 USD",4118,25,"48,364.16 USD",Widget Pro,387,2024-03-05,Q2-2023-Cross-sell
CL,Initech Solutions,"3,008.69 USD",Middle East,Leo Harris,"5,310.80 USD",4473,471,"41,704.53 USD",Gadget Mini,N/A,2024-05-04,Q4-2024-Black Friday
Closed-Lost,Wonka Enterprises,"4,574.16 USD",Australia,A. Johnson,"1,399,692.96 USD",4814,41,"11,901.05 USD",CRM Module,306.0,null,H2-24-Brand Awareness
closed won,Initech Solutions,"4,774.08 USD",South America,N/A,"2,138,787.84 USD",784,480,"5,576.55 USD",,448,2024-03-09,FY-24-Brand Awareness
Lead,Initech Solutions,"3,287.32 USD",ASIAPAC,TBD,"127,351.77 USD",2425,N/A,"35,966.41 USD",API Access,#REF!,2023-09-02,Q4-2024-Spring Push
Won,Umbrella Ltd,"1,311.03 USD",EMEA,Carol Davis,"87,651.73 USD",3057,335,"21,062.31 USD",Widget Pro,#REF!,2024-11-05,FY-2023-Social Push
closed won,Initech Solutions,#N/A,APAC,Grace Lee,"214,411.65 USD",-,381,0,Widget Pro,#REF!,2024-07-08,Q4-23-Webinar Series
pending,Initech Solutions,"2,600.94 USD",Europe,Frank Wilson,"1,147,014.54 USD",null,364,"42,796.38 USD",,441,2024-09-16,Q1-2023-Webinar Series
closed won,Initech Solutions,"3,436.98 USD",LATAM,I. Anderson,"1,299,178.44 USD",null,57,"35,905.73 USD",Training Package,378.0,2024-01-14,Q4-2024-Fall Campaign
In Progress,Initech Solutions,"3,127.92 USD",North America,eva martinez,"1,288,703.04 USD",2320,236,"44,468.94 USD",Training Package,412.0,2023-12-01,H2-24-Holiday Sale
CW,Initech Solutions,146.46 USD,UK,J. Thomas,"227,460.86 USD",2280,365,"15,030.59 USD",Cloud Storage 5TB,,2025-04-14,Q3-2024-Cross-sell
CLOSED LOST,Initech Solutions,"3,908.39 USD",Europe,G. Lee,"1,371,844.89 USD",3189,287,"3,858.67 USD",Data Pipeline,351.0,2025-03-10,Q4-2024-Retention
negotiation,Initech Solutions,N/A,Asia,Bob Williams,"177,262.42 USD",3860,469,"2,289.81 USD",Support Tier 1,53,2024-08-01,Q2-2024-Cross-sell
LOST,Initech Solutions,"2,754.54 USD",Asia Pacific,jake thomas,"225,872.28 USD",1084,470,"12,897.93 USD",ERP Add-on,82,N/A,FY-23-Trade Show
negotiation,Initech Solutions,"1,029.96 USD",United States,M. Clark,"69,931.49 USD",1082,63,"31,789.91 USD",Consulting Hours,,2024-10-28,FY-24-Trade Show
Negotiation,Initech Solutions,#N/A,NA,john smith,"66,801.59 USD",2171,345,"42,088.35 USD",API Access,27.00,2023-11-02,Q3-24-Trade Show
open,,"2,080.01 USD",UK,G. Lee,"235,041.13 USD",1644,76,"42,515.06 USD",Hardware Unit,113,2023-10-09,FY-2023-Black Friday
